objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
178,19IH24,Bartlett St,67 Bartlett St,IS,,1909740156,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=557; METERED_FL=U; PLACEMENT=MIGRATED,19IH24,,,KE,KEK81,2011,,,,1,,1177632000000,mulline,1231459200000,{8272EEC7-C9FD-5A3D-B1AB-66B9F11A5938},-71.089714325999978,42.329126549000080,69 (STREET_FEA 422),STREET_FEA 422,26,derived_0_50_ft,boston-sam,8543,67 Bartlett St,Bartlett St,42.32914867,-71.08962060,Bartlett Street & Blanchard Street,17,nearest_address
214,20IH108,Warwick St,23 Warwick St,IS,,2009740111,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1929; METERED_FL=U; PLACEMENT=MIGRATED,20IH108,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1225152000000,{3B477A55-7CBB-541A-B720-7839F5825DEA},-71.084315361999984,42.336074286000041,41 (STREET_FEA 4388),STREET_FEA 4388,97,derived_50_100_ft,boston-sam,143364,23 Warwick St,Warwick St,42.33632867,-71.08421060,Greenwich Street & Warwick Street,33,nearest_address
236,17JH38,Woodbine St,46 Woodbine St,IS,757382400000,1710740135,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=568; METERED_FL=U; PLACEMENT=MIGRATED,17JH38,,,KE,KEK81-A,1994,,,,1,,1177632000000,orrda,1459296000000,{75040B2B-7722-5DC2-A51E-5CAE241E7633},-71.078707413999950,42.318659205000074,46 (STREET_FEA 4604),STREET_FEA 4604,48,derived_0_50_ft,boston-sam,151411,46 Woodbine St,Woodbine St,42.31876866,-71.07861060,Blue Hill Avenue & Brookford Street,268,nearest_address
257,18JH128,Forest St,53 Forest St,IS,,1810740072,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4313; METERED_FL=U; PLACEMENT=MIGRATED,18JH128,,,MH,MH929,1988,,,,1,,1177632000000,palaciolv,1231718400000,{0395C575-822F-51E5-9589-6B977431B75B},-71.076885217999973,42.326120175000028,53 (STREET_FEA 1692),STREET_FEA 1692,56,derived_50_100_ft,boston-sam,59306,53 Forest St,Forest St,42.32603867,-71.07706059,Forest Place & Forest Street,120,nearest_address
273,19JH76,Hampden St,63 Hampden St,IS,,1910740089,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1994; METERED_FL=U; PLACEMENT=MIGRATED,19JH76,,,KE,KEK81-A,2010,,,,1,,1177632000000,pullenn,1273104000000,{97EE3AB8-BC66-554A-A4FC-45CC5C1A3F19},-71.075260257999958,42.331080683000039,STREET_FEA 2805,STREET_FEA 2805,121,derived_100_150_ft,boston-sam,68575,63 Hampden St,Hampden St,42.33080335,-71.07501135,Hampden Street & Melnea Cass Boulevard,117,nearest_address
276,18IH154,Saint James St,5 Saint James St,IS,725846400000,1809740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3756; METERED_FL=U; PLACEMENT=MIGRATED,18IH154,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{05381454-F0EE-5F18-ACEC-ED954D6191CA},-71.083698699999957,42.325824938000039,STREET_FEA 3548,STREET_FEA 3548,112,derived_100_150_ft,boston-sam,169945,5 Saint James St,Saint James St,42.32612835,-71.08376439,Regent Street & Saint James Street,35,nearest_address
306,16JH84,Woodcliff St,31 Woodcliff St,IS,,1610740029,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4609; METERED_FL=U; PLACEMENT=MIGRATED,16JH84,,,KE,KEK81-A,1988,,,,1,,1177632000000,palaciolv,1231372800000,{12E87086-FDFE-590C-A060-8ADBDF0FE7FA},-71.077077157999952,42.315871009000034,STREET_FEA 1237,STREET_FEA 1237,55,derived_50_100_ft,boston-sam,151470,31 Woodcliff St,Woodcliff St,42.31584766,-71.07687659,Dacia Street & Woodcliff Street,53,nearest_address
313,17IH213,Elmore St,15 Elmore St,IS,,1709740250,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2382; METERED_FL=U; PLACEMENT=mulline,17IH213,,,MU,MUCENT,2004,,,,1,,1247702400000,blundonr,1249430400000,{C3DC0AD5-A40D-559A-8BEB-D19E1F8FBEF2},-71.091648093999936,42.320626513000036,19 (STREET_FEA 1510),STREET_FEA 1510,44,derived_0_50_ft,boston-sam,420821,15 Elmore St,Elmore St,42.32061979,-71.09181299,Elmore Street & Kensington Street,105,nearest_address
318,20JH86,Massachusetts Ave,621 Massachusetts Ave,IS,,2010740103,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4400; METERED_FL=U; PLACEMENT=MIGRATED,20JH86,,,MU,MUCENT,1971,,,,1,,1177632000000,blundonr,1255478400000,{0F74A8CD-0CA2-59DE-A525-D3D7ADC4F9A9},-71.077646998999967,42.336864851000030,619 (STREET_FEA 2746),STREET_FEA 2746,37,derived_0_50_ft,boston-sam,92512,621 Massachusetts Ave,Massachusetts Ave,42.33678867,-71.07774060,Massachusetts Avenue & Shawmut Avenue,205,nearest_address
325,16IH182,Warren St,434 Warren St,IS,1181692800000,1609740002,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3493; METERED_FL=U; PLACEMENT=MIGRATED,16IH182,,,DA,ADB-84-B,2006,,,,1,,1177632000000,pullenn,1259625600000,{200048DA-9E4C-51F8-985E-CD4135B4F81E},-71.082728551999935,42.316456421000055,435 OPP (STREET_FEA 4385),STREET_FEA 4385,108,derived_100_150_ft,boston-sam,143271,434 Warren St,Warren St,42.31616866,-71.08263060,Quincy Street & Warren Street,49,nearest_address
