objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
328,27JH2,Lynde Street,Near Lynde Street & Union Street,IS,1103068800000,2710740053,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3403; METERED_FL=U; PLACEMENT=MIGRATED,27JH2,,,MU,MUCENT,2004,,,,1,,1177632000000,mulline,1250035200000,{011AB360-AC16-5BF3-AFAA-34FD92066A06},-71.067086289999963,42.372369820000074,STREET_FEA 2269,STREET_FEA 2269,188,intersection_preferred_150_plus_ft,boston-sam,459644,120-128 New Rutherford Ave,New Rutherford Ave,42.37288581,-71.06712410,Lynde Street & Union Street,418,nearest_intersection
363,27KH219,City Sq,20 City Sq,IS,,2711740234,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3211; METERED_FL=U; PLACEMENT=MIGRATED,27KH219,,,WA,WAWB67P,1989,,,,1,,1177632000000,mulline,1250121600000,{9C238AD9-8657-5CE4-A2B3-67A918EFF928},-71.061482650999949,42.372066665000034,20 (STREET_FEA 5653),STREET_FEA 5653,76,derived_50_100_ft,boston-sam,32851,20 City Sq,City Sq,42.37211568,-71.06120959,City Square & Park Street,33,nearest_address
375,28JH30,Hood Park Drive,Near Hood Park Drive & Stack Street,IS,,2810740112,,,GPS,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=734; METERED_FL=U; PLACEMENT=MIGRATED,28JH30,,,U,U,,,,,1,,1177632000000,blundonr,1247788800000,{99999041-DC54-53D9-85D7-86AFCA8DD4DF},-71.073655367999947,42.379113442000062,420-438 (STREET_FEA 3725),STREET_FEA 3725,199,intersection_preferred_150_plus_ft,boston-sam,440533,6 Stack St,Stack St,42.37960540,-71.07398203,Hood Park Drive & Stack Street,277,nearest_intersection
395,28LH2,First Ave,105 First Ave,IS,,2812740060,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3070; METERED_FL=U; PLACEMENT=MIGRATED,28LH2,,,MU,MUCENT,1991,,,,1,,1177632000000,denapolipd,1221004800000,{99B2F386-E8B5-5C3D-AF8D-9FF0483ED126},-71.052006762999952,42.377031646000034,149 (STREET_FEA 3841),STREET_FEA 3841,89,derived_50_100_ft,boston-sam,165261,105 First Ave,First Ave,42.37678977,-71.05195579,Second Avenue & Thirteenth Street,206,nearest_address
445,29JH94,Alford Street,Near Alford Street & Main Street,IS,,2910740062,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=179; METERED_FL=U; PLACEMENT=MIGRATED,29JH94,,,DA,ADB-84-B,1995,,,,1,,1177632000000,denapolipd,1221004800000,{AD3D0F80-7BF5-581F-963D-750F7FFAE131},-71.072663969999951,42.384740924000027,529 (STREET_FEA 2652),STREET_FEA 2652,281,intersection_preferred_150_plus_ft,boston-sam,167301,529 Main St,Main St,42.38475806,-71.07161763,Alford Street & Main Street,143,nearest_intersection
527,28JH50,New Rutherford Ave,330 New Rutherford Ave,IS,,2810740167,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=734; METERED_FL=U; PLACEMENT=MIGRATED,28JH50,,,MU,MUCENT,2005,,,,1,,1177632000000,mulline,1250121600000,{A3E5CE4D-3563-5819-AD70-7933FF86988F},-71.070929629999966,42.379079093000030,STREET_FEA 3725,STREET_FEA 3725,49,derived_0_50_ft,boston-sam,352649,330 New Rutherford Ave,New Rutherford Ave,42.37902967,-71.07109762,Bunker Hill Industrial Park & Rutherford Avenue,130,nearest_address
532,28KH172,Terminal St,50 Terminal St,IS,,2811740007,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2795; METERED_FL=U; PLACEMENT=MIGRATED,28KH172,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1250121600000,{464CABC6-58E6-591D-950A-B7BF12E91BAF},-71.060774702999936,42.382194858000048,46 (STREET_FEA 4134),STREET_FEA 4134,67,derived_50_100_ft,boston-sam,156242,50 Terminal St,Terminal St,42.38237635,-71.06080912,Medford Street & Mystic Street,556,nearest_address
607,27KH78,Warren St,72-74 Warren St,IS,,2711740144,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2909; METERED_FL=U; PLACEMENT=MIGRATED,27KH78,,,MU,MUCENT,1991,,,,1,,1177632000000,chalmersh,1221177600000,{EB94E9DF-F93F-5795-B099-5D4F76DF4ED3},-71.062482175999946,42.374210166000069,74 (STREET_FEA 4384),STREET_FEA 4384,34,derived_0_50_ft,boston-sam,143174,72-74 Warren St,Warren St,42.37411568,-71.06248259,Monument Avenue & Warren Street,66,nearest_address
612,27KH255,First Ave,19 First Ave,IS,1393891200000,2711740279,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=1661; METERED_FL=U; PLACEMENT=samayoa-galvisr,27KH255,,,U,U,,,,,1,,1442880000000,samayoa-galvisr,1442880000000,{97BE8771-5063-578C-B6A8-D5FDBD2D0514},-71.055902927999966,42.374451642000054,2 (STREET_FEA 4403),STREET_FEA 4403,133,derived_100_150_ft,boston-sam,352754,19 First Ave,First Ave,42.37425549,-71.05548763,Fifth Street & First Avenue,181,nearest_address
614,27KH246,Third St,10 Third St,IS,1393891200000,2711740270,,,U,,,,,PRIV,SERVICE_AR=NL; CROSS_STRE=1661; METERED_FL=U; PLACEMENT=samayoa-galvisr,27KH246,,,U,U,,,,,1,,1442880000000,samayoa-galvisr,1442880000000,{3B687C19-7969-5627-970B-258660F0EBF0},-71.055675576999988,42.372791451000069,2 (STREET_FEA 4403),STREET_FEA 4403,45,derived_0_50_ft,boston-sam,355201,10 Third St,Third St,42.37274008,-71.05552401,First Avenue & Third Street,337,nearest_address
