objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
191,27MH96,Bennington St,41 Bennington St,IS,1291075200000,2713740052,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3360; METERED_FL=U; PLACEMENT=MIGRATED,27MH96,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1330300800000,{7F7494BA-A799-52C9-89CB-1975CA5E6544},-71.037317174999941,42.375415727000075,43 (STREET_FEA 503),STREET_FEA 503,17,derived_0_50_ft,boston-sam,14729,41 Bennington St,Bennington St,42.37536868,-71.03732058,Saratoga Place & Saratoga Street,347,nearest_address
211,26MH44,Sumner St,372 Sumner St,IS,,2613740145,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3075; METERED_FL=U; PLACEMENT=MIGRATED,26MH44,,,MU,MUCENT,1976,,,,1,,1177632000000,blundonr,1244505600000,{52C3F777-D6F5-5DB5-B05F-F01D0A97E2E0},-71.034473593999962,42.366652387000045,372 (STREET_FEA 4062),STREET_FEA 4062,32,derived_0_50_ft,boston-sam,132445,372 Sumner St,Sumner St,42.36673768,-71.03445158,Noble Court & Sumner Street,22,nearest_address
268,28MH146,Saratoga St,400 Saratoga St,IS,,2813740120,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3381; METERED_FL=U; PLACEMENT=MIGRATED,28MH146,,,KE,KEK81,1995,,,,1,,1177632000000,blundonr,1255478400000,{66357163-2503-5FEA-B8F7-26B4AE860470},-71.029900710999982,42.378964755000027,339 (STREET_FEA 3793),STREET_FEA 3793,68,derived_50_100_ft,boston-sam,122632,400 Saratoga St,Saratoga St,42.37913089,-71.03001866,Prescott Street & Saratoga Street,38,nearest_address
272,30OH46,Leyden St,148-150 Leyden St,IS,,3015740117,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=658; METERED_FL=U; PLACEMENT=MIGRATED,30OH46,,,MU,MUCENT,1992,,,,1,,1177632000000,mulline,1217894400000,{DC1C6CD2-C648-55F4-942D-15E1CFC56CC3},-71.006206879999979,42.388960916000030,148 (STREET_FEA 2538),STREET_FEA 2538,34,derived_0_50_ft,boston-sam,85754,148-150 Leyden St,Leyden St,42.38904868,-71.00616057,Breed Street & Leyden Street,37,nearest_address
302,29OH46,Saratoga St,958 Saratoga St,IS,,2915740020,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=576; METERED_FL=U; PLACEMENT=MIGRATED,29OH46,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{C0896E68-8F29-5DD1-9938-18E4A21F80C1},-71.008719387999975,42.386953268000070,958 (STREET_FEA 3793),STREET_FEA 3793,43,derived_0_50_ft,boston-sam,122891,958 Saratoga St,Saratoga St,42.38704868,-71.00881058,Saratoga Street & Saratoga Street Circle,153,nearest_address
337,29PH55,Saratoga St,1267 Saratoga St,IS,,2916740057,,,U,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=mulline,29PH55,,,U,U,,,,,1,,1426204800000,,,{2E902D8A-9293-5D71-B638-F5CCB9F4C9C2},-70.994991591999963,42.382691161000025,STREET_FEA 0,STREET_FEA 0,42,derived_0_50_ft,boston-sam,155930,1267 Saratoga St,Saratoga St,42.38262708,-70.99486066,Main Street & Saratoga Street,87,nearest_address
341,29PH18,Teragram St,3-5 Teragram St,IS,502934400000,2916740031,,,GIS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3793; METERED_FL=U; PLACEMENT=MIGRATED,29PH18,,,MU,MUCENT,1985,,,,1,,1177632000000,mulline,1414972800000,{1164C561-9697-5D32-987D-8D5E4DE6C13D},-70.999419408999984,42.383895417000076,3-5 (STREET_FEA 4132),STREET_FEA 4132,36,derived_0_50_ft,boston-sam,134451,3-5 Teragram St,Teragram St,42.38390968,-70.99955157,Saratoga Street & Teragram Street,44,nearest_address
343,26MH152,Lubec St,72 Lubec St,IS,,2613740008,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=3360; METERED_FL=U; PLACEMENT=MIGRATED,26MH152,,,MH,MH129,1970,,,,1,,1177632000000,blundonr,1244505600000,{0B794761-31BB-54FB-B41C-496661B40884},-71.033146212999952,42.370796565000035,72 (STREET_FEA 2622),STREET_FEA 2622,52,derived_50_100_ft,boston-sam,87739,72 Lubec St,Lubec St,42.37089868,-71.03328058,Lubec Street & Porter Street,180,nearest_address
355,30OH108,Faywood Ave,87-89 Faywood Ave,IS,,3015740047,,,MANUAL,,,,,BWSC,SERVICE_AR=NH; CROSS_STRE=1188; METERED_FL=U; PLACEMENT=MIGRATED,30OH108,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1217894400000,{90ED1F62-6096-5C2F-B551-D76AB75DB4C4},-71.002861622999944,42.391423792000069,85 (STREET_FEA 1629),STREET_FEA 1629,48,derived_0_50_ft,boston-sam,57138,87-89 Faywood Ave,Faywood Ave,42.39154568,-71.00279457,Orient Avenue & Sea View Avenue,531,nearest_address
364,29NH14,Chelsea St,511 Chelsea St,IS,,2914740082,,,GPS,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=460; METERED_FL=U; PLACEMENT=MIGRATED,29NH14,,,MU,MUCENT,1992,,,,1,,1177632000000,chalmersh,1217980800000,{E408289F-CF28-5B35-9504-7ABD57F6100D},-71.024240528999940,42.382287433000045,STREET_FEA 947,STREET_FEA 947,76,derived_50_100_ft,boston-sam,460586,511 Chelsea St,Chelsea St,42.38239577,-71.02399807,Chelsea Street & Martin A. Coughlin Bypass Road,330,nearest_address
