objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1148,24JH22,Byron St,10 Byron St,IS,1369958400000,2410740150,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=674; METERED_FL=U; PLACEMENT=MIGRATED,24JH22,,,MU,MUCENT,1993,,,,1,,1177632000000,digiornom,1436486400000,{1BD10EF0-A027-5225-84E3-ECE866B21DED},-71.070772296999962,42.356257033000077,10 (STREET_FEA 769),STREET_FEA 769,62,derived_50_100_ft,boston-sam,24557,10 Byron St,Byron St,42.35641867,-71.07084959,Brimmer Street & Byron Street,193,nearest_address
1273,24JH102,Pinckney St,56 Pinckney St,IS,,2410740054,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=247; METERED_FL=U; PLACEMENT=MIGRATED,24JH102,,,MU,MUCENT,1989,,,,1,,1177632000000,dorleansr,1231718400000,{73167B4B-5AD4-5470-B9A1-B388887DA8B7},-71.067494219999958,42.358814564000056,56 (STREET_FEA 3309),STREET_FEA 3309,27,derived_0_50_ft,boston-sam,110707,56 Pinckney St,Pinckney St,42.35875567,-71.06743359,Anderson Street & Pinckney Street,50,nearest_address
1403,24JH24,Chestnut St,87 Chestnut St,IS,,2410740202,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=674; METERED_FL=U; PLACEMENT=BlundoNR,24JH24,,,AM,ADB-84-B,1990,,,,1,,1352419200000,BlundoNR,1352419200000,{1939F6CC-6EB6-580C-8A80-50003220C8FB},-71.071530236999934,42.356586339000046,87 OPP (STREET_FEA 964),STREET_FEA 964,60,derived_50_100_ft,boston-sam,31511,87 Chestnut St,Chestnut St,42.35674867,-71.07157459,Brimmer Street & Chestnut Street,40,nearest_address
1456,24KH28,Hancock St,45 Hancock St,IS,,2411740030,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1320; METERED_FL=U; PLACEMENT=MIGRATED,24KH28,,,MU,MUCENT,1992,,,,1,,1177632000000,dorleansr,1231718400000,{F973EEE0-ED1F-5C90-BDCC-19211723B844},-71.064503334999984,42.359925291000025,45 (STREET_FEA 1998),STREET_FEA 1998,24,derived_0_50_ft,boston-sam,68776,45 Hancock St,Hancock St,42.35991867,-71.06459059,Joy Street & Smith Court,163,nearest_address
1531,24JH64,Charles St,79 Charles St,IS,,2410740070,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3309; METERED_FL=U; PLACEMENT=MIGRATED,24JH64,,,MU,MUCENT,1982,,,,1,,1177632000000,dorleansr,1231718400000,{7C647E0E-D07F-5838-AE9F-A34248C1A6E6},-71.070533040999976,42.358393844000034,81 (STREET_FEA 908),STREET_FEA 908,30,derived_0_50_ft,boston-sam,29192,79 Charles St,Charles St,42.35838867,-71.07042059,Charles Street & Pinckney Street,152,nearest_address
1542,24JH82,Chestnut St,38 Chestnut St,IS,,2410740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3976; METERED_FL=U; PLACEMENT=MIGRATED,24JH82,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1439164800000,{04724FC5-D13A-51B3-A12F-9C7E2D3461D7},-71.067987405999986,42.357383433000052,33 OPP (STREET_FEA 3977),STREET_FEA 3977,37,derived_0_50_ft,boston-sam,31406,38 Chestnut St,Chestnut St,42.35728867,-71.06804059,Chestnut Street & Spruce Street,24,nearest_address
1610,24JH40,Charles St,46-46A Charles St,IS,,2410740105,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=674; METERED_FL=U; PLACEMENT=MIGRATED,24JH40,,,KE,KEK81-A,1995,,,,1,,1177632000000,chalmersh,1430870400000,{DDC777CC-03C6-5B66-B310-4350239C9599},-71.070434428999988,42.357260693000057,45 (STREET_FEA 2548),STREET_FEA 2548,43,derived_0_50_ft,boston-sam,163158,46-46A Charles St,Charles St,42.35731449,-71.07029386,Lime Street & River Street,52,nearest_address
1651,24JH114,Pinckney St,38 Pinckney St,IS,,2410740056,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=247; METERED_FL=U; PLACEMENT=MIGRATED,24JH114,,,KE,KEK81-A,1995,,,,1,,1177632000000,dorleansr,1231718400000,{84E0AD68-F5ED-5412-A4B7-0D8F0DEC82E0},-71.066737539999963,42.358814846000030,38 (STREET_FEA 3309),STREET_FEA 3309,15,derived_0_50_ft,boston-sam,110674,38 Pinckney St,Pinckney St,42.35877467,-71.06674459,Garden Street & Myrtle Street,184,nearest_address
1707,24KH17,Revere St,9 Revere St,IS,,2411740066,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3560; METERED_FL=U; PLACEMENT=MIGRATED,24KH17,,,MU,MUCENT,1971,,,,1,,1177632000000,dorleansr,1231718400000,{B3E193AC-6C51-50DE-8A00-6567EA3C15F4},-71.066304023999976,42.359676195000077,54 (STREET_FEA 2280),STREET_FEA 2280,44,derived_0_50_ft,boston-sam,169058,9 Revere St,Revere St,42.35970250,-71.06646274,Irving Street & Revere Street,39,nearest_address
1761,25KH8,S Russell St,19 S Russell St,IS,,2511740426,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=788; METERED_FL=U; PLACEMENT=MIGRATED,25KH8,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1255478400000,{FC4E6696-E7CB-5EB2-9791-AF709A581EB7},-71.065963497999974,42.360539089000042,19 OPP (STREET_FEA 57),STREET_FEA 57,37,derived_0_50_ft,boston-sam,119758,19 S Russell St,S Russell St,42.36053867,-71.06610059,Irving Street & Phillips Street,133,nearest_address
