objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
2963,22KH58,Harrison Ave,229 Harrison Ave,IS,,2211740077,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3311; METERED_FL=U; PLACEMENT=MIGRATED,22KH58,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1244505600000,{A300B0AB-6713-5821-906B-F5BB845C98CF},-71.062825422999936,42.347581511000044,229 (STREET_FEA 2030),STREET_FEA 2030,33,derived_0_50_ft,boston-sam,69819,229 Harrison Ave,Harrison Ave,42.34761616,-71.06293959,Harrison Avenue & Johnny Court,94,nearest_address
3270,22KH52,Harrison Avenue,Near Harrison Avenue & Hudson Street,IS,,2211740090,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2030; METERED_FL=U; PLACEMENT=MIGRATED,22KH52,,,SM,SMH205,1974,,,,1,,1177632000000,blundonr,1244505600000,{1DA25A00-8E56-5D4A-82A9-59BAC12FACC5},-71.063617862999934,42.347125074000076,STREET_FEA 2700,STREET_FEA 2700,177,intersection_preferred_150_plus_ft,boston-sam,156238,900 Washington St,Washington St,42.34746221,-71.06409141,Harrison Avenue & Hudson Street,177,nearest_intersection
3361,23KH106,Knapp St,9-11 Knapp St,IS,,2311740496,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=440; METERED_FL=U; PLACEMENT=MIGRATED,23KH106,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1244505600000,{FA7A2780-F7F5-5088-BCE5-2CA1DAE1C525},-71.062162303999969,42.351061663000053,6 OPP (STREET_FEA 2412),STREET_FEA 2412,45,derived_0_50_ft,boston-sam,166794,9-11 Knapp St,Knapp St,42.35111656,-71.06201092,Knapp Street & Kneeland Street,88,nearest_address
3418,23KH134,Kneeland St,95-99 Kneeland St,IS,1248307200000,2311740645,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=MIGRATED,23KH134,,,KE,KEK81-A,2009,,,,1,,1177632000000,digiornom,1449446400000,{2E1786A1-780B-5E51-91E1-20A0C7EB01B2},-71.060320003999948,42.349949605000063,43-45 OPP (STREET_FEA 2225),STREET_FEA 2225,57,derived_50_100_ft,boston-sam,344001,95-99 Kneeland St,Kneeland St,42.34994252,-71.06010960,Hudson Street & Kneeland Street,128,nearest_address
3831,22KH84,Tyler St,110 Tyler St,IS,,2211740055,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3119; METERED_FL=U; PLACEMENT=MIGRATED,22KH84,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{0EFF94A2-6513-50E9-80E9-2419FD2DF320},-71.061858023999946,42.348138808000044,200 BACK (STREET_FEA 2030),STREET_FEA 2030,93,derived_50_100_ft,boston-sam,342661,110 Tyler St,Tyler St,42.34833186,-71.06162938,Oak Street & Tyler Street,41,nearest_address
3854,23KH855,Beach St,17-23 Beach St,IS,,2311740716,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2412; METERED_FL=U; PLACEMENT=MIGRATED,23KH855,,,DA,ADB-62-B,,,,,1,,1177632000000,louisjamey,1461628800000,{F8335AC0-EA0D-5BFD-9EFA-89CCCAA0EF16},-71.062058676999982,42.351517077000040,14-40 (STREET_FEA 440),STREET_FEA 440,73,derived_50_100_ft,boston-sam,161858,17-23 Beach St,Beach St,42.35132254,-71.06199571,Beach Street & Knapp Street,29,nearest_address
4152,23KH70,Kneeland St,15-19 Kneeland St,IS,,2311740524,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4392; METERED_FL=U; PLACEMENT=MIGRATED,23KH70,,,MU,MUCENT,1968,,,,1,,1177632000000,blundonr,1244505600000,{1E8CD4DB-2979-5070-B768-C1710FA6EE1C},-71.062867828999970,42.350796641000045,1 (STREET_FEA 2413),STREET_FEA 2413,117,derived_100_150_ft,boston-sam,82304,15-19 Kneeland St,Kneeland St,42.35066867,-71.06247059,Kneeland Street & Washington Street,67,nearest_address
4192,22KH68,Nassau St,1-3 Nassau St,IS,,2211740231,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2030; METERED_FL=U; PLACEMENT=MIGRATED,22KH68,,,US,USMET250,1999,,,,1,,1177632000000,blundonr,1244505600000,{2DFD6ECC-F7F2-55BE-8EDE-22810F772D9C},-71.062737477999974,42.348720473000071,17 (STREET_FEA 3004),STREET_FEA 3004,72,derived_50_100_ft,boston-sam,167987,1-3 Nassau St,Nassau St,42.34858798,-71.06293681,Harrison Avenue & Nassau Street,115,nearest_address
4305,22KH86,Tyler St,110 Tyler St,IS,,2211740054,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3119; METERED_FL=U; PLACEMENT=MIGRATED,22KH86,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{7167CCE7-E37F-5C89-AC03-2ADFEF4CE52E},-71.061540237999964,42.348168721000036,STREET_FEA 4103,STREET_FEA 4103,64,derived_50_100_ft,boston-sam,342661,110 Tyler St,Tyler St,42.34833186,-71.06162938,Tai Tung Street & Tyler Street,67,nearest_address
4791,23KH73,Kneeland St,15-19 Kneeland St,IS,694224000000,2311740527,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4392; METERED_FL=U; PLACEMENT=MIGRATED,23KH73,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1244505600000,{8ED2A4C7-52A5-5F29-8102-17F1A1A87284},-71.062803472999974,42.350796347000028,1 (STREET_FEA 2413),STREET_FEA 2413,101,derived_100_150_ft,boston-sam,82304,15-19 Kneeland St,Kneeland St,42.35066867,-71.06247059,Kneeland Street & Washington Street,80,nearest_address
