objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
35,12JH168,Melville Ave,12 Melville Ave,IS,1193875200000,1210740024,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2197; METERED_FL=U; PLACEMENT=MIGRATED,12JH168,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1234137600000,{67E4BAFF-6D32-54E6-9C77-200F9E4B1485},-71.069821780999973,42.293806825000047,9 (STREET_FEA 2809),STREET_FEA 2809,121,derived_100_150_ft,boston-sam,94044,12 Melville Ave,Melville Ave,42.29413866,-71.06984059,Hooper Street & Melville Avenue,305,nearest_address
37,11LH14,Franconia St,67-69 Franconia St,IS,,1112740095,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1723; METERED_FL=U; PLACEMENT=MIGRATED,11LH14,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1233705600000,{8F42D7D3-799B-5C32-919B-31310F361FAF},-71.052143324999975,42.285645414000044,43 OPP (STREET_FEA 906),STREET_FEA 906,31,derived_0_50_ft,boston-sam,60485,67-69 Franconia St,Franconia St,42.28558866,-71.05223059,Charlemont Street & Franconia Street,44,nearest_address
40,16KH247,Bakersfield St,55 Bakersfield St,IS,1146441600000,1611740244,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4063; METERED_FL=U; PLACEMENT=chalmersh,16KH247,,,MU,MUCENT,2004,,,,1,,1221523200000,blundonr,1249430400000,{B9C1F4F3-60A6-5B77-AB82-F83B7930B94A},-71.061878245999935,42.316275802000064,8 (STREET_FEA 4061),STREET_FEA 4061,40,derived_0_50_ft,boston-sam,7820,55 Bakersfield St,Bakersfield St,42.31627866,-71.06173059,Sumner Square & Sumner Street,188,nearest_address
41,17JH146,Dudley Ter,2 Dudley Ter,IS,1190073600000,1710740160,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1391; METERED_FL=U; PLACEMENT=MIGRATED,17JH146,,,KE,KEK81-A,2007,,,,1,,1177632000000,mulline,1224460800000,{A15D15BD-C764-5D6A-AB8E-4D21BDD98468},-71.067371360999971,42.318091603000028,722-726 (STREET_FEA 1389),STREET_FEA 1389,34,derived_0_50_ft,boston-sam,353024,2 Dudley Ter,Dudley Ter,42.31813522,-71.06725763,Dudley Street & Monadnock Street,38,nearest_address
52,14JH20,Washington St,249 Washington St,IS,,1410740148,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4283; METERED_FL=U; PLACEMENT=MIGRATED,14JH20,,,KE,KEK81-A,1982,,,,1,,1177632000000,chalmersh,1233187200000,{19903174-FE09-518B-A911-3F16D0D1BBE1},-71.076807573999986,42.301342356000077,260 OPP (STREET_FEA 4399),STREET_FEA 4399,39,derived_0_50_ft,boston-sam,146002,249 Washington St,Washington St,42.30132866,-71.07695059,Harvard Avenue & Vassar Street,294,nearest_address
57,11IH130,Hansborough St,39 Hansborough St,IS,1117584000000,1109740031,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2053; METERED_FL=U; PLACEMENT=MIGRATED,11IH130,,,MU,MUCENT,2005,,,,1,,1177632000000,denapolipd,1345420800000,{95D8FE5B-D1A3-5F12-88E1-254E31191B87},-71.092131146999975,42.288271445000078,44 OPP (STREET_FEA 2006),STREET_FEA 2006,43,derived_0_50_ft,boston-sam,69234,39 Hansborough St,Hansborough St,42.28833454,-71.09199706,Hansborough Street & Harvard Street,148,nearest_address
63,11KH126,Wrentham St,52 Wrentham St,IS,1117584000000,1111740197,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=713; METERED_FL=U; PLACEMENT=MIGRATED,11KH126,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1230076800000,{A4C24EEA-3FF6-5FA8-9AFD-BFB5516D55ED},-71.060920665999959,42.288219963000074,52 (STREET_FEA 4644),STREET_FEA 4644,39,derived_0_50_ft,boston-sam,153006,52 Wrentham St,Wrentham St,42.28831866,-71.06098059,Bruce Street & Wrentham Street,205,nearest_address
65,12KH154,O'Donnell Ter,2 O'Donnell Ter,IS,,1211740012,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=885; METERED_FL=U; PLACEMENT=MIGRATED,12KH154,,,MU,MUCENT,1992,,,,1,,1177632000000,denapolipd,1224633600000,{CB907436-D3D4-5E7A-A973-08BCC99F7962},-71.060324945999980,42.294149870000069,2 (STREET_FEA 3113),STREET_FEA 3113,27,derived_0_50_ft,boston-sam,104487,2 O'Donnell Ter,O'Donnell Ter,42.29421866,-71.06036059,Centre Street & O'Donnell Terrace,47,nearest_address
73,13LH74,Freeport Street,Near Freeport Street & Victory Road,IS,,1312740014,,,MANUAL,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=65; METERED_FL=U; PLACEMENT=MIGRATED,13LH74,,,MU,MUCENT,1996,,,,1,,1177632000000,dorleansr,1255651200000,{9B0BF9A4-D759-50C5-9583-FE1080E9B580},-71.046068094999953,42.299366642000052,STREET_FEA 4305,STREET_FEA 4305,250,intersection_preferred_150_plus_ft,boston-sam,459077,200 Victory Rd,Victory Rd,42.29948786,-71.04698214,Freeport Street & Victory Road,709,nearest_intersection
82,14JH188,Bowdoin St,185 Bowdoin St,IS,694224000000,1410740038,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1327; METERED_FL=U; PLACEMENT=MIGRATED,14JH188,,,MU,MUCENT,1991,,,,1,,1177632000000,denapolipd,1224633600000,{115EE3E7-B1AC-5F56-B53C-68E838139992},-71.069265496999947,42.304484482000078,181-183 (STREET_FEA 609),STREET_FEA 609,40,derived_0_50_ft,boston-sam,17666,185 Bowdoin St,Bowdoin St,42.30443866,-71.06913059,Bowdoin Street & Dever Street,60,nearest_address
89,14KH18,Westville St,177 Westville St,IS,1094169600000,1411740149,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1344; METERED_FL=U; PLACEMENT=MIGRATED,14KH18,,,MU,MUCENT,2006,,,,1,,1177632000000,blundonr,1224460800000,{19D1DAF4-D5ED-5FA5-B446-AAD10C3B5621},-71.065724118999981,42.301372965000041,177 (STREET_FEA 4486),STREET_FEA 4486,34,derived_0_50_ft,boston-sam,148905,177 Westville St,Westville St,42.30128866,-71.06567059,Geneva Avenue & Leroy Street,381,nearest_address
93,15KH12,Mount Ida Rd,36 Mount Ida Rd,IS,189302400000,1511740142,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1715; METERED_FL=U; PLACEMENT=MIGRATED,15KH12,,,KE,KEK81-A,1997,,,,1,,1177632000000,denapolipd,1224720000000,{CFD0B04E-5D74-5E72-A015-DBE5F9480EDD},-71.064800309999953,42.305870381000034,36 (STREET_FEA 2951),STREET_FEA 2951,38,derived_0_50_ft,boston-sam,98324,36 Mount Ida Rd,Mount Ida Rd,42.30587866,-71.06466059,Fox Street & Mount Ida Road,30,nearest_address
94,15LH12,Savin Hill Ave,156 Savin Hill Ave,IS,880070400000,1512740016,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3325; METERED_FL=U; PLACEMENT=MIGRATED,15LH12,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1224720000000,{E1626CD9-1530-5B76-B22D-28BB0DE141D7},-71.051516763999985,42.310162604000027,156 (STREET_FEA 3801),STREET_FEA 3801,44,derived_0_50_ft,boston-sam,123209,156 Savin Hill Ave,Savin Hill Ave,42.31024866,-71.05140059,Playstead Road & Savin Hill Avenue,67,nearest_address
95,15JH138,Bellevue St,37 Bellevue St,IS,,1510740024,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=484; METERED_FL=U; PLACEMENT=MIGRATED,15JH138,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1233619200000,{3F48EDDF-55F7-5061-8B73-49D110A4092F},-71.067970265999975,42.310330019000048,401 (STREET_FEA 3494),STREET_FEA 3494,63,derived_50_100_ft,boston-sam,161987,37 Bellevue St,Bellevue St,42.31028795,-71.06819718,Bellevue Street & Quincy Street,36,nearest_address
106,16KH58,Cushing Ave,15 Cushing Ave,IS,,1611740011,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4522; METERED_FL=U; PLACEMENT=MIGRATED,16KH58,,,WA,WAWB67P,1986,,,,1,,1177632000000,denapolipd,1224720000000,{85D89F12-7FAF-509F-95E2-7281660D15C2},-71.064809881999963,42.316207295000027,15 (STREET_FEA 1223),STREET_FEA 1223,40,derived_0_50_ft,boston-sam,45143,15 Cushing Ave,Cushing Ave,42.31609866,-71.06479059,Cushing Avenue & Wilbur Street,68,nearest_address
111,10IH183,Capen Pl,12 Capen Pl,IS,938736000000,1009740190,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=807; METERED_FL=U; PLACEMENT=MIGRATED,10IH183,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1271808000000,{A048D6A2-4F3C-5CA4-80A1-365F546A5730},-71.081280802999970,42.282773897000027,12 (STREET_FEA 806),STREET_FEA 806,31,derived_0_50_ft,boston-sam,25788,12 Capen Pl,Capen Pl,42.28269866,-71.08123059,Capen Place & Capen Street,205,nearest_address
112,15LH36,Savin Hill Ave,244 Savin Hill Ave,IS,910569600000,1512740015,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3804; METERED_FL=U; PLACEMENT=MIGRATED,15LH36,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1224720000000,{7AFBE805-166A-5C2A-8A4D-EFD2BDE76885},-71.047013692999940,42.310286874000042,244 (STREET_FEA 3801),STREET_FEA 3801,68,derived_50_100_ft,boston-sam,123295,244 Savin Hill Ave,Savin Hill Ave,42.31016866,-71.04721058,Savin Hill Avenue & Savin Hill Lane,74,nearest_address
116,18KH82,Dorset St,3 Dorset St,IS,,1811740093,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1365; METERED_FL=U; PLACEMENT=MIGRATED,18KH82,,,DA,ADB-84-B,1980,,,,1,,1177632000000,connorsm,1221004800000,{3EC8753C-055D-5823-9B4B-D334B84F36E6},-71.056919479999976,42.323516256000062,800 OPP (STREET_FEA 1358),STREET_FEA 1358,37,derived_0_50_ft,boston-sam,49188,3 Dorset St,Dorset St,42.32358048,-71.05702447,Dorchester Avenue & Dorset Street,42,nearest_address
120,15LH8,Playstead Rd,17-19 Playstead Rd,IS,,1512740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3971; METERED_FL=U; PLACEMENT=MIGRATED,15LH8,,,MU,MUCENT,1992,,,,1,,1177632000000,denapolipd,1224720000000,{C53BF6A2-95A5-59EF-B770-95C6482662E7},-71.051849566999977,42.309491482000055,17-19 (STREET_FEA 3325),STREET_FEA 3325,49,derived_0_50_ft,boston-sam,111028,17-19 Playstead Rd,Playstead Rd,42.30949866,-71.05203059,Playstead Road & Springdale Street,120,nearest_address
