objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
221,9JH12,Freeland St,21 Freeland St,IS,,910740129,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3983; METERED_FL=U; PLACEMENT=MIGRATED,9JH12,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1236038400000,{CAFE6661-5684-525B-BFD5-6DEEFB4AC158},-71.078805156999977,42.274267584000029,21 (STREET_FEA 1739),STREET_FEA 1739,40,derived_0_50_ft,boston-sam,60786,21 Freeland St,Freeland St,42.27428866,-71.07866059,Freeland Street & Standard Street,214,nearest_address
331,8HH48,Hollingsworth St,74 Hollingsworth St,IS,725846400000,808740163,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1212; METERED_FL=U; PLACEMENT=MIGRATED,8HH48,,,MU,MUCENT,1993,,,,1,,1177632000000,denapolipd,1250467200000,{EBDAD2F5-2F37-52EA-8C4D-CDA4A2A61B7E},-71.099369177999961,42.267797590000043,81 OPP (STREET_FEA 2183),STREET_FEA 2183,62,derived_50_100_ft,boston-sam,74702,74 Hollingsworth St,Hollingsworth St,42.26781865,-71.09914060,Rockdale Street & Violante Street,534,nearest_address
338,8IH76,River St,280 River St,IS,,809740026,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2484; METERED_FL=U; PLACEMENT=MIGRATED,8IH76,,,KE,KEK81,2011,,,,1,,1177632000000,chalmersh,1237420800000,{40343C9A-96C9-5BD5-BC82-EFAD21CCAE26},-71.082701950999933,42.271391669000025,280 OPP (STREET_FEA 3604),STREET_FEA 3604,74,derived_50_100_ft,boston-sam,116567,280 River St,River St,42.27118866,-71.08269059,Leahaven Road & River Street,127,nearest_address
345,8IH8,River St,438 River St,IS,,809740079,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3607; METERED_FL=U; PLACEMENT=MIGRATED,8IH8,,,KE,KEK81-A,1995,,,,1,,1177632000000,denapolipd,1231891200000,{C1ADA361-0333-5390-92AD-8E509ACDC47B},-71.091667883999946,42.269104580000032,443-447 (STREET_FEA 3604),STREET_FEA 3604,75,derived_50_100_ft,boston-sam,116607,438 River St,River St,42.26895866,-71.09147060,River Street & Riverbank Place,63,nearest_address
353,8HH167,Marcy Rd,19 Marcy Rd,IS,,808740178,,,MANUAL,,,,,BWSC,SERVICE_AR=U; CROSS_STRE=3604; METERED_FL=U; PLACEMENT=MIGRATED,8HH167,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{C1D3F00F-E9AE-5C30-AECF-614D1577463C},-71.096053777999941,42.267589113000042,19 (STREET_FEA 2695),STREET_FEA 2695,38,derived_0_50_ft,boston-sam,89627,19 Marcy Rd,Marcy Rd,42.26753865,-71.09593060,Edgewater Drive & River Street,310,nearest_address
490,10HH50,Blue Hill Ave,1326 Blue Hill Ave,IS,,1008740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4557; METERED_FL=U; PLACEMENT=MIGRATED,10HH50,,,MU,MUCENT,1992,,,,1,,1177632000000,denapolipd,1230249600000,{197F9D2E-E468-5856-A3DA-442BAB116505},-71.093144041999949,42.278624169000068,1326 (STREET_FEA 567),STREET_FEA 567,57,derived_50_100_ft,boston-sam,16237,1326 Blue Hill Ave,Blue Hill Ave,42.27854866,-71.09296060,Blue Hill Avenue & Wilmore Street,68,nearest_address
491,9HH50,Monterey Ave,25 Monterey Ave,IS,1005696000000,908740056,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2902; METERED_FL=U; PLACEMENT=MIGRATED,9HH50,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1231891200000,{834AFFF6-0B8E-5B6E-A06F-82AD9C1D37CE},-71.098476090999952,42.276189472000056,53 OPP (STREET_FEA 3798),STREET_FEA 3798,47,derived_0_50_ft,boston-sam,96629,25 Monterey Ave,Monterey Ave,42.27612866,-71.09832060,Monterey Avenue & Savannah Avenue,130,nearest_address
517,9JH5,Freeland St,57 Freeland St,IS,,910740179,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1549; METERED_FL=U; PLACEMENT=MIGRATED,9JH5,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{5E154555-7D14-5554-8A4F-26509171A371},-71.079550618999974,42.275624415000038,61 (STREET_FEA 1739),STREET_FEA 1739,69,derived_50_100_ft,boston-sam,60797,57 Freeland St,Freeland St,42.27558866,-71.07930059,Standard Street & Woodbole Avenue,244,nearest_address
539,11HH83,W Main St,16-28 W Main St,IS,1249516800000,1108740072,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4260; METERED_FL=U; PLACEMENT=mulline,11HH83,,,U,U,,,,,1,,1247616000000,dorleansr,1277078400000,{6F38AD90-21D9-5170-8438-58E88D604CAE},-71.094987737999986,42.287552402000074,STREET_FEA 4460,STREET_FEA 4460,49,derived_0_50_ft,boston-sam,437233,16-28 W Main St,W Main St,42.28762658,-71.09514097,Catbird Court & West Main Street,29,nearest_address
540,10HH84,Outlook Rd,3 Outlook Rd,IS,1249344000000,1008740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3172; METERED_FL=U; PLACEMENT=MIGRATED,10HH84,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{A75C4685-8B8A-5C76-853C-8EC49951213B},-71.093839033999984,42.282017365000058,3 (STREET_FEA 3182),STREET_FEA 3182,62,derived_50_100_ft,boston-sam,106126,3 Outlook Rd,Outlook Rd,42.28218866,-71.09385060,Ormond Street & Outlook Road,146,nearest_address
542,9JH4,Standard St,63 Standard St,IS,,910740135,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1739; METERED_FL=U; PLACEMENT=MIGRATED,9JH4,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{70E1EA52-6D8E-54BC-8495-F4A1353C1390},-71.079266409999946,42.274019171000077,67 (STREET_FEA 3983),STREET_FEA 3983,45,derived_0_50_ft,boston-sam,130127,63 Standard St,Standard St,42.27401866,-71.07910059,Freeland Street & Standard Street,112,nearest_address
550,9JH165,Tanglewood Rd,10-12 Tanglewood Rd,IS,926035200000,910740180,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4399; METERED_FL=U; PLACEMENT=MIGRATED,9JH165,,,KE,KEK81-A,1997,,,,1,,1177632000000,denapolipd,1231891200000,{5EB36916-4506-5003-9111-845BC80CD1A6},-71.070612135999966,42.273065884000061,10-12 (STREET_FEA 4108),STREET_FEA 4108,46,derived_0_50_ft,boston-sam,133806,10-12 Tanglewood Rd,Tanglewood Rd,42.27299565,-71.07046944,Tanglewood Road & Washington Street,197,nearest_address
573,8HH112,Brockton St,46 Brockton St,IS,,808740001,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2831; METERED_FL=U; PLACEMENT=MIGRATED,8HH112,,,MU,MUCENT,2005,,,,1,,1177632000000,denapolipd,1231891200000,{DED76BEA-7CC9-571E-A20F-40DDA628C5BC},-71.097447545999955,42.272644258000071,46 (STREET_FEA 684),STREET_FEA 684,39,derived_0_50_ft,boston-sam,21773,46 Brockton St,Brockton St,42.27269866,-71.09757060,Brockton Street & Messinger Street,115,nearest_address
615,9HH80,Tennis Rd,47 Tennis Rd,IS,1005868800000,908740045,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=209; METERED_FL=U; PLACEMENT=MIGRATED,9HH80,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1236211200000,{7C90171C-DD73-55C5-94E4-0EE3B762B12E},-71.095917933999942,42.276432687000067,47 (STREET_FEA 4129),STREET_FEA 4129,48,derived_0_50_ft,boston-sam,134406,47 Tennis Rd,Tennis Rd,42.27651866,-71.09578060,Almont Street & Orlando Street,368,nearest_address
756,9HH128,Itasca St,150 Itasca St,IS,,908740089,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2831; METERED_FL=U; PLACEMENT=MIGRATED,9HH128,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1231891200000,{0D2666DE-AC1C-5D96-B6E9-FFE3AB6676CF},-71.101139170999943,42.274730639000040,150 (STREET_FEA 2287),STREET_FEA 2287,38,derived_0_50_ft,boston-sam,79103,150 Itasca St,Itasca St,42.27471866,-71.10100060,Itasca Street & Messinger Street,99,nearest_address
789,11HH86,W Main St,33-39 W Main St,IS,1249516800000,1108740075,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4260; METERED_FL=U; PLACEMENT=mulline,11HH86,,,U,U,,,,,1,,1247616000000,dorleansr,1277078400000,{3C1BCBC2-2243-572D-80AE-E0C7D2128BE6},-71.096047319999968,42.287349519000031,STREET_FEA 4460,STREET_FEA 4460,70,derived_50_100_ft,boston-sam,423171,33-39 W Main St,W Main St,42.28716527,-71.09596978,Falcon Lane & West Main Street,108,nearest_address
807,9IH42,Bluefield Ter,26 Bluefield Ter,IS,,909740133,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=572; METERED_FL=U; PLACEMENT=MIGRATED,9IH42,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1236038400000,{70645FF2-EAED-5DEA-80C0-9939CBC6B4A3},-71.084830313999987,42.272890406000045,45 OPP (STREET_FEA 3588),STREET_FEA 3588,63,derived_50_100_ft,boston-sam,16631,26 Bluefield Ter,Bluefield Ter,42.27297866,-71.08503059,Bluefield Terrace & Ridgeview Avenue,80,nearest_address
841,8JH34,River St,82 River St,IS,,810740057,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=386; METERED_FL=U; PLACEMENT=MIGRATED,8JH34,,,MU,MUCENT,2004,,,,1,,1177632000000,chalmersh,1237420800000,{5A25987A-19E7-542D-88A0-3B8C015F82B3},-71.073537442999964,42.270908586000076,12 OPP (STREET_FEA 875),STREET_FEA 875,88,derived_50_100_ft,boston-sam,116730,82 River St,River St,42.27097866,-71.07385059,River Street & Sturbridge Street,162,nearest_address
842,8JH22,Sturbridge St,21 Sturbridge St,IS,,810740026,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2895; METERED_FL=U; PLACEMENT=MIGRATED,8JH22,,,MU,MUCENT,2003,,,,1,,1177632000000,chalmersh,1237420800000,{9468E3BB-7DD6-5CEF-9A51-53B12DCB4701},-71.074178830999983,42.272107984000058,21 (STREET_FEA 4043),STREET_FEA 4043,32,derived_0_50_ft,boston-sam,131677,21 Sturbridge St,Sturbridge St,42.27209866,-71.07406059,Monson Street & Sturbridge Street,98,nearest_address
880,10IH72,Sutton St,11 Sutton St,IS,,1009740062,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2931; METERED_FL=U; PLACEMENT=MIGRATED,10IH72,,,US,USMET250,1989,,,,1,,1177632000000,palaciolv,1236211200000,{D9B891E5-B6CA-514E-BBBA-C4EE7ACA32C4},-71.089137727999969,42.282050737000077,11 (STREET_FEA 4085),STREET_FEA 4085,38,derived_0_50_ft,boston-sam,133065,11 Sutton St,Sutton St,42.28212866,-71.08923060,Sutton Street & Woolson Street,298,nearest_address
892,10IH46,Elizabeth St,9-11 Elizabeth St,IS,875664000000,1009740139,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=331; METERED_FL=U; PLACEMENT=MIGRATED,10IH46,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{46AEF682-5A24-5E71-9981-B69B4AB9DE32},-71.087774752999962,42.279714494000075,11 (STREET_FEA 1481),STREET_FEA 1481,44,derived_0_50_ft,boston-sam,52772,9-11 Elizabeth St,Elizabeth St,42.27965866,-71.08792060,Elizabeth Street & Peyton Place,79,nearest_address
908,11HH36,Westmore Rd,15 Westmore Rd,IS,,1108740043,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1298; METERED_FL=U; PLACEMENT=MIGRATED,11HH36,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{02B001B8-4D8E-5505-A729-BA6E0B5EC887},-71.096082783999975,42.284851956000068,15 (STREET_FEA 4480),STREET_FEA 4480,48,derived_0_50_ft,boston-sam,148688,15 Westmore Rd,Westmore Rd,42.28489866,-71.09625060,Deering Road & Westmore Road,265,nearest_address
994,9JH58,Sturbridge St,47-49 Sturbridge St,IS,,910740178,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3788; METERED_FL=U; PLACEMENT=MIGRATED,9JH58,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1236038400000,{567DA5D5-C645-5C0D-9132-D55F62F25467},-71.074505410999961,42.272907036000049,43-45 (STREET_FEA 4043),STREET_FEA 4043,40,derived_0_50_ft,boston-sam,131687,47-49 Sturbridge St,Sturbridge St,42.27298766,-71.07440259,Monson Street & Sturbridge Street,207,nearest_address
1003,9HH26,Orlando St,81 Orlando St,IS,,908740094,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2831; METERED_FL=U; PLACEMENT=MIGRATED,9HH26,,,MU,MUCENT,1989,,,,1,,1177632000000,denapolipd,1231891200000,{73FF05D6-1DBC-5B4D-A825-546DEA210661},-71.099527363999982,42.274188313000025,78 OPP (STREET_FEA 3170),STREET_FEA 3170,53,derived_50_100_ft,boston-sam,439468,81 Orlando St,Orlando St,42.27420575,-71.09972121,Messinger Street & Orlando Street,216,nearest_address
1014,8HH88,Hollingsworth St,16 Hollingsworth St,IS,757382400000,808740120,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1212; METERED_FL=U; PLACEMENT=MIGRATED,8HH88,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1231891200000,{774B0B49-E34D-5EE2-AF86-561FE4858F91},-71.097868431999984,42.269165604000079,16 (STREET_FEA 2183),STREET_FEA 2183,31,derived_0_50_ft,boston-sam,74679,16 Hollingsworth St,Hollingsworth St,42.26910865,-71.09778060,Cummins Highway & Hollingsworth Street,271,nearest_address
1035,8JH18,Cedar St,24-26 Cedar St,IS,,810740022,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3788; METERED_FL=U; PLACEMENT=MIGRATED,8JH18,,,MU,MUCENT,1987,,,,1,,1177632000000,louisjamey,1438128000000,{37DF893D-0321-5525-9710-DEDCC22B2BF2},-71.075283978999948,42.272293691000073,24-26 (STREET_FEA 857),STREET_FEA 857,31,derived_0_50_ft,boston-sam,26849,24-26 Cedar St,Cedar St,42.27226264,-71.07539208,Monson Street & Sturbridge Street,256,nearest_address
1123,8IH40,Merola Park,23 Merola Park,IS,,809740005,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1119; METERED_FL=U; PLACEMENT=MIGRATED,8IH40,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1231891200000,{5146E07D-AC9D-5F04-8664-36BCB8D022B1},-71.090522031999967,42.272415273000036,23 (STREET_FEA 2826),STREET_FEA 2826,43,derived_0_50_ft,boston-sam,94663,23 Merola Park,Merola Park,42.27242866,-71.09068060,Cookson Terrace & Merola Park,112,nearest_address
1126,8HH72,Itasca St,265 Itasca St,IS,757382400000,808740022,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1212; METERED_FL=U; PLACEMENT=MIGRATED,8HH72,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1244505600000,{E6A9654B-A4E3-5827-814C-37A2DDC3662E},-71.104289606999941,42.271795638000071,265 (STREET_FEA 2287),STREET_FEA 2287,49,derived_0_50_ft,boston-sam,79138,265 Itasca St,Itasca St,42.27185866,-71.10445060,Croydon Street & Itasca Street,35,nearest_address
1129,9IH24,Gladeside Ave,50 Gladeside Ave,IS,,909740140,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=272; METERED_FL=U; PLACEMENT=MIGRATED,9IH24,,,KE,KEK81-A,2009,,,,1,,1177632000000,pullenn,1273104000000,{8649A774-ECDA-5498-951C-19D4F4342822},-71.087160851999954,42.272760901000026,50 (STREET_FEA 1824),STREET_FEA 1824,35,derived_0_50_ft,boston-sam,63752,50 Gladeside Ave,Gladeside Ave,42.27274866,-71.08729060,Arborcrest Terrace & Gladeside Avenue,29,nearest_address
1130,8HH140,Blue Hill Ave,1589-1593 Blue Hill Ave,IS,,808740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1603; METERED_FL=U; PLACEMENT=MIGRATED,8HH140,,,KE,KEK81-A,2005,,,,1,,1177632000000,denapolipd,1231891200000,{EC72E25C-AAD5-5841-8B21-B14EB2B9CC3C},-71.093916010999976,42.269451515000071,1589 (STREET_FEA 567),STREET_FEA 567,44,derived_0_50_ft,boston-sam,16327,1589-1593 Blue Hill Ave,Blue Hill Ave,42.26951395,-71.09405747,Babson Street & Blue Hill Avenue,244,nearest_address
1192,8IH91,Babson St,108 Babson St,IS,,809740089,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1745; METERED_FL=U; PLACEMENT=blundonr,8IH91,,,U,U,,,,,1,,1216598400000,blundonr,1216598400000,{474F187D-5944-52EF-B44B-D99DAA3C9661},-71.092124286999933,42.271711691000064,108 (STREET_FEA 373),STREET_FEA 373,69,derived_50_100_ft,boston-sam,7425,108 Babson St,Babson St,42.27178865,-71.09189060,Babson Street & Fremont Street,197,nearest_address
