objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
2034,7DH74,Blueview Rd,4 Blueview Rd,IS,,704740037,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=573; METERED_FL=U; PLACEMENT=MIGRATED,7DH74,,,WA,WAWB67P,1987,,,,1,,1177632000000,connorsm,1237852800000,{86F170C1-D61F-5C58-B645-4B461AE3E29C},-71.149508936999950,42.264127479000081,4 (STREET_FEA 574),STREET_FEA 574,51,derived_50_100_ft,boston-sam,162321,4 Blueview Rd,Blueview Rd,42.26421831,-71.14965348,Blueview Circle & Blueview Road,54,nearest_address
2041,12DH34,Garnet Rd,67 Garnet Rd,IS,901152000000,1204740013,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1610; METERED_FL=U; PLACEMENT=MIGRATED,12DH34,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{70C50AD7-0483-5477-89CD-2150FA3A3DE9},-71.156924352999965,42.294502372000068,71 (STREET_FEA 1785),STREET_FEA 1785,39,derived_0_50_ft,boston-sam,62809,67 Garnet Rd,Garnet Rd,42.29451866,-71.15678062,Farmington Road & Garnet Road,325,nearest_address
2046,9CH137,Springvale Ave,14 Springvale Ave,IS,,903740162,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3967; METERED_FL=U; PLACEMENT=palaciolv,9CH137,,,MU,MUCENT,2003,,,,1,,1191888000000,blundonr,1255478400000,{CB3CE384-EF1B-5804-918E-5F4B6AF26AE9},-71.164457279999965,42.277845671000080,14 (STREET_FEA 3974),STREET_FEA 3974,72,derived_50_100_ft,boston-sam,130050,14 Springvale Ave,Springvale Ave,42.27764865,-71.16445062,Spring Street & Springvale Avenue,235,nearest_address
2051,9CH92,Cass St,58 Cass St,IS,,903740092,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=320; METERED_FL=U; PLACEMENT=MIGRATED,9CH92,,,MU,MUCENT,1991,,,,1,,1177632000000,connorsm,1240876800000,{A14E7809-2CF1-57BA-9C00-106C63747058},-71.162195394999969,42.275120447000063,58 (STREET_FEA 835),STREET_FEA 835,55,derived_50_100_ft,boston-sam,26313,58 Cass St,Cass St,42.27525865,-71.16211062,Ashland Avenue & Birchland Avenue,108,nearest_address
2053,8BH24,Spring St,304 Spring St,IS,,802740001,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=528; METERED_FL=U; PLACEMENT=MIGRATED,8BH24,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1240963200000,{C3F40F17-053F-57A3-B4C2-03A7D025BC94},-71.171600784999953,42.272510904000058,304 OPP (STREET_FEA 3967),STREET_FEA 3967,104,derived_100_150_ft,boston-sam,129579,304 Spring St,Spring St,42.27227465,-71.17138262,Billings Street & Spring Street,78,nearest_address
2090,12CH88,VFW Pkwy,705 VFW Pkwy,IS,,1203740030,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1138; METERED_FL=U; PLACEMENT=MIGRATED,12CH88,,,WA,WAWB67P,1987,,,,1,,1177632000000,chalmersh,1240358400000,{D0F615CF-22EE-56D7-B664-CF256E2233CD},-71.162469741999985,42.293598553000038,705 (STREET_FEA 4300),STREET_FEA 4300,68,derived_50_100_ft,boston-sam,140371,705 VFW Pkwy,VFW Pkwy,42.29376866,-71.16257062,Corey Street & Veterans of Foreign Wars Parkway,65,nearest_address
2104,10CH52,Sanborn Ave,101 Sanborn Ave,IS,,1003740056,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3712; METERED_FL=U; PLACEMENT=MIGRATED,10CH52,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1236038400000,{31EBFFA9-BDCC-5ACD-AC54-710048FC1A43},-71.166297458999964,42.282360369000060,101 (STREET_FEA 3785),STREET_FEA 3785,44,derived_0_50_ft,boston-sam,122174,101 Sanborn Ave,Sanborn Ave,42.28247866,-71.16627062,Sherbrook Street & Temple Street,330,nearest_address
2115,8CH50,Joyce Kilmer Rd,43 Joyce Kilmer Rd,IS,,803740047,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1842; METERED_FL=U; PLACEMENT=MIGRATED,8CH50,,,MU,MUCENT,2000,,,,1,,1177632000000,connorsm,1240963200000,{0FBBBB62-68AA-53F5-9BF1-234260E5F9A8},-71.165235724999945,42.271031852000078,43 (STREET_FEA 2345),STREET_FEA 2345,52,derived_50_100_ft,boston-sam,80237,43 Joyce Kilmer Rd,Joyce Kilmer Rd,42.27110865,-71.16540062,Belle Avenue & Gould Street,193,nearest_address
2126,10DH52,Bellevue St,109 Bellevue St,IS,,1004740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2764; METERED_FL=U; PLACEMENT=MIGRATED,10DH52,,,KE,KEK81-A,1998,,,,1,,1177632000000,palaciolv,1236038400000,{926362EE-C76B-5486-9BDF-6B799714D522},-71.153853017999950,42.280827725000051,109 (STREET_FEA 486),STREET_FEA 486,54,derived_50_100_ft,boston-sam,13898,109 Bellevue St,Bellevue St,42.28067866,-71.15387062,Bellevue Street & Maxfield Street,53,nearest_address
2127,12DH36,Garnet Rd,47 Garnet Rd,IS,901152000000,1204740029,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4430; METERED_FL=U; PLACEMENT=MIGRATED,12DH36,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{79C57A3D-BF03-524E-9ECE-F2530811AA18},-71.156279328999972,42.293873072000054,47 (STREET_FEA 1785),STREET_FEA 1785,35,derived_0_50_ft,boston-sam,62798,47 Garnet Rd,Garnet Rd,42.29394866,-71.15620062,Manthorne Road & Rickerhill Road,316,nearest_address
2138,10DH100,Park St,181 Park St,IS,,1004740019,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3730; METERED_FL=U; PLACEMENT=MIGRATED,10DH100,,,KE,KEK81-A,1994,,,,1,,1177632000000,denapolipd,1250035200000,{6C868226-4BB1-5449-8997-7E22AED39E43},-71.152602507999973,42.283180804000040,181 (STREET_FEA 3215),STREET_FEA 3215,44,derived_0_50_ft,boston-sam,107459,181 Park St,Park St,42.28306866,-71.15266062,Park Street & Rutledge Street,160,nearest_address
2140,9BH26,VFW Pkwy,1400 VFW Pkwy,IS,,902740034,,,GPS,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=3417; METERED_FL=U; PLACEMENT=blundonr,9BH26,,,U,U,,,,,1,,1247616000000,blundonr,1247788800000,{3C7876CA-4BDE-5383-9248-8D458BD63358},-71.171411916999944,42.275835368000060,1400 (STREET_FEA 4300),STREET_FEA 4300,144,derived_100_150_ft,boston-sam,347408,1400 VFW Pkwy,VFW Pkwy,42.27544054,-71.17135708,Charles Park Road & Veterans of Foreign Wars Parkway,419,nearest_address
2141,9DH48,John Alden Rd,7 John Alden Rd,IS,,904740071,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2426; METERED_FL=U; PLACEMENT=MIGRATED,9DH48,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{BC0E7594-8CB1-5EC2-88E2-C38F364C9C32},-71.152796453999940,42.276253427000029,7 (STREET_FEA 171),STREET_FEA 171,50,derived_0_50_ft,boston-sam,79847,7 John Alden Rd,John Alden Rd,42.27624865,-71.15298062,John Alden Road & Lagrange Street,175,nearest_address
2143,12DH86,Russett Rd,123 Russett Rd,IS,990748800000,1204740095,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3816; METERED_FL=U; PLACEMENT=MIGRATED,12DH86,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{8C976B0C-B946-53D6-A66B-CB1261106661},-71.151445132999982,42.292022475000067,123 (STREET_FEA 3721),STREET_FEA 3721,39,derived_0_50_ft,boston-sam,119820,123 Russett Rd,Russett Rd,42.29208866,-71.15133062,Russett Road & Schirmer Road,178,nearest_address
2153,9DH4,Saint Theresa Ave,64 Saint Theresa Ave,IS,,904740044,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=994; METERED_FL=U; PLACEMENT=MIGRATED,9DH4,,,MU,MUCENT,1991,,,,1,,1177632000000,chalmersh,1237420800000,{45E8CEB4-9D5D-5D1B-9AE7-135320638553},-71.156514665999964,42.277031000000079,64 (STREET_FEA 3769),STREET_FEA 3769,41,derived_0_50_ft,boston-sam,154782,64 Saint Theresa Ave,Saint Theresa Ave,42.27713865,-71.15656062,Churchill Road & Saint Theresa Avenue,29,nearest_address
2161,8CH100,Baker St,64 Baker St,IS,,803740010,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2345; METERED_FL=U; PLACEMENT=MIGRATED,8CH100,,,KE,KEK81-A,1995,,,,1,,1177632000000,connorsm,1240963200000,{F4AAAE25-6818-577D-9348-5AD68FABA98C},-71.164147558999957,42.272309716000052,64 (STREET_FEA 384),STREET_FEA 384,62,derived_50_100_ft,boston-sam,7781,64 Baker St,Baker St,42.27224865,-71.16436062,Baker Street & Joyce Kilmer Road,36,nearest_address
2189,13EH59,Allandale St,210-212 Allandale St,IS,561686400000,1305740062,,,U,,,,,PRIV,SERVICE_AR=SEH; CROSS_STRE=187; METERED_FL=U; PLACEMENT=obrienm,13EH59,,,U,U,,,,,1,,1461628800000,obrienm,1461715200000,{292D4566-2E55-57FD-B1AB-064783B8C0D0},-71.138851370999987,42.300048577000041,210-212 (STREET_FEA 186),STREET_FEA 186,94,derived_50_100_ft,boston-sam,437644,210-212 Allandale St,Allandale St,42.29996670,-71.13918319,Hackensack Court & Hackensack Road,794,nearest_address
2210,11CH68,Wolfe St,15-17 Wolfe St,IS,,1103740124,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1317; METERED_FL=U; PLACEMENT=MIGRATED,11CH68,,,WA,WAWB67P,1980,,,,1,,1177632000000,chalmersh,1240358400000,{824EC82C-E9E2-5459-BE0E-26BBABB97CE5},-71.165216148999946,42.286026936000042,21 (STREET_FEA 4599),STREET_FEA 4599,44,derived_0_50_ft,boston-sam,151185,15-17 Wolfe St,Wolfe St,42.28614866,-71.16523062,Lagrange Street & Wolfe Street,261,nearest_address
2247,6DH8,Birchwood St,48 Birchwood St,IS,,604740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1948; METERED_FL=U; PLACEMENT=MIGRATED,6DH8,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{8FE70C20-61D9-5D0C-8AF4-C44B333E4AEC},-71.157532211999978,42.258260142000040,48 (STREET_FEA 539),STREET_FEA 539,35,derived_0_50_ft,boston-sam,15686,48 Birchwood St,Birchwood St,42.25832865,-71.15744062,Grove Street & Jeshurun Street,319,nearest_address
2259,12CH20,Lasell St,152 Lasell St,IS,,1203740134,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=831; METERED_FL=U; PLACEMENT=MIGRATED,12CH20,,,US,USMET250,1991,,,,1,,1177632000000,chalmersh,1240444800000,{8A668E67-99EB-5960-9362-86AA80CEA805},-71.165556667999965,42.289931600000045,152 (STREET_FEA 2462),STREET_FEA 2462,39,derived_0_50_ft,boston-sam,84181,152 Lasell St,Lasell St,42.28999866,-71.16567062,Caspar Street & Lasell Street,91,nearest_address
2273,8CH74,Glenellen Rd,55 Glenellen Rd,IS,,803740108,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3097; METERED_FL=U; PLACEMENT=MIGRATED,8CH74,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{7E197BCE-2398-5CAE-9B80-10A7388E74AD},-71.163148526999976,42.268537831000060,70 (STREET_FEA 1840),STREET_FEA 1840,68,derived_50_100_ft,boston-sam,64373,55 Glenellen Rd,Glenellen Rd,42.26866865,-71.16333062,Glenellen Road & Northdale Road,184,nearest_address
2307,6DH12,Grove St,311-321 Grove St,IS,,604740074,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2314; METERED_FL=U; PLACEMENT=MIGRATED,6DH12,,,MU,MUCENT,2003,,,,1,,1177632000000,connorsm,1240790400000,{B0EAF4F2-A77C-55C5-BD2C-C930103458E9},-71.156405724999956,42.258777893000058,313 OPP (STREET_FEA 1948),STREET_FEA 1948,103,derived_100_150_ft,boston-sam,459594,311-321 Grove St,Grove St,42.25868415,-71.15676691,Grove Street & Jeshurun Street,81,nearest_address
2324,11CH120,Lasell St,134 Lasell St,IS,,1103740005,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2426; METERED_FL=U; PLACEMENT=MIGRATED,11CH120,,,US,USMET250,1991,,,,1,,1177632000000,blundonr,1255478400000,{2E75A9F3-4B1D-5ABE-8617-3EA4C98D4A7B},-71.166335757999946,42.289350994000074,134 (STREET_FEA 2462),STREET_FEA 2462,49,derived_0_50_ft,boston-sam,84170,134 Lasell St,Lasell St,42.28946866,-71.16642062,Lasell Street & Newfield Street,147,nearest_address
2333,8CH36,Gould St,76 Gould St,IS,,803740041,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3097; METERED_FL=U; PLACEMENT=MIGRATED,8CH36,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1244505600000,{0FB144A9-F825-5039-8D52-4415DB9DF271},-71.166778169999986,42.271195762000048,76 (STREET_FEA 1880),STREET_FEA 1880,62,derived_50_100_ft,boston-sam,65593,76 Gould St,Gould St,42.27135865,-71.16685062,Gould Street & Northdale Road,24,nearest_address
2346,8CH106,Macullar Rd,15 Macullar Rd,IS,,803740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=263; METERED_FL=U; PLACEMENT=MIGRATED,8CH106,,,MU,MUCENT,2005,,,,1,,1177632000000,connorsm,1240963200000,{97F84721-ECB2-5DE3-B4DA-14BAF643AF7B},-71.162237976999961,42.272142210000027,23 (STREET_FEA 2640),STREET_FEA 2640,36,derived_0_50_ft,boston-sam,88132,15 Macullar Rd,Macullar Rd,42.27220865,-71.16214062,Centre Street & Wedgemere Road,221,nearest_address
2351,12DH40,Weld St,545 Weld St,IS,662688000000,1204740064,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2678; METERED_FL=U; PLACEMENT=MIGRATED,12DH40,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{B82BAD85-222B-596B-BF6C-26893FB80CEF},-71.154921026999943,42.292693581000037,545 (STREET_FEA 1785),STREET_FEA 1785,50,derived_0_50_ft,boston-sam,147184,545 Weld St,Weld St,42.29280866,-71.15502062,Garnet Road & Weld Street,53,nearest_address
2353,9DH32,Sparrow St,30 Sparrow St,IS,,904740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3962; METERED_FL=U; PLACEMENT=MIGRATED,9DH32,,,KE,KEK81-A,1995,,,,1,,1177632000000,chalmersh,1237507200000,{CAA1FD18-88FE-5933-8141-62B65FD4D0CD},-71.149334808999981,42.273451326000043,32 (STREET_FEA 3954),STREET_FEA 3954,74,derived_50_100_ft,boston-sam,129281,30 Sparrow St,Sparrow St,42.27365476,-71.14934271,Sparrow Street & Spinney Street,114,nearest_address
2375,11DH1,Church St,8 Church St,IS,,1104740032,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=883; METERED_FL=U; PLACEMENT=MIGRATED,11DH1,,,MU,MUCENT,2000,,,,1,,1177632000000,denapolipd,1250035200000,{F11F33DD-B26C-5176-B345-33FEB3509EEC},-71.145331955999950,42.288395035000065,1-3 OPP (STREET_FEA 992),STREET_FEA 992,55,derived_50_100_ft,boston-sam,441858,8 Church St,Church St,42.28841539,-71.14553473,Church Street & Paulman Circle,206,nearest_address
2377,12DH104,Theodore Parker Rd,99 Theodore Parker Rd,IS,,1204740136,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3305; METERED_FL=U; PLACEMENT=MIGRATED,12DH104,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{D96FD499-7CDA-5596-826E-F7C648988473},-71.149398056999985,42.290685759000041,99 (STREET_FEA 4154),STREET_FEA 4154,56,derived_50_100_ft,boston-sam,134794,99 Theodore Parker Rd,Theodore Parker Rd,42.29069866,-71.14919062,Pierpont Road & Theodore Parker Road,45,nearest_address
2390,12DH183,Weld St,238 Weld St,IS,1245715200000,1204740052,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=746; METERED_FL=U; PLACEMENT=MIGRATED,12DH183,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1291680000000,{03D93635-23EC-5F6C-B08A-0180E0A7042C},-71.144709110999941,42.293122236000045,239 (STREET_FEA 4430),STREET_FEA 4430,44,derived_0_50_ft,boston-sam,147110,238 Weld St,Weld St,42.29312866,-71.14487061,Burnside Avenue & Weld Street,84,nearest_address
2422,10DH68,March Ave,17 March Ave,IS,,1004740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=486; METERED_FL=U; PLACEMENT=MIGRATED,10DH68,,,US,USMET250,1989,,,,1,,1177632000000,palaciolv,1236038400000,{F653713C-3A34-5486-A8B9-EB2C6E0810AA},-71.155036812999981,42.283617167000045,17 (STREET_FEA 2694),STREET_FEA 2694,52,derived_50_100_ft,boston-sam,89611,17 March Ave,March Ave,42.28371866,-71.15517062,March Avenue & March Way,88,nearest_address
2436,8CH90,Glenhaven Rd,8 Glenhaven Rd,IS,,803740060,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1840; METERED_FL=U; PLACEMENT=MIGRATED,8CH90,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1240876800000,{D7D42044-BB06-56A5-A684-EB085AC5C7D6},-71.162886679999986,42.270624435000059,6 (STREET_FEA 1842),STREET_FEA 1842,46,derived_0_50_ft,boston-sam,64431,8 Glenhaven Rd,Glenhaven Rd,42.27051865,-71.16298062,Glenellen Road & Glenhaven Road,86,nearest_address
2439,14CH4,Bryon Rd,22-34 Bryon Rd,IS,,1403740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4472; METERED_FL=U; PLACEMENT=MIGRATED,14CH4,,,MU,MUCENT,1987,,,,1,,1177632000000,chalmersh,1240444800000,{5D237BDB-A91F-55C8-9ABD-21915163A2ED},-71.166631535999954,42.301895344000059,26 (STREET_FEA 721),STREET_FEA 721,119,derived_100_150_ft,boston-sam,343174,22-34 Bryon Rd,Bryon Rd,42.30158309,-71.16675691,Bryon Road & Westgate Road,114,nearest_address
2456,7DH92,Cedarcrest Rd,62 Cedarcrest Rd,IS,,704740047,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=862; METERED_FL=U; PLACEMENT=MIGRATED,7DH92,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{6DFC1547-2E9F-5B02-928C-2CBAF84106F3},-71.147430350999969,42.263704519000044,62 (STREET_FEA 863),STREET_FEA 863,47,derived_0_50_ft,boston-sam,27170,62 Cedarcrest Rd,Cedarcrest Rd,42.26378865,-71.14756061,Cedarcrest Road & Cedarcrest Terrace,211,nearest_address
2458,10CH110,Landseer Ter,4 Landseer Ter,IS,,1003740142,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2448; METERED_FL=U; PLACEMENT=MIGRATED,10CH110,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1236038400000,{4FB6C3AD-A207-5C55-B6E7-FEC633580FD9},-71.157901423999988,42.279163343000050,4 (STREET_FEA 2449),STREET_FEA 2449,42,derived_0_50_ft,boston-sam,83879,4 Landseer Ter,Landseer Ter,42.27909866,-71.15777062,Landseer Street & Landseer Terrace,158,nearest_address
2471,9DH10,Howitt Rd,78 Howitt Rd,IS,,904740073,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3769; METERED_FL=U; PLACEMENT=MIGRATED,9DH10,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{EDF59E0F-70A4-57AB-8723-CC25C2A791FF},-71.153699788999972,42.276104697000051,78 (STREET_FEA 2219),STREET_FEA 2219,42,derived_0_50_ft,boston-sam,75725,78 Howitt Rd,Howitt Rd,42.27621865,-71.15373062,Quail Street & Saint Theresa Avenue,78,nearest_address
2472,9CH26,Spring St,203 Spring St,IS,,903740100,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2968; METERED_FL=U; PLACEMENT=MIGRATED,9CH26,,,MU,MUCENT,1992,,,,1,,1177632000000,connorsm,1240876800000,{91A03D6F-27A1-5BE6-9363-78B1F0DE0FBF},-71.168517318999989,42.274901233000037,200 OPP (STREET_FEA 3967),STREET_FEA 3967,84,derived_50_100_ft,boston-sam,129560,203 Spring St,Spring St,42.27484865,-71.16882062,Cypress Street & Moville Street,43,nearest_address
2476,8CH127,Glenhaven Rd,2 Glenhaven Rd,IS,1115942400000,803740128,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1842; METERED_FL=U; PLACEMENT=denapolipd,8CH127,,,MU,MUCENT,2005,,,,1,,1192752000000,blundonr,1238371200000,{4ACB141B-3CF1-5A54-AE43-F7713EA52B7C},-71.162031149999962,42.270242073000077,2360 OPP (STREET_FEA 886),STREET_FEA 886,56,derived_50_100_ft,boston-sam,64416,2 Glenhaven Rd,Glenhaven Rd,42.27026865,-71.16223462,Centre Street & Glenhaven Road,32,nearest_address
2498,7DH48,Cedarcrest Cir,22 Cedarcrest Cir,IS,,704740094,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=863; METERED_FL=U; PLACEMENT=MIGRATED,7DH48,,,KE,KEK81-A,2009,,,,1,,1177632000000,pullenn,1273104000000,{C81B55BC-F0A9-5638-B01A-C75540BA7D81},-71.149877478999940,42.261995990000059,22 (STREET_FEA 861),STREET_FEA 861,32,derived_0_50_ft,boston-sam,27132,22 Cedarcrest Cir,Cedarcrest Cir,42.26195865,-71.14977061,Running Brook Road & Woodley Avenue,284,nearest_address
2540,10EH197,West Roxbury Pkwy,721 West Roxbury Pkwy,IS,1069027200000,1005740214,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4603; METERED_FL=U; PLACEMENT=MIGRATED,10EH197,,,MU,MUCENT,2002,,,,1,,1177632000000,palaciolv,1236124800000,{ACBF954E-DBC9-5351-BFAF-8199B2AE8B9B},-71.144558112999960,42.280529703000070,STREET_FEA 487,STREET_FEA 487,73,derived_50_100_ft,boston-sam,119257,721 West Roxbury Pkwy,West Roxbury Pkwy,42.28036866,-71.14472061,West Roxbury Parkway & Woodard Road,167,nearest_address
2578,12CH40,Brook Farm Rd,65 Brook Farm Rd,IS,,1203740051,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=401; METERED_FL=U; PLACEMENT=MIGRATED,12CH40,,,MU,MUCENT,1991,,,,1,,1177632000000,chalmersh,1240358400000,{71F6E910-0E97-51A8-9995-E32CDA52994F},-71.166545379999945,42.292909428000030,65 (STREET_FEA 690),STREET_FEA 690,66,derived_50_100_ft,boston-sam,21929,65 Brook Farm Rd,Brook Farm Rd,42.29306866,-71.16666062,Banks Street & Brook Farm Road,103,nearest_address
2582,6DH32,Jeshurun St,39 Jeshurun St,IS,,604740080,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1948; METERED_FL=U; PLACEMENT=MIGRATED,6DH32,,,MU,MUCENT,2003,,,,1,,1177632000000,denapolipd,1250208000000,{C8E22AF1-D06E-5531-A9A4-1B86E360ADDE},-71.153325989999985,42.258642143000031,43 (STREET_FEA 2314),STREET_FEA 2314,98,derived_50_100_ft,boston-sam,79766,39 Jeshurun St,Jeshurun St,42.25863665,-71.15368862,Edgemere Road & Willers Street,482,nearest_address
2589,9CH106,Summer St,3 Summer St,IS,817257600000,903740042,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3369; METERED_FL=U; PLACEMENT=MIGRATED,9CH106,,,KE,KEK81-A,1995,,,,1,,1177632000000,connorsm,1240876800000,{E70F4F4E-8703-5FDF-BD20-C38FB521719F},-71.163297712999963,42.276988189000065,3 (STREET_FEA 4052),STREET_FEA 4052,46,derived_0_50_ft,boston-sam,132070,3 Summer St,Summer St,42.27687865,-71.16321062,Powell Street & Summer Street,52,nearest_address
2592,11CH124,Mount Vernon St,58 Mount Vernon St,IS,,1103740190,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4482; METERED_FL=U; PLACEMENT=MIGRATED,11CH124,,,US,USMET250,1986,,,,1,,1177632000000,blundonr,1255478400000,{0FBEC25D-7A5A-5EA9-BEE3-E44BDE1B6111},-71.159390364999979,42.284135204000052,58 (STREET_FEA 2962),STREET_FEA 2962,47,derived_0_50_ft,boston-sam,99051,58 Mount Vernon St,Mount Vernon St,42.28404866,-71.15952062,Mount Vernon Street & Westmount Avenue,171,nearest_address
2605,12DH58,Manthorne Rd,136 Manthorne Rd,IS,,1204740104,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=152; METERED_FL=U; PLACEMENT=MIGRATED,12DH58,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{449EDB5B-5DDB-5823-BD76-DBB75230DBB4},-71.153376890999937,42.291707065000026,136 (STREET_FEA 2678),STREET_FEA 2678,57,derived_50_100_ft,boston-sam,89096,136 Manthorne Rd,Manthorne Rd,42.29160866,-71.15354062,Alameda Road & Manthorne Road,251,nearest_address
2608,12EH20,Cerdan Ave,51 Cerdan Ave,IS,1217548800000,1205740114,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=481; METERED_FL=U; PLACEMENT=MIGRATED,12EH20,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1263168000000,{76C595DB-89BF-590D-B44E-D330C0B80152},-71.142818565999960,42.291188528000077,51 (STREET_FEA 888),STREET_FEA 888,42,derived_0_50_ft,boston-sam,28513,51 Cerdan Ave,Cerdan Ave,42.29120866,-71.14297062,Bellaire Road & Cerdan Avenue,42,nearest_address
2616,7DH96,Cedarcrest Rd,84 Cedarcrest Rd,IS,,704740029,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=863; METERED_FL=U; PLACEMENT=MIGRATED,7DH96,,,MU,MUCENT,2005,,,,1,,1177632000000,connorsm,1240963200000,{EE4A6599-C18B-5D5C-8EBE-56CF21DD3562},-71.147113604999959,42.264680156000054,84 (STREET_FEA 864),STREET_FEA 864,42,derived_0_50_ft,boston-sam,27179,84 Cedarcrest Rd,Cedarcrest Rd,42.26477586,-71.14719868,Cedarcrest Road & Cedarcrest Terrace,157,nearest_address
