objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
162,11CH168,Park St,61 Park St,IS,,1103740126,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=344; METERED_FL=U; PLACEMENT=MIGRATED,11CH168,,,US,USSEN,1986,,,,1,,1177632000000,blundonr,1255478400000,{7A4BA2C4-1C43-5AB1-B959-5A9B21A86D60},-71.157749758999955,42.285969212000055,51 (STREET_FEA 3215),STREET_FEA 3215,62,derived_50_100_ft,boston-sam,107556,61 Park St,Park St,42.28579866,-71.15775062,Atwill Road & Park Street,93,nearest_address
185,12CH80,Corey St,290 Corey St,IS,,1203740066,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1419; METERED_FL=U; PLACEMENT=MIGRATED,12CH80,,,KE,KEK81-A,2011,,,,1,,1177632000000,blundonr,1244505600000,{324DED19-B265-582D-892C-3C996EC019A5},-71.161629781999977,42.292459520000079,294 (STREET_FEA 1138),STREET_FEA 1138,56,derived_50_100_ft,boston-sam,172097,290 Corey St,Corey St,42.29234325,-71.16176802,Corey Street & Maple Street,198,nearest_address
188,9CH14,Laurie Ave,142 Laurie Ave,IS,,903740135,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2924; METERED_FL=U; PLACEMENT=MIGRATED,9CH14,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{0714F2D5-95BF-50B5-AF18-1BE5AB734BB7},-71.167042931999958,42.273626786000079,142 (STREET_FEA 2468),STREET_FEA 2468,53,derived_50_100_ft,boston-sam,84300,142 Laurie Ave,Laurie Ave,42.27374865,-71.16715062,Laurie Avenue & Morrell Street,275,nearest_address
190,9DH116,Rustic Rd,11 Rustic Rd,IS,1242950400000,904740011,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=486; METERED_FL=U; PLACEMENT=MIGRATED,9DH116,,,KE,USMET250,2008,,,,1,,1177632000000,hoffmanr,1456963200000,{D72E23AE-2099-5C87-8352-4D817B5D47B7},-71.150663719999955,42.278127936000033,17 (STREET_FEA 3722),STREET_FEA 3722,44,derived_0_50_ft,boston-sam,119869,11 Rustic Rd,Rustic Rd,42.27824865,-71.15068062,Emmonsdale Road & Rustic Road,222,nearest_address
193,10DH18,Sturges Rd,38 Sturges Rd,IS,,1004740098,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2426; METERED_FL=U; PLACEMENT=MIGRATED,10DH18,,,US,USSEN,1983,,,,1,,1177632000000,palaciolv,1236038400000,{C84011C1-09F6-5DF5-8E40-37713DE26A57},-71.155697878999945,42.280355765000024,34 (STREET_FEA 4044),STREET_FEA 4044,37,derived_0_50_ft,boston-sam,131699,38 Sturges Rd,Sturges Rd,42.28025865,-71.15566062,Lagrange Street & Sturges Road,306,nearest_address
194,9DH96,Emmonsdale Rd,52 Emmonsdale Rd,IS,1242950400000,904740028,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3722; METERED_FL=U; PLACEMENT=MIGRATED,9DH96,,,KE,KEK81-A,2008,,,,1,,1177632000000,hoffmanr,1456963200000,{572C3D0E-4E2C-5D3A-98FE-0FA6DCFB3CF0},-71.151264084999980,42.277617538000072,52 OPP (STREET_FEA 1529),STREET_FEA 1529,78,derived_50_100_ft,boston-sam,53756,52 Emmonsdale Rd,Emmonsdale Rd,42.27782865,-71.15121062,Emmonsdale Road & Rustic Road,33,nearest_address
206,11CH170,Park St,35 Park St,IS,,1103740107,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=344; METERED_FL=U; PLACEMENT=MIGRATED,11CH170,,,DA,ADB-84-B,1988,,,,1,,1177632000000,blundonr,1255478400000,{FDBEA968-98AE-54B6-A21D-07863C767DFC},-71.158448361999945,42.286480012000027,35 (STREET_FEA 3215),STREET_FEA 3215,48,derived_0_50_ft,boston-sam,107532,35 Park St,Park St,42.28635866,-71.15852062,Atwill Road & Park Street,173,nearest_address
209,11CH108,Potomac St,67 Potomac St,IS,,1103740158,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2310; METERED_FL=U; PLACEMENT=MIGRATED,11CH108,,,WA,WAWB67P,1980,,,,1,,1177632000000,blundonr,1255478400000,{FE770579-B68C-5932-90AA-51D4094FD752},-71.161836082999969,42.285101203000067,67 (STREET_FEA 3367),STREET_FEA 3367,31,derived_0_50_ft,boston-sam,112403,67 Potomac St,Potomac St,42.28501866,-71.16187062,Jennett Avenue & Potomac Street,189,nearest_address
213,12EH39,Lantern Ln,11 Lantern Ln,IS,,1205740036,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4430; METERED_FL=U; PLACEMENT=MIGRATED,12EH39,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{8418B8C4-F28D-5249-875F-26C4D897B531},-71.144283813999948,42.293782122000039,11 (STREET_FEA 2454),STREET_FEA 2454,58,derived_50_100_ft,boston-sam,84012,11 Lantern Ln,Lantern Ln,42.29379866,-71.14407061,Burnside Avenue & Weld Street,187,nearest_address
215,9BH25,Moloney Street,Near Moloney Street & Moville Street,IS,,902740033,,,MANUAL,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=3417; METERED_FL=U; PLACEMENT=blundonr,9BH25,,,U,U,,,,,1,,1247616000000,blundonr,1247788800000,{7D9F4B62-166D-5E4F-BA02-895746D9A3AA},-71.170716653999989,42.275847851000037,1400 (STREET_FEA 4300),STREET_FEA 4300,159,intersection_preferred_150_plus_ft,boston-sam,99182,49 Moville St,Moville St,42.27566799,-71.17017774,Moloney Street & Moville Street,470,nearest_intersection
218,7DH52,Washington St,5057-5059 Washington St,IS,,704740020,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3314; METERED_FL=U; PLACEMENT=MIGRATED,7DH52,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{C01EE8D2-FFF1-50BC-9C11-1773F61D8972},-71.153245117999973,42.264991530000032,5061 (STREET_FEA 4401),STREET_FEA 4401,90,derived_50_100_ft,boston-sam,145570,5057-5059 Washington St,Washington St,42.26523065,-71.15333562,Pinecliff Road & Washington Street,92,nearest_address
