objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
8148,23CH170,Hobart St,49 Hobart St,IS,,2303740009,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1605; METERED_FL=U; PLACEMENT=MIGRATED,23CH170,,,WA,WAWB67P,1987,,,,1,,1177632000000,blundonr,1255478400000,{2DA57683-B8EC-53C3-89FD-A7A6D3790709},-71.159578763999946,42.355044421000059,45-47 (STREET_FEA 2168),STREET_FEA 2168,45,derived_0_50_ft,boston-sam,74360,49 Hobart St,Hobart St,42.35515867,-71.15964062,Corinne Road & Falkland Street,333,nearest_address
8337,23CH98,Brooks St,109 Brooks St,IS,,2303740047,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4261; METERED_FL=U; PLACEMENT=MIGRATED,23CH98,,,WA,WAWB67P,1988,,,,1,,1177632000000,blundonr,1255478400000,{BA25C6F5-2161-5B5B-8FE7-CAD2D96B672F},-71.163052802999971,42.353778748000025,109 (STREET_FEA 700),STREET_FEA 700,39,derived_0_50_ft,boston-sam,22363,109 Brooks St,Brooks St,42.35374867,-71.16319062,Bothwell Road & Hobson Street,271,nearest_address
8366,22BH26,Huntington Rd,131 Huntington Rd,IS,912470400000,2202740025,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=BlundoNR,22BH26,,,MU,MUCENT,1997,,,,1,,1301961600000,BlundoNR,1302048000000,{532FD1ED-C745-5EE7-AEDF-8F3C3D5A80DD},-71.170688982999934,42.348166121000077,135 (STREET_FEA 5411),STREET_FEA 5411,91,derived_50_100_ft,boston-sam,347474,131 Huntington Rd,Huntington Rd,42.34798374,-71.17092021,Glenley Terrace & Huntington Road,140,nearest_address
8369,21EH44,Orchard Rd,40 Orchard Rd,IS,,2105740044,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1134; METERED_FL=U; PLACEMENT=MIGRATED,21EH44,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{B160C20A-22BF-5A67-9C6E-2760EFB1F01D},-71.140781441999934,42.341652363000037,40 OPP (STREET_FEA 3159),STREET_FEA 3159,77,derived_50_100_ft,boston-sam,105411,40 Orchard Rd,Orchard Rd,42.34153775,-71.14102219,Corey Road & Orchard Road,123,nearest_address
8417,20DH13,Commonwealth Ave,1880 Commonwealth Ave,IS,965952000000,2004740021,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=970; METERED_FL=U; PLACEMENT=MIGRATED,20DH13,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{977A170C-BD94-563B-8563-D8A0B3ABE3C2},-71.152925295999978,42.338045528000066,1880 (STREET_FEA 1090),STREET_FEA 1090,75,derived_50_100_ft,boston-sam,419787,1880 Commonwealth Ave,Commonwealth Ave,42.33787334,-71.15277544,Chestnut Hill Avenue & Commonwealth Avenue,79,nearest_address
8439,21CH91,Lake St,3 Lake St,IS,1249257600000,2103740102,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=mulline,21CH91,,,U,U,,,,,1,,1259020800000,mulline,1259020800000,{1098165D-2DB2-5AB5-9155-E10CDDE443E9},-71.165705065999987,42.340973116000043,3 (STREET_FEA 0),STREET_FEA 0,98,derived_50_100_ft,boston-sam,344172,3 Lake St,Lake St,42.34119581,-71.16549724,Knowles Street & Lake Street,154,nearest_address
8466,23CH70,Perthshire Rd,36 Perthshire Rd,IS,,2303740052,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=526; METERED_FL=U; PLACEMENT=MIGRATED,23CH70,,,WA,WAWB67P,1988,,,,1,,1177632000000,blundonr,1255478400000,{8C27A537-ED9E-52E4-9363-E668BB2A5887},-71.166843335999943,42.353608019000035,36 (STREET_FEA 3289),STREET_FEA 3289,45,derived_0_50_ft,boston-sam,109645,36 Perthshire Rd,Perthshire Rd,42.35351867,-71.16696063,Bigelow Street & Perthshire Road,223,nearest_address
8480,23DH188,Glencoe St,90-92 Glencoe St,IS,1320364800000,2304740201,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1508; METERED_FL=U; PLACEMENT=chalmersh,23DH188,,,KE,KEK81-A,2010,,,,1,,1358467200000,mulline,1396656000000,{C78BBE21-2BC2-586E-B513-72A8A885F14A},-71.149461396999982,42.352495652000073,92 (STREET_FEA 1836),STREET_FEA 1836,41,derived_0_50_ft,boston-sam,64177,90-92 Glencoe St,Glencoe St,42.35247467,-71.14931062,Elmira Street & Glencoe Street,171,nearest_address
8490,24DH10,Faneuil St,133 Faneuil St,IS,,2404740130,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3241; METERED_FL=U; PLACEMENT=MIGRATED,24DH10,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{1470A867-6C0E-5F60-BDA6-7B4A097696A8},-71.156204702999958,42.355498357000045,133 (STREET_FEA 1606),STREET_FEA 1606,45,derived_0_50_ft,boston-sam,56152,133 Faneuil St,Faneuil St,42.35560867,-71.15613062,Faneuil Street & Parsons Street,58,nearest_address
8496,20DH30,Sutherland Rd,21 Sutherland Rd,IS,,2004740038,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3169; METERED_FL=U; PLACEMENT=MIGRATED,20DH30,,,MU,MUCENT,1985,,,,1,,1177632000000,blundonr,1255478400000,{54C55D19-C373-52D0-8A58-0B000C9F0417},-71.150029867999933,42.337256666000030,21 (STREET_FEA 4084),STREET_FEA 4084,51,derived_50_100_ft,boston-sam,132991,21 Sutherland Rd,Sutherland Rd,42.33720867,-71.14985062,Englewood Avenue & Sutherland Road,160,nearest_address
