objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
2522,25KH247,Union St,1-13 Union St,IS,,2511740419,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3090; METERED_FL=U; PLACEMENT=MIGRATED,25KH247,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{4192D1F2-836F-5CC0-A9F8-C0C656583D1B},-71.056740621999950,42.360564130000057,15 (STREET_FEA 4251),STREET_FEA 4251,46,derived_0_50_ft,boston-sam,155717,1-13 Union St,Union St,42.36068030,-71.05667368,North Street & Union Street,68,nearest_address
2696,25KH132,Union St,31-35 Union St,IS,410227200000,2511740376,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2723; METERED_FL=U; PLACEMENT=MIGRATED,25KH132,,,US,USSEN,1980,,,,1,,1177632000000,dorleansr,1231891200000,{97E43E1D-90C7-53E8-8F93-BF7880D21D70},-71.056507935999946,42.361216281000054,STREET_FEA 1117,STREET_FEA 1117,79,derived_50_100_ft,boston-sam,139291,31-35 Union St,Union St,42.36114763,-71.05678522,Clinton Street & North Street,245,nearest_address
3099,25KH809,Cross Street,Near Cross Street & North Street,IS,1086048000000,2511740512,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3090; METERED_FL=U; PLACEMENT=MIGRATED,25KH809,,,KE,KEK81-A,2002,,,,1,,1177632000000,BlundoNR,1297641600000,{637296C1-B2DC-5188-941B-3CE144EC31AC},-71.055408615999966,42.362255366000056,STREET_FEA 4841,STREET_FEA 4841,199,intersection_preferred_150_plus_ft,boston-sam,69062,215-221 Hanover St,Hanover St,42.36278014,-71.05520710,Cross Street & North Street,150,nearest_intersection
3520,25KH803,Bowdoin Sq,6 Bowdoin Sq,IS,1005955200000,2511740506,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=606; METERED_FL=U; PLACEMENT=MIGRATED,25KH803,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1271808000000,{5FAC5F3E-867F-5076-9871-5B00660F8310},-71.061455959999932,42.361142436000080,58 OPP (STREET_FEA 789),STREET_FEA 789,106,derived_100_150_ft,boston-sam,162403,6 Bowdoin Sq,Bowdoin Sq,42.36142088,-71.06157458,Cambridge Street & New Sudbury Street,77,nearest_address
3975,25KH802,New Chardon St,5-11 New Chardon St,IS,,2511740505,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3033; METERED_FL=U; PLACEMENT=MIGRATED,25KH802,,,MU,MUCENT,2004,,,,1,,1177632000000,dorleansr,1231891200000,{BDD56CEC-DE5A-5B9C-A296-5A5A6CB9FBD6},-71.062597457999971,42.361338995000040,100 OPP (STREET_FEA 789),STREET_FEA 789,40,derived_0_50_ft,boston-sam,168018,5-11 New Chardon St,New Chardon St,42.36144784,-71.06256695,Cambridge Street & New Chardon Street,73,nearest_address
4105,24KH96,Cambridge Street,Near Cambridge Street & New Sudbury Street,IS,,2411740676,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=789; METERED_FL=U; PLACEMENT=MIGRATED,24KH96,,,KE,KEK81-A,1995,,,,1,,1177632000000,dorleansr,1231804800000,{4ACE3D80-AD17-54AB-B026-108FB567DCA2},-71.061026232999950,42.360089862000052,15 BACK (STREET_FEA 3931),STREET_FEA 3931,238,intersection_preferred_150_plus_ft,boston-sam,128378,20 Somerset St,Somerset St,42.35969034,-71.06172834,Cambridge Street & New Sudbury Street,295,nearest_intersection
4185,25KH62,New Chardon St,15 New Chardon St,IS,,2511740317,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=728; METERED_FL=U; PLACEMENT=MIGRATED,25KH62,,,DR,KEK81,2010,,,,1,,1177632000000,dorleansr,1231891200000,{671A7B2E-15B1-5712-B03F-200DD0C85924},-71.062343320999958,42.361967847000074,15 (STREET_FEA 3033),STREET_FEA 3033,60,derived_50_100_ft,boston-sam,101075,15 New Chardon St,New Chardon St,42.36184832,-71.06219124,Bulfinch Place & New Chardon Street,82,nearest_address
4218,24KH146,State St,28 State St,IS,,2411740673,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3998; METERED_FL=U; PLACEMENT=MIGRATED,24KH146,,,MU,MUCENT,2003,,,,1,,1177632000000,dorleansr,1231804800000,{5C4B07B6-291B-5E63-8E42-4320FF32A479},-71.057105581999963,42.359311637000076,STREET_FEA 1103,STREET_FEA 1103,102,derived_100_150_ft,boston-sam,130422,28 State St,State St,42.35916886,-71.05743205,Congress Street & State Street,177,nearest_address
4378,24KH837,Court St,1-11 Court St,IS,,2411740731,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1162; METERED_FL=U; PLACEMENT=connorsm,24KH837,,,U,U,,,,,1,,1256774400000,mulline,1396828800000,{DC7BA1F8-A7A0-5F19-8E6E-DB46CEE3B5AB},-71.057835214999955,42.358890520000045,11 (STREET_FEA 7568),STREET_FEA 7568,58,derived_50_100_ft,boston-sam,43806,1-11 Court St,Court St,42.35902867,-71.05794059,Court Square & Court Street,216,nearest_address
4422,25KH88,Sudbury St,100-110 Sudbury St,IS,,2511740289,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=611; METERED_FL=U; PLACEMENT=MIGRATED,25KH88,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{13667829-76C0-5B35-B75A-A455F472FD7F},-71.060062862999985,42.362153355000032,25 BACK (STREET_FEA 2079),STREET_FEA 2079,130,derived_100_150_ft,boston-sam,421221,100-110 Sudbury St,Sudbury St,42.36214653,-71.05958109,Bowker Street & Hawkins Street,19,nearest_address
