objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
384,22HH26,Mountfort St,98 Mountfort St,IS,1124755200000,2208740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3206; METERED_FL=U; PLACEMENT=MIGRATED,22HH26,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1255478400000,{9E1AA8AB-35F2-579E-9A4C-2C7C7E21BA9B},-71.105171488999986,42.348308881000037,96 OPP (STREET_FEA 2966),STREET_FEA 2966,60,derived_50_100_ft,boston-sam,167860,98 Mountfort St,Mountfort St,42.34819342,-71.10533194,Mountfort Street & Park Drive,221,nearest_address
430,21IH78,Saint Stephen St,56 Saint Stephen St,IS,,2109740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1769; METERED_FL=U; PLACEMENT=MIGRATED,21IH78,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{2CB56A13-80E0-5568-9C4A-45A0DF5E26CC},-71.087205715999971,42.342033957000069,56 (STREET_FEA 3768),STREET_FEA 3768,37,derived_0_50_ft,boston-sam,121634,56 Saint Stephen St,Saint Stephen St,42.34199567,-71.08707760,Gainsborough Street & Saint Stephen Street,34,nearest_address
451,22HH104,Lansdowne St,49-65 Lansdowne St,IS,,2208740173,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,22HH104,,,US,USMET250,1999,,,,1,,1177632000000,blundonr,1255478400000,{B013AF23-BFB9-5879-8AAA-07C959D9A8A7},-71.097451354999976,42.347220419000053,65 (STREET_FEA 5251),STREET_FEA 5251,110,derived_100_150_ft,boston-sam,166950,49-65 Lansdowne St,Lansdowne St,42.34741192,-71.09713688,Brookline Avenue & Lansdowne Street,291,nearest_address
457,21IH154,Westland Ave,45 Westland Ave,IS,,2109740018,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1448; METERED_FL=U; PLACEMENT=MIGRATED,21IH154,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1244505600000,{7AEF1522-2F2B-5430-BDCE-474C99E359DD},-71.087807512999973,42.343723851000050,41 (STREET_FEA 4474),STREET_FEA 4474,100,derived_50_100_ft,boston-sam,148490,45 Westland Ave,Westland Ave,42.34391867,-71.08807060,Burbank Street & Edgerly Road,245,nearest_address
530,20IH183,Leon St,40A Leon St,IS,,2009740260,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=3709; METERED_FL=U; PLACEMENT=MIGRATED,20IH183,,,MU,MUCENT,2005,,,,1,,1177632000000,mulline,1250035200000,{930844DA-264F-5F8B-B100-07D9A39FFFE5},-71.091943665999963,42.337302604000058,STREET_FEA 2511,STREET_FEA 2511,67,derived_50_100_ft,boston-sam,347876,40A Leon St,Leon St,42.33735005,-71.09170410,Annunciation Road & Ruggles Street,355,nearest_address
553,20IH17,Leon St,11 Leon St,IS,833587200000,2009740078,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3709; METERED_FL=U; PLACEMENT=MIGRATED,20IH17,,,KE,KEK81-A,1997,,,,1,,1177632000000,mulline,1231891200000,{7EBD6CD4-66B4-52B3-9785-A15320DE9BEE},-71.091065556999979,42.336878335000051,30 OPP (STREET_FEA 2511),STREET_FEA 2511,100,derived_50_100_ft,boston-sam,340856,11 Leon St,Leon St,42.33662964,-71.09091091,Leon Street & Ruggles Street,306,nearest_address
572,21IH17,Huntington Ave,336 Huntington Ave,IS,,2109740325,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=2239; METERED_FL=U; PLACEMENT=MIGRATED,21IH17,,,MU,MUCENT,1987,,,,1,,1177632000000,dorleansr,1264377600000,{999507F1-0F87-52DD-89DB-8E9BFB8800D0},-71.086219546999985,42.339230812000039,STREET_FEA 1700,STREET_FEA 1700,142,derived_100_150_ft,boston-sam,341055,336 Huntington Ave,Huntington Ave,42.33925473,-71.08674650,Gainsborough Street & Saint Botolph Street,625,nearest_address
613,22IH36,Burbank St,31 Burbank St,IS,,2209740267,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=736; METERED_FL=U; PLACEMENT=MIGRATED,22IH36,,,KE,KEK81-A,1982,,,,1,,1177632000000,blundonr,1255478400000,{81FBEC48-8F1D-5868-AC02-9176EEACE9BA},-71.087208524999937,42.344587062000073,STREET_FEA 1448,STREET_FEA 1448,148,derived_100_150_ft,boston-sam,162734,31 Burbank St,Burbank St,42.34450405,-71.08774814,Burbank Street & Edgerly Road,81,nearest_address
641,22IH8,Charlesgate E,60 Charlesgate E,IS,,2209740128,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=620; METERED_FL=U; PLACEMENT=MIGRATED,22IH8,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{69EFB4BD-9229-5650-AF2D-7D5A6E33D2B8},-71.091009664999945,42.346993999000063,60 (STREET_FEA 4679),STREET_FEA 4679,39,derived_0_50_ft,boston-sam,163198,60 Charlesgate E,Charlesgate E,42.34703574,-71.09087626,Boylston Street & Fenway,174,nearest_address
748,22HH24,Buswell St,2 Buswell St,IS,1124755200000,2208740126,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2966; METERED_FL=U; PLACEMENT=MIGRATED,22HH24,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{2B7B3CBC-EB09-5148-877C-B62AD3247BDD},-71.103909237999972,42.348080758000037,2 OPP (STREET_FEA 760),STREET_FEA 760,90,derived_50_100_ft,boston-sam,24303,2 Buswell St,Buswell St,42.34783867,-71.10384060,Buswell Street & Mountfort Street,36,nearest_address
