objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1043,26JH13,Leverett Cir,1 Leverett Cir,IS,,2610740014,,,AS BUILT,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2525; METERED_FL=U; PLACEMENT=BlundoNR,26JH13,,,KE,KEK81-A,2009,,,,1,,1321315200000,mulline,1396828800000,{C2CCE09E-D2E7-58D3-B467-07E044FE814B},-71.067655862999970,42.366793121000057,200 (STREET_FEA 3003),STREET_FEA 3003,80,derived_50_100_ft,boston-sam,352368,1 Leverett Cir,Leverett Cir,42.36657700,-71.06771726,Charles River Dam Road & Nashua Street,108,nearest_address
1210,25KH839,Friend St,165-165A Friend St,IS,,2511740542,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2714; METERED_FL=U; PLACEMENT=denapolipd,25KH839,,,KE,KEK81-A,2009,,,,1,,1303862400000,hoffmanr,1457568000000,{B194844D-6980-515F-BFFA-C038B481B114},-71.059964074999982,42.363590599000077,165 (STREET_FEA 1748),STREET_FEA 1748,34,derived_0_50_ft,boston-sam,165458,165-165A Friend St,Friend St,42.36367093,-71.05990235,Friend Street & New Chardon Street,179,nearest_address
1287,25KH800,Nashua St,1 Nashua St,IS,1085356800000,2511740503,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1156; METERED_FL=U; PLACEMENT=MIGRATED,25KH800,,,MU,MUCENT,2003,,,,1,,1177632000000,dorleansr,1231891200000,{6375AEF4-3328-5D85-AAC6-6FC742975F01},-71.063658096999973,42.365891902000044,STREET_FEA 5366,STREET_FEA 5366,100,derived_50_100_ft,boston-sam,347406,1 Nashua St,Nashua St,42.36594676,-71.06329308,Lomasney Way & Nashua Street,256,nearest_address
1374,25JH12,N Grove St,2 N Grove St,IS,884908800000,2510740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=35; METERED_FL=U; PLACEMENT=MIGRATED,25JH12,,,MU,MUCENT,2003,,,,1,,1177632000000,chalmersh,1239235200000,{63CDDB23-AA13-5F4E-BE43-ED5BD245EDA1},-71.069271070999946,42.361249477000058,295-307 (STREET_FEA 789),STREET_FEA 789,61,derived_50_100_ft,boston-sam,341992,2 N Grove St,N Grove St,42.36131798,-71.06906587,Cambridge Street & North Grove Street,148,nearest_address
1453,25JH28,Parkman St,10 Parkman St,IS,884908800000,2510740099,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=789; METERED_FL=U; PLACEMENT=MIGRATED,25JH28,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1239235200000,{0C9236AD-E0CE-54C8-8DC9-D123292F1BEC},-71.068468692999943,42.361269270000037,261 (STREET_FEA 35),STREET_FEA 35,15,derived_0_50_ft,boston-sam,347552,10 Parkman St,Parkman St,42.36125443,-71.06852147,Cambridge Street & North Grove Street,75,nearest_address
1575,26KH760,Causeway St,239-245 Causeway St,IS,1058227200000,2611740194,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4841; METERED_FL=U; PLACEMENT=MIGRATED,26KH760,,,MU,MUCENT,2002,,,,1,,1177632000000,dorleansr,1231891200000,{B8EF82E5-830E-5496-9774-457A8409E0D3},-71.059592498999962,42.366187910000065,239-245 (STREET_FEA 846),STREET_FEA 846,50,derived_0_50_ft,boston-sam,26609,239-245 Causeway St,Causeway St,42.36611867,-71.05943059,Causeway Street & Lovejoy Wharf,54,nearest_address
1771,25KH87,Merrimac St,37 Merrimac St,IS,1264636800000,2511740216,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3033; METERED_FL=U; PLACEMENT=MIGRATED,25KH87,,,KE,KEK81-A,2009,,,,1,,1177632000000,chalmersh,1303257600000,{0B0DAABB-B68C-5F35-9342-A69E1FD6B002},-71.060387225999989,42.363288753000063,121-127 (STREET_FEA 3364),STREET_FEA 3364,33,derived_0_50_ft,boston-sam,352352,37 Merrimac St,Merrimac St,42.36332176,-71.06027291,Merrimac Street & Portland Street,108,nearest_address
1864,25JH40,Cambridge St,265-285 Cambridge St,IS,1223683200000,2510740092,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=789; METERED_FL=U; PLACEMENT=MIGRATED,25JH40,,,KE,KEK81-A,2008,,,,1,,1177632000000,chings,1458691200000,{3976E311-FF9F-52CB-B993-A482323D4389},-71.067813486999967,42.361539683000046,STREET_FEA 28,STREET_FEA 28,23,derived_0_50_ft,boston-sam,460378,265-285 Cambridge St,Cambridge St,42.36159127,-71.06776508,Blossom Street & Cambridge Street,252,nearest_address
2000,26KH97,Causeway St,249-267 Causeway St,IS,1086048000000,2611740111,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=846; METERED_FL=U; PLACEMENT=MIGRATED,26KH97,,,DA,ADB-62-B,1998,,,,1,,1177632000000,chalmersh,1271721600000,{CFCB70C2-68AB-54B2-BC51-CE10CE7DAFB7},-71.058632444999944,42.366636784000036,132-126 (STREET_FEA 44),STREET_FEA 44,116,derived_100_150_ft,boston-sam,162916,249-267 Causeway St,Causeway St,42.36639470,-71.05891172,Causeway Street & Medford Street,241,nearest_address
2185,25KH46,Lomasney Way,42 Lomasney Way,IS,,2511740049,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1156; METERED_FL=U; PLACEMENT=MIGRATED,25KH46,,,MH,MH929,1992,,,,1,,1177632000000,blundonr,1255478400000,{61CDF2BF-C63D-5395-AA5F-FFD1876E380A},-71.064007548999939,42.365178959000048,STREET_FEA 3003,STREET_FEA 3003,123,derived_100_150_ft,boston-sam,86956,42 Lomasney Way,Lomasney Way,42.36541867,-71.06433059,Lomasney Way & Nashua Street,51,nearest_address
2357,26JH12,Charles Street,Near Charles Street & Storrow Drive,IS,,2610740013,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=mulline,26JH12,,,KE,KEK81-A,2007,,,,1,,1288656000000,mulline,1288656000000,{8FB3A3FA-0AC9-536D-BA7D-5A990C1F383E},-71.068798811999955,42.365971088000038,365 (STREET_FEA 7989),STREET_FEA 7989,255,intersection_preferred_150_plus_ft,boston-sam,157202,10 Whittier Pl,Whittier Pl,42.36558496,-71.06800723,Charles Street & Storrow Drive,130,nearest_intersection
2388,25KH840,Portland St,130-132 Portland St,IS,1257984000000,2511740543,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=5028; METERED_FL=U; PLACEMENT=BlundoNR,25KH840,,,KE,KEK81-A,2009,,,,1,,1303948800000,BlundoNR,1303948800000,{4F21A352-03CE-5619-B8C6-2317509006FD},-71.060955358999934,42.363518971000076,132 (STREET_FEA 3364),STREET_FEA 3364,16,derived_0_50_ft,boston-sam,112314,130-132 Portland St,Portland St,42.36353232,-71.06101312,Portland Street & Valenti Way,51,nearest_address
2426,25JH58,Whittier Pl,8 Whittier Pl,IS,,2510740005,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=909; METERED_FL=U; PLACEMENT=MIGRATED,25JH58,,,MU,MUCENT,1991,,,,1,,1177632000000,dorleansr,1231804800000,{D7B67C79-C9E6-5A98-BDEA-DD39011DACE0},-71.067792180999959,42.365335942000058,333A OPP (STREET_FEA 4163),STREET_FEA 4163,81,derived_50_100_ft,boston-sam,157409,8 Whittier Pl,Whittier Pl,42.36540758,-71.06750810,Charles Street & Storrow Drive,327,nearest_address
2461,25KH123,Friend St,268-274 Friend St,IS,1257120000000,2511740092,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=846; METERED_FL=U; PLACEMENT=MIGRATED,25KH123,,,KE,KEK81-A,2009,,,,1,,1177632000000,BlundoNR,1304467200000,{74D8C39F-523B-55C7-AD80-4ABC5452C4C8},-71.061341503999984,42.364669449000075,268-274 (STREET_FEA 1748),STREET_FEA 1748,29,derived_0_50_ft,boston-sam,60998,268-274 Friend St,Friend St,42.36467555,-71.06144765,Causeway Street & Friend Street,195,nearest_address
2466,25KH92,Lancaster Street,Near Lancaster Street & Merrimac Street,IS,,2511740192,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2444; METERED_FL=U; PLACEMENT=MIGRATED,25KH92,,,DA,ADB-84-B,1990,,,,1,,1177632000000,dorleansr,1231891200000,{BFA571FD-4A4F-56EC-84B8-9466D9AE37EB},-71.062001271999975,42.363476403000050,STREET_FEA 2829,STREET_FEA 2829,170,intersection_preferred_150_plus_ft,boston-sam,94693,101 Merrimac St,Merrimac St,42.36384278,-71.06160703,Lancaster Street & Merrimac Street,29,nearest_intersection
2653,25KH837,Portland St,166-174 Portland St,IS,1257984000000,2511740540,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=BlundoNR,25KH837,,,KE,KEK81-A,2009,,,,1,,1303862400000,BlundoNR,1303862400000,{FB4A2B39-7EF2-5565-BF0D-14AAB6DE15EB},-71.061862113999950,42.364323323000065,176 (STREET_FEA 3364),STREET_FEA 3364,76,derived_50_100_ft,boston-sam,112317,166-174 Portland St,Portland St,42.36413809,-71.06173305,Causeway Street & Portland Street,216,nearest_address
2790,26JH6,Charles River Dam Road,Near Charles River Dam Road & Storrow Drive,IS,,2610740003,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,26JH6,,,MU,U,,,,,1,,1177632000000,blundonr,1247961600000,{E44BD49D-5B5A-569D-BBDA-6CC5E6F6C008},-71.068854369999940,42.366264070000057,STREET_FEA 909,STREET_FEA 909,202,intersection_preferred_150_plus_ft,boston-sam,154962,4 Charles River Dm,Charles River Dm,42.36681868,-71.06883059,Charles River Dam Road & Storrow Drive,219,nearest_intersection
2922,25JH63,Blossom St,175 Blossom St,IS,1189641600000,2510740124,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=909; METERED_FL=U; PLACEMENT=denapolipd,25JH63,,,MU,MUCENT,2007,,,,1,,1247702400000,BlundoNR,1343174400000,{9282DA68-9FAA-5788-B943-1F825A73938B},-71.069212882999977,42.364301737000062,100 OPP (STREET_FEA 566),STREET_FEA 566,92,derived_50_100_ft,boston-sam,362968,175 Blossom St,Blossom St,42.36455272,-71.06923472,Blossom Street & Charles Street,146,nearest_address
3087,26KH753,Nashua St,1 Nashua St,IS,1085356800000,2611740187,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=3003; METERED_FL=U; PLACEMENT=MIGRATED,26KH753,,,MH,MH929,2006,,,,1,,1177632000000,blundonr,1249430400000,{E3A411A5-B52F-5917-A677-247C0E3EB625},-71.063311575999933,42.366232336000053,STREET_FEA 4841,STREET_FEA 4841,104,derived_100_150_ft,boston-sam,347406,1 Nashua St,Nashua St,42.36594676,-71.06329308,Lomasney Way & Nashua Street,410,nearest_address
3108,26KH733,Nashua St,125 Nashua St,IS,,2611740167,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=2585; METERED_FL=U; PLACEMENT=MIGRATED,26KH733,,,MU,MUCENT,,,,,1,,1177632000000,connorsm,1284681600000,{BCD11661-BDED-51B5-A974-4F6CD2929D5F},-71.064665589999947,42.367658823000056,125 (STREET_FEA 3003),STREET_FEA 3003,101,derived_100_150_ft,boston-sam,100245,125 Nashua St,Nashua St,42.36783867,-71.06495059,Nashua Street & Storrow Drive,621,nearest_address
3277,25KH38,Lomasney Way,Near Lomasney Way & Martha Road,IS,,2511740071,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4593; METERED_FL=U; PLACEMENT=MIGRATED,25KH38,,,MU,MUCENT,1991,,,,1,,1177632000000,dorleansr,1231891200000,{64152C1D-FD26-5113-B6E9-F563A18BD10B},-71.065594878999946,42.364814915000068,35R OPP (STREET_FEA 4163),STREET_FEA 4163,190,intersection_preferred_150_plus_ft,boston-sam,166152,9 Hawthorne Pl,Hawthorne Pl,42.36429321,-71.06559236,Lomasney Way & Martha Road,357,nearest_intersection
