objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
4,25LH752,Atlantic Avenue,Near Atlantic Avenue & Cross Street,IS,,2512740154,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3576; METERED_FL=U; PLACEMENT=MIGRATED,25LH752,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{B3F2FE7E-0732-5B8C-9553-BEC0E90B48C2},-71.052111526999965,42.361500586000034,105 OPP (STREET_FEA 341),STREET_FEA 341,157,intersection_preferred_150_plus_ft,boston-sam,161701,101-117 Atlantic Ave,Atlantic Ave,42.36150236,-71.05269481,Atlantic Avenue & Cross Street,279,nearest_intersection
319,23KH816,High St,99 High St,IS,1086048000000,2311740800,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2253; METERED_FL=U; PLACEMENT=MIGRATED,23KH816,,,DA,ADB-62-B,1990,,,,1,,1177632000000,chalmersh,1269475200000,{F24E1E03-B5EC-5368-B28E-B2858D3CBA70},-71.054761057999940,42.353869689000078,211 (STREET_FEA 3480),STREET_FEA 3480,142,derived_100_150_ft,boston-sam,158117,99 High St,High St,42.35425397,-71.05484069,Congress Street & Purchase Street,201,nearest_address
367,23KH923,Federal St,160 Federal St,IS,,2311330026,,,U,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2864; METERED_FL=U; PLACEMENT=MIGRATED,23KH923,,,LO,U,,,,,1,,1177632000000,mulline,1396828800000,{F63C2EFB-6615-5E9D-8BA0-D35345868639},-71.056209392999961,42.353960132000054,150 (STREET_FEA 1630),STREET_FEA 1630,84,derived_50_100_ft,boston-sam,57187,160 Federal St,Federal St,42.35405767,-71.05592559,Federal Street & Milton Place,15,nearest_address
390,24KH292,Franklin St,86-104 Franklin St,IS,,2411740536,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1727; METERED_FL=U; PLACEMENT=MIGRATED,24KH292,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{21E81070-44D5-5492-9BDD-23787A7E53F0},-71.057391685999960,42.355811996000057,185 (STREET_FEA 1329),STREET_FEA 1329,88,derived_50_100_ft,boston-sam,165419,86-104 Franklin St,Franklin St,42.35562801,-71.05760506,Arch Street & Hawley Place,112,nearest_address
397,24KH264,Devonshire St,103-111 Devonshire St,IS,,2411740361,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4404; METERED_FL=U; PLACEMENT=MIGRATED,24KH264,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{61544B6F-7AD8-5CDF-A329-3918839DF3C1},-71.057399172999965,42.357337227000073,103 (STREET_FEA 1329),STREET_FEA 1329,50,derived_0_50_ft,boston-sam,340790,103-111 Devonshire St,Devonshire St,42.35733359,-71.05758616,Devonshire Street & Water Street,90,nearest_address
399,23LH695,Atlantic Ave,500 Atlantic Ave,IS,1086048000000,2312740263,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1103; METERED_FL=U; PLACEMENT=denapolipd,23LH695,,,KE,KEK81-A,2004,,,,1,,1247702400000,chalmersh,1270080000000,{365F8674-4F09-584E-8EE9-C0AC5F031D16},-71.052676617999964,42.354053949000047,500 (STREET_FEA 341),STREET_FEA 341,108,derived_100_150_ft,boston-sam,6181,500 Atlantic Ave,Atlantic Ave,42.35410867,-71.05228059,Atlantic Avenue & Pearl Street,53,nearest_address
409,23KH796,Summer St,48-50 Summer St,IS,,2311740829,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=285; METERED_FL=U; PLACEMENT=MIGRATED,23KH796,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{023A6A1F-79D7-5DD5-83B6-D78959A9B045},-71.058966187999943,42.354606030000070,48-50 (STREET_FEA 4048),STREET_FEA 4048,30,derived_0_50_ft,boston-sam,132016,48-50 Summer St,Summer St,42.35467867,-71.05902059,Arch Street & Chauncy Street,65,nearest_address
443,25LH6,Atlantic Ave,110 Atlantic Ave,IS,1086048000000,2512740131,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1196; METERED_FL=U; PLACEMENT=MIGRATED,25LH6,,,MU,MUCENT,2004,,,,1,,1177632000000,chalmersh,1271116800000,{573EF4DF-F9AC-50B7-ADF2-E91E1AF91A67},-71.052488896999932,42.361136294000062,115 OPP (STREET_FEA 341),STREET_FEA 341,95,derived_50_100_ft,boston-sam,161702,110 Atlantic Ave,Atlantic Ave,42.36100390,-71.05218358,Atlantic Avenue & Cross Street,113,nearest_address
495,23KH789,Mason St,70-80 Mason St,IS,,2311740854,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2740; METERED_FL=U; PLACEMENT=MIGRATED,23KH789,,,DA,ADB-62-B,1993,,,,1,,1177632000000,blundonr,1244505600000,{B8AE73E3-A78A-5F86-B04D-F9E1EC9E2FED},-71.063378539999974,42.353323198000055,19 (STREET_FEA 360),STREET_FEA 360,88,derived_50_100_ft,boston-sam,167459,70-80 Mason St,Mason St,42.35355773,-71.06346411,Avery Place & Avery Street,64,nearest_address
531,23KH148,Kingston St,67-93 Kingston St,IS,,2311740700,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=942; METERED_FL=U; PLACEMENT=MIGRATED,23KH148,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{88B1A230-0CBB-57D8-B2D8-62B90EEB4609},-71.060220541999968,42.352991764000080,4 OPP (STREET_FEA 5849),STREET_FEA 5849,101,derived_100_150_ft,boston-sam,352547,67-93 Kingston St,Kingston St,42.35302893,-71.05985024,Avenue De Lafayette & Chauncy Street,142,nearest_address
566,23KH84,Mason St,70-80 Mason St,IS,997488000000,2311740228,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2740; METERED_FL=U; PLACEMENT=MIGRATED,23KH84,,,MU,MUCENT,1997,,,,1,,1177632000000,blundonr,1244505600000,{B4768176-F32E-552D-B92D-BBDE50AA8844},-71.063513358999955,42.353324784000051,19 (STREET_FEA 360),STREET_FEA 360,86,derived_50_100_ft,boston-sam,167459,70-80 Mason St,Mason St,42.35355773,-71.06346411,Avery Street & Mason Street,74,nearest_address
587,23KH212,Atlantic Avenue,Near Atlantic Avenue & Essex Street,IS,1076716800000,2311740802,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1551; METERED_FL=U; PLACEMENT=MIGRATED,23KH212,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1244505600000,{E610497D-B91F-5953-8900-3D61E398370D},-71.055916074999971,42.351997612000048,675 (STREET_FEA 341),STREET_FEA 341,156,intersection_preferred_150_plus_ft,boston-sam,161709,669-671 Atlantic Ave,Atlantic Ave,42.35233774,-71.05626871,Atlantic Avenue & Essex Street,54,nearest_intersection
593,23KH955,Avenue De Lafayette,1 Avenue De Lafayette,IS,,2311740885,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5849; METERED_FL=U; PLACEMENT=blundonr,23KH955,,,U,U,,,,,1,,1225670400000,mulline,1396828800000,{FE7EADF7-2200-5081-A938-5C8594622F27},-71.060487406999982,42.353254435000053,85 (STREET_FEA 942),STREET_FEA 942,86,derived_50_100_ft,boston-sam,156352,1 Avenue De Lafayette,Avenue De Lafayette,42.35340008,-71.06073781,Avenue De Lafayette & Chauncy Street,68,nearest_address
602,24KH311,High St,121 High St,IS,,2411740624,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3265; METERED_FL=U; PLACEMENT=MIGRATED,24KH311,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{1E960CCF-B629-5A8D-B06D-665D3A35DA44},-71.054082088999962,42.355083731000036,115 (STREET_FEA 2132),STREET_FEA 2132,43,derived_0_50_ft,boston-sam,156284,121 High St,High St,42.35497037,-71.05412953,High Street & Pearl Street,57,nearest_address
606,24KH256,Tremont St,69-81 Tremont St,IS,,2411740302,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=446; METERED_FL=U; PLACEMENT=MIGRATED,24KH256,,,DA,ADB-62-B,1998,,,,1,,1177632000000,blundonr,1244505600000,{F1E8CAF6-0302-55F8-A26B-0844D0FE361D},-71.060700794999946,42.357820962000062,69 (STREET_FEA 4211),STREET_FEA 4211,49,derived_0_50_ft,boston-sam,341790,69-81 Tremont St,Tremont St,42.35782522,-71.06088471,Beacon Street & School Street,93,nearest_address
622,24KH279,Tremont St,125 Tremont St,IS,,2411740464,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4211; METERED_FL=U; PLACEMENT=MIGRATED,24KH279,,,KE,KEK81-A,2011,,,,1,,1177632000000,mulline,1439164800000,{07BA4B2D-67A6-5361-9631-AE96DF77BA6A},-71.061627457999975,42.356560804000026,11 (STREET_FEA 1987),STREET_FEA 1987,37,derived_0_50_ft,boston-sam,156163,125 Tremont St,Tremont St,42.35648336,-71.06171906,Hamilton Place & Tremont Street,62,nearest_address
667,24LH66,Atlantic Ave,191 Atlantic Ave,IS,1086048000000,2412740008,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=341; METERED_FL=U; PLACEMENT=MIGRATED,24LH66,,,MU,MUCENT,2002,,,,1,,1177632000000,BlundoNR,1291680000000,{99B8F472-1E2B-517D-8415-A5DDF784AD21},-71.051943623999989,42.360146523000026,290 (STREET_FEA 2589),STREET_FEA 2589,121,derived_100_150_ft,boston-sam,341820,191 Atlantic Ave,Atlantic Ave,42.36016642,-71.05239082,Atlantic Avenue & State Street,190,nearest_address
713,22KH786,Frontage Road,Near Frontage Road & Kneeland Street,IS,1076716800000,2211740258,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2413; METERED_FL=U; PLACEMENT=chalmersh,22KH786,,,KE,KEK81-A,1994,,,,1,,1186963200000,blundonr,1244505600000,{792FACC8-198D-50CE-BFD3-46B3E835CC47},-71.057333989999961,42.349062197000080,STREET_FEA 2749,STREET_FEA 2749,167,intersection_preferred_150_plus_ft,boston-sam,82310,185 Kneeland St,Kneeland St,42.34875867,-71.05780059,Frontage Road & Kneeland Street,189,nearest_intersection
