objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
995,23IH92,Fairfield St,8 Fairfield St,IS,1059091200000,2309740225,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3464; METERED_FL=U; PLACEMENT=MIGRATED,23IH92,,,MU,MUCENT,2002,,,,1,,1177632000000,palaciolv,1224806400000,{640978CB-0103-5B35-B6CD-8E2B5374548C},-71.083242798999947,42.352032429000076,8 (STREET_FEA 1593),STREET_FEA 1593,42,derived_0_50_ft,boston-sam,55624,8 Fairfield St,Fairfield St,42.35205867,-71.08309060,Fairfield Street & Marlborough Street,136,nearest_address
1006,23JH57,Newbury St,73 Newbury St,IS,,2310740214,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH57,,,MU,MUCENT,2005,,,,1,,1177632000000,palaciolv,1224806400000,{01A7AEB2-3046-55F5-9F48-7865D59698A4},-71.074366698999938,42.351855203000071,73 (STREET_FEA 3050),STREET_FEA 3050,78,derived_50_100_ft,boston-sam,101988,73 Newbury St,Newbury St,42.35205867,-71.07446059,Berkeley Street & Newbury Street,258,nearest_address
1052,23IH54,Fairfield St,5 Fairfield St,IS,454896000000,2309740068,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1593; METERED_FL=U; PLACEMENT=MIGRATED,23IH54,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{94C48F5C-8E8E-5A5D-B48E-ECD3AB75B22A},-71.083474993999971,42.351631889000032,283 (STREET_FEA 2715),STREET_FEA 2715,54,derived_50_100_ft,boston-sam,55618,5 Fairfield St,Fairfield St,42.35177867,-71.08346060,Fairfield Street & Marlborough Street,87,nearest_address
1094,23JH102,Commonwealth Ave,25-27 Commonwealth Ave,IS,,2310740132,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH102,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1224806400000,{F46EB724-A4BB-5458-B4F9-6FFED4D1981D},-71.073973780999950,42.353327258000036,27 (STREET_FEA 1091),STREET_FEA 1091,95,derived_50_100_ft,boston-sam,39789,25-27 Commonwealth Ave,Commonwealth Ave,42.35355867,-71.07381060,Berkeley Street & Commonwealth Avenue,43,nearest_address
1203,22IH102,Dalton St,40 Dalton St,IS,,2209740142,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3826; METERED_FL=U; PLACEMENT=MIGRATED,22IH102,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{6D27227D-F7EE-56CC-9477-BE6A8DE90797},-71.084897804999969,42.346739737000064,39 (STREET_FEA 1245),STREET_FEA 1245,141,derived_100_150_ft,boston-sam,45831,40 Dalton St,Dalton St,42.34645867,-71.08526060,Dalton Street & Scotia Street,53,nearest_address
1255,23JH120,Boylston St,330-334 Boylston St,IS,,2310740252,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH120,,,KE,KEK81-A,2007,,,,1,,1177632000000,mulline,1444089600000,{ECD12971-B861-547F-B3E2-4FC8EDE61B7C},-71.070724782999946,42.351378777000036,109 (STREET_FEA 3431),STREET_FEA 3431,104,derived_100_150_ft,boston-sam,18305,330-334 Boylston St,Boylston St,42.35165479,-71.07082576,Arlington Street & Providence Street,75,nearest_address
1319,22IH152,Clearway St,60-62 Clearway St,IS,788918400000,2209740297,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=497; METERED_FL=U; PLACEMENT=MIGRATED,22IH152,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{B7978A73-2E61-54E7-AB7E-F3A2D9E86C01},-71.084245787999976,42.345219779000047,50 OPP (STREET_FEA 1025),STREET_FEA 1025,64,derived_50_100_ft,boston-sam,163485,60-62 Clearway St,Clearway St,42.34524358,-71.08448024,Clearway Street & Dalton Street,55,nearest_address
1368,23IH84,Beacon St,312 Beacon St,IS,1075939200000,2309740025,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1593; METERED_FL=U; PLACEMENT=MIGRATED,23IH84,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{F7AF7BC2-CD57-549D-BCFA-FDF78CBADD85},-71.082585518999963,42.352786994000041,312-314 (STREET_FEA 445),STREET_FEA 445,61,derived_50_100_ft,boston-sam,10929,312 Beacon St,Beacon St,42.35293867,-71.08268060,Beacon Street & Fairfield Street,284,nearest_address
1371,22IH120,Huntington Ave,150 Huntington Ave,IS,,2209740259,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1207; METERED_FL=U; PLACEMENT=MIGRATED,22IH120,,,MH,MH129,1979,,,,1,,1177632000000,chalmersh,1250208000000,{4999509E-F7BA-5E71-947B-3C1B0D5CE777},-71.082253972999979,42.344795739000062,150 (STREET_FEA 2238),STREET_FEA 2238,83,derived_50_100_ft,boston-sam,340095,150 Huntington Ave,Huntington Ave,42.34485939,-71.08195937,Belvidere Street & Huntington Avenue,248,nearest_address
1410,23JH184,Boylston St,645 Boylston St,IS,1037750400000,2310740369,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1265; METERED_FL=U; PLACEMENT=MIGRATED,23JH184,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{64EB24A4-ABE1-55D7-A694-93E385BA021A},-71.078145097999936,42.349789181000062,635 OPP (STREET_FEA 618),STREET_FEA 618,129,derived_100_150_ft,boston-sam,18360,645 Boylston St,Boylston St,42.35011867,-71.07832060,Boylston Street & Dartmouth Street,242,nearest_address
