objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
3012,23JH22,Dartmouth St,306 Dartmouth St,IS,,2310740212,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1091; METERED_FL=U; PLACEMENT=MIGRATED,23JH22,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1255478400000,{38C5C373-FE43-55F6-BCBB-2B561D81AFB5},-71.078542000999960,42.351929186000064,306 (STREET_FEA 1265),STREET_FEA 1265,125,derived_100_150_ft,boston-sam,46445,306 Dartmouth St,Dartmouth St,42.35221867,-71.07879060,Commonwealth Avenue & Dartmouth Street,78,nearest_address
3033,21IH134,Saint Botolph St,200 Saint Botolph St,IS,,2109740122,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3744; METERED_FL=U; PLACEMENT=MIGRATED,21IH134,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{45933FCB-2069-5F53-B1BF-4EB5DD927416},-71.083867483999938,42.342280587000062,352-374 (STREET_FEA 2743),STREET_FEA 2743,108,derived_100_150_ft,boston-sam,120787,200 Saint Botolph St,Saint Botolph St,42.34239867,-71.08350060,Massachusetts Avenue & Saint Botolph Street,63,nearest_address
3034,23IH93,Gloucester St,7 Gloucester St,IS,1059091200000,2309740226,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2715; METERED_FL=U; PLACEMENT=MIGRATED,23IH93,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{20807359-3A9A-5B0E-BA74-393053E38A63},-71.085057026999948,42.351221271000043,7 (STREET_FEA 1857),STREET_FEA 1857,53,derived_50_100_ft,boston-sam,64964,7 Gloucester St,Gloucester St,42.35135867,-71.08499060,Gloucester Street & Marlborough Street,30,nearest_address
3050,23JH96,Commonwealth Ave,56 Commonwealth Ave,IS,,2310740169,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH96,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{D51FD5A7-04FC-5444-90C3-1D4E31BCED71},-71.074390378999965,42.352768604000062,56 OPP (STREET_FEA 1091),STREET_FEA 1091,106,derived_100_150_ft,boston-sam,41100,56 Commonwealth Ave,Commonwealth Ave,42.35249867,-71.07424060,Berkeley Street & Commonwealth Avenue,151,nearest_address
3098,23JH52,Clarendon Street,Near Clarendon Street & Saint James Avenue,IS,,2310740351,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1008; METERED_FL=U; PLACEMENT=MIGRATED,23JH52,,,US,USMET250,1987,,,,1,,1177632000000,palaciolv,1224806400000,{65901B8C-940E-5564-8B0C-5A6F3D455CDF},-71.074237480999955,42.350048641000058,STREET_FEA 3755,STREET_FEA 3755,190,intersection_preferred_150_plus_ft,boston-sam,157161,197 Clarendon St,Clarendon St,42.34957119,-71.07395096,Clarendon Street & Saint James Avenue,168,nearest_intersection
3179,22JH252,Exeter St,75-77 Exeter St,IS,1322697600000,2210740378,,,AS BUILT,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2238; METERED_FL=U; PLACEMENT=blundonr,22JH252,,,U,KEK81-A,2011,,,,1,,1366156800000,blundonr,1366156800000,{F35EF4EA-343A-58AB-BE67-3B7B0C95B85A},-71.079026055999975,42.348350054000036,94 (STREET_FEA 1586),STREET_FEA 1586,93,derived_50_100_ft,boston-sam,341910,75-77 Exeter St,Exeter St,42.34854953,-71.07924361,Blagden Street & Exeter Street,131,nearest_address
3185,23JH92,Newbury St,39-47 Newbury St,IS,1192492800000,2310740198,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH92,,,MU,MUCENT,1992,,,,1,,1177632000000,chalmersh,1229385600000,{010068DD-7D4A-57AB-859F-E34FC22EC76F},-71.073348055999986,42.352153105000070,49 (STREET_FEA 3050),STREET_FEA 3050,78,derived_50_100_ft,boston-sam,101637,39-47 Newbury St,Newbury St,42.35236497,-71.07330785,Berkeley Street & Newbury Street,43,nearest_address
3283,22IH114,Boylston St,925-925A Boylston St,IS,1037750400000,2209740095,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2118; METERED_FL=U; PLACEMENT=MIGRATED,22IH114,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{2599CDB5-E1D0-543E-96C1-809A8A18CE79},-71.084462960999986,42.348087382000074,900 (STREET_FEA 618),STREET_FEA 618,101,derived_100_150_ft,boston-sam,18422,925-925A Boylston St,Boylston St,42.34832567,-71.08465860,Boylston Street & Gloucester Street,218,nearest_address
3448,22IH54,Clearway Street,Near Clearway Street & Massachusetts Avenue,IS,807667200000,2209740270,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1025; METERED_FL=U; PLACEMENT=MIGRATED,22IH54,,,MH,MH929,1988,,,,1,,1177632000000,blundonr,1255478400000,{187878E9-2393-552D-927E-9D6D3EA96FE3},-71.086254199999985,42.344522491000077,221 OPP (STREET_FEA 2743),STREET_FEA 2743,238,intersection_preferred_150_plus_ft,boston-sam,92020,204-216 Massachusetts Ave,Massachusetts Ave,42.34517532,-71.08618029,Clearway Street & Massachusetts Avenue,377,nearest_intersection
3563,23IH60,Newbury St,211 Newbury St,IS,,2309740185,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1593; METERED_FL=U; PLACEMENT=MIGRATED,23IH60,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{E6D00715-C52B-5F56-81DF-978DAF235AA8},-71.081076283999948,42.350048003000040,211 (STREET_FEA 3050),STREET_FEA 3050,60,derived_50_100_ft,boston-sam,101429,211 Newbury St,Newbury St,42.35020867,-71.08112060,Fairfield Street & Newbury Street,325,nearest_address
3576,22JH90,Trinity Pl,40 Trinity Pl,IS,,2210740373,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4225; METERED_FL=U; PLACEMENT=MIGRATED,22JH90,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1271808000000,{0F8C92E5-D6EF-53DC-A9D8-92F10C92739B},-71.075179492999951,42.348268358000041,430 BACK (STREET_FEA 4041),STREET_FEA 4041,65,derived_50_100_ft,boston-sam,341077,40 Trinity Pl,Trinity Pl,42.34841264,-71.07503562,Stuart Street & Trinity Place,135,nearest_address
3680,22JH92,Stuart St,441 Stuart St,IS,,2210740092,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4225; METERED_FL=U; PLACEMENT=MIGRATED,22JH92,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{40632F99-25F5-5451-83AC-EFEDAB5939A2},-71.075546450999980,42.348623958000076,441 (STREET_FEA 4041),STREET_FEA 4041,115,derived_100_150_ft,boston-sam,131663,441 Stuart St,Stuart St,42.34863267,-71.07597260,Stuart Street & Trinity Place,44,nearest_address
3710,22IH132,Newbury St,257-261 Newbury St,IS,,2209740001,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3468; METERED_FL=U; PLACEMENT=MIGRATED,22IH132,,,MU,MUCENT,1968,,,,1,,1177632000000,blundonr,1255478400000,{DB8C1042-4AD7-59D2-AEAC-1DEDD5C426DF},-71.083144918999949,42.349482131000059,261 (STREET_FEA 3050),STREET_FEA 3050,68,derived_50_100_ft,boston-sam,101472,257-261 Newbury St,Newbury St,42.34966867,-71.08314060,Fairfield Street & Newbury Street,269,nearest_address
3797,23JH98,Berkeley Street,Near Berkeley Street & Commonwealth Avenue,IS,,2310740403,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH98,,,KE,KEK81-A,2009,,,,1,,1177632000000,pullenn,1273104000000,{FBA50E56-75F8-5E0E-B1DF-ED8A0D28DD85},-71.073992030999989,42.352973649000035,50 OPP (STREET_FEA 1091),STREET_FEA 1091,151,intersection_preferred_150_plus_ft,boston-sam,163709,50 Commonwealth Ave,Commonwealth Ave,42.35256044,-71.07395521,Berkeley Street & Commonwealth Avenue,55,nearest_intersection
3808,23IH88,Beacon St,295-297 Beacon St,IS,,2309740027,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1586; METERED_FL=U; PLACEMENT=MIGRATED,23IH88,,,MU,MUCENT,1982,,,,1,,1177632000000,blundonr,1255478400000,{AB0258CF-197F-58FC-A3F9-43FD61F7A0F5},-71.081119572999967,42.352980713000079,297 (STREET_FEA 445),STREET_FEA 445,60,derived_50_100_ft,boston-sam,161901,295-297 Beacon St,Beacon St,42.35289040,-71.08093217,Beacon Street & Exeter Street,48,nearest_address
3944,23JH88,Berkeley Street,Near Berkeley Street & Boylston Street,IS,536457600000,2310740278,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH88,,,MU,MUCENT,1997,,,,1,,1177632000000,palaciolv,1224806400000,{42ADF287-6094-5DA2-A9AF-FC8739538F24},-71.073757169999965,42.350977367000041,476 (STREET_FEA 618),STREET_FEA 618,164,intersection_preferred_150_plus_ft,boston-sam,18333,500 Boylston St,Boylston St,42.35053867,-71.07390060,Berkeley Street & Boylston Street,212,nearest_intersection
4155,23IH28,Hereford St,32 Hereford St,IS,,2309740198,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2118; METERED_FL=U; PLACEMENT=MIGRATED,23IH28,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1224806400000,{175B55D9-A630-5A2C-9A2D-8A11AF07E588},-71.086106299999983,42.349848058000077,305 OPP (STREET_FEA 1091),STREET_FEA 1091,132,derived_100_150_ft,boston-sam,73001,32 Hereford St,Hereford St,42.35020867,-71.08614060,Commonwealth Avenue & Hereford Street,40,nearest_address
4211,22IH122,Boylston St,883-889 Boylston St,IS,,2209740069,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=618; METERED_FL=U; PLACEMENT=MIGRATED,22IH122,,,KE,KEK81-A,2010,,,,1,,1177632000000,blundonr,1255478400000,{D9125993-412E-5696-95EF-132E67A64FCF},-71.083775363999962,42.348593501000039,51 (STREET_FEA 1857),STREET_FEA 1857,46,derived_0_50_ft,boston-sam,162457,883-889 Boylston St,Boylston St,42.34861677,-71.08360900,Boylston Street & Gloucester Street,81,nearest_address
4212,23JH40,Boylston St,560 Boylston St,IS,567993600000,2310740339,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1265; METERED_FL=U; PLACEMENT=MIGRATED,23JH40,,,US,USMET250,1988,,,,1,,1177632000000,palaciolv,1224806400000,{FBBC4F5F-658F-5BA6-B1AB-657D36337C93},-71.076141754999981,42.350310895000064,567 OPP (STREET_FEA 618),STREET_FEA 618,66,derived_50_100_ft,boston-sam,342031,560 Boylston St,Boylston St,42.35013049,-71.07617451,Saint James Avenue & Trinity Place,270,nearest_address
4213,24JH2,Beacon St,114-118 Beacon St,IS,1075939200000,2410740196,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=300; METERED_FL=U; PLACEMENT=MIGRATED,24JH2,,,KE,KEK81-A,1984,,,,1,,1177632000000,louisjamey,1465862400000,{61D7BC6E-5578-5359-B246-E917B9579155},-71.073908776999986,42.355135835000056,114 (STREET_FEA 445),STREET_FEA 445,59,derived_50_100_ft,boston-sam,340866,114-118 Beacon St,Beacon St,42.35525249,-71.07406289,Beacon Street & Berkeley Street,265,nearest_address
4240,22IH50,Commonwealth Ave,389 Commonwealth Ave,IS,,2209740015,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2742; METERED_FL=U; PLACEMENT=MIGRATED,22IH50,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{37F025D5-E83C-51C9-9C92-F7B1BDB043BC},-71.090037170999949,42.349294831000066,389 (STREET_FEA 1091),STREET_FEA 1091,52,derived_50_100_ft,boston-sam,40521,389 Commonwealth Ave,Commonwealth Ave,42.34943867,-71.09003060,Commonwealth Avenue & Massachusetts Avenue,359,nearest_address
4292,22IH72,Massachusetts Ave,200-216 Massachusetts Ave,IS,1276732800000,2209740222,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2743; METERED_FL=U; PLACEMENT=MIGRATED,22IH72,,,KE,KEK81-A,2010,,,,1,,1177632000000,BlundoNR,1347840000000,{63468E67-81E4-5CD8-BDEB-B7707EF99C0C},-71.086010613999974,42.345284042000060,20 OPP (STREET_FEA 1025),STREET_FEA 1025,45,derived_0_50_ft,boston-sam,437955,200-216 Massachusetts Ave,Massachusetts Ave,42.34517501,-71.08593384,Clearway Street & Massachusetts Avenue,232,nearest_address
4370,23IH62,Commonwealth Ave,228 Commonwealth Ave,IS,,2309740126,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1593; METERED_FL=U; PLACEMENT=MIGRATED,23IH62,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{1DF4F14A-CDEA-55F9-A4FA-0ED0AD3F7CF2},-71.081886303999966,42.350754735000066,228 OPP (STREET_FEA 1091),STREET_FEA 1091,103,derived_100_150_ft,boston-sam,39694,228 Commonwealth Ave,Commonwealth Ave,42.35048867,-71.08176060,Commonwealth Avenue & Fairfield Street,210,nearest_address
4552,23IH32,Marlborough St,373 Marlborough St,IS,959817600000,2309740133,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2118; METERED_FL=U; PLACEMENT=MIGRATED,23IH32,,,MU,MUCENT,2002,,,,1,,1177632000000,dorleansr,1231718400000,{677D19D2-3014-5121-A6FA-4540F07B0873},-71.087242958999980,42.350607653000054,373 (STREET_FEA 2715),STREET_FEA 2715,57,derived_50_100_ft,boston-sam,91110,373 Marlborough St,Marlborough St,42.35075867,-71.08730060,Hereford Street & Marlborough Street,174,nearest_address
4554,22IH134,W Newton St,248-250A W Newton St,IS,1034899200000,2209740262,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3743; METERED_FL=U; PLACEMENT=MIGRATED,22IH134,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{19993AE5-8B4A-5F27-9648-25174CBBFFFC},-71.080894175999958,42.344709941000076,248 (STREET_FEA 90),STREET_FEA 90,44,derived_0_50_ft,boston-sam,171610,248-250A W Newton St,W Newton St,42.34459532,-71.08084507,Saint Botolph Street & West Newton Street,37,nearest_address
4629,22JH28,Saint Botolph St,38-40 Saint Botolph St,IS,,2210740221,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2011; METERED_FL=U; PLACEMENT=MIGRATED,22JH28,,,US,USSEN,1980,,,,1,,1177632000000,blundonr,1255478400000,{39BC077D-5E95-51AE-A018-8273325EF8F9},-71.078965467999979,42.346339896000075,38 (STREET_FEA 3743),STREET_FEA 3743,44,derived_0_50_ft,boston-sam,120810,38-40 Saint Botolph St,Saint Botolph St,42.34623421,-71.07888421,Harcourt Street & Saint Botolph Street,25,nearest_address
4649,23JH36,Saint James Avenue,Near Saint James Avenue & Trinity Place,IS,,2310740378,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4225; METERED_FL=U; PLACEMENT=MIGRATED,23JH36,,,MU,MUCENT,2003,,,,1,,1177632000000,palaciolv,1224806400000,{FAE93FB4-024D-568A-90CF-7957F87C1D9A},-71.076075515999946,42.349668029000043,STREET_FEA 3755,STREET_FEA 3755,170,intersection_preferred_150_plus_ft,boston-sam,342031,560 Boylston St,Boylston St,42.35013049,-71.07617451,Saint James Avenue & Trinity Place,61,nearest_intersection
4718,23JH82,Berkeley St,222 Berkeley St,IS,1192492800000,2310740276,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH82,,,MU,MUCENT,1982,,,,1,,1177632000000,chalmersh,1229472000000,{F689DDB2-A783-581E-A081-09D1FF832ADF},-71.073032337999962,42.350960423000060,452 (STREET_FEA 618),STREET_FEA 618,46,derived_0_50_ft,boston-sam,15007,222 Berkeley St,Berkeley St,42.35084867,-71.07311059,Berkeley Street & Providence Street,89,nearest_address
4777,23JH8,Newbury St,167 Newbury St,IS,725846400000,2310740309,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3449; METERED_FL=U; PLACEMENT=MIGRATED,23JH8,,,MU,MUCENT,1991,,,,1,,1177632000000,palaciolv,1224806400000,{2C23E881-D14C-5D76-B660-A92084CFFE83},-71.078812184999947,42.350654718000044,165 (STREET_FEA 3050),STREET_FEA 3050,61,derived_50_100_ft,boston-sam,101373,167 Newbury St,Newbury St,42.35078867,-71.07895060,Dartmouth Street & Newbury Street,303,nearest_address
4788,23IH38,Gloucester St,8 Gloucester St,IS,517968000000,2309740099,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2715; METERED_FL=U; PLACEMENT=MIGRATED,23IH38,,,DA,ADB-84-B,1986,,,,1,,1177632000000,blundonr,1255478400000,{383971AB-D2E0-5F8D-9CD9-B6B28A3F0A41},-71.085245260999955,42.351157764000050,8 (STREET_FEA 1857),STREET_FEA 1857,58,derived_50_100_ft,boston-sam,64969,8 Gloucester St,Gloucester St,42.35125867,-71.08541060,Gloucester Street & Marlborough Street,37,nearest_address
4830,22IH18,Charlesgate East,Near Charlesgate East & Newbury Street,IS,,2209740085,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3050; METERED_FL=U; PLACEMENT=MIGRATED,22IH18,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{B3E2DA15-3CD5-541B-870A-F930537D76BD},-71.091479602999982,42.348320793000028,STREET_FEA 4678,STREET_FEA 4678,231,intersection_preferred_150_plus_ft,boston-sam,40657,400-416 Commonwealth Ave,Commonwealth Ave,42.34861867,-71.09072060,Charlesgate East & Newbury Street,100,nearest_intersection
4849,22IH61,Massachusetts Ave,138-152 Massachusetts Ave,IS,807667200000,2209740140,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2077; METERED_FL=U; PLACEMENT=MIGRATED,22IH61,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1244505600000,{F1EAF81A-F121-5191-B871-CF61C1DA5D8A},-71.087371757999961,42.346810148000031,138 (STREET_FEA 2743),STREET_FEA 2743,47,derived_0_50_ft,boston-sam,91970,138-152 Massachusetts Ave,Massachusetts Ave,42.34688867,-71.08723260,Belvidere Street & Massachusetts Avenue,114,nearest_address
4944,23JH64,Commonwealth Ave,45-47 Commonwealth Ave,IS,,2310740164,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=509; METERED_FL=U; PLACEMENT=MIGRATED,23JH64,,,MH,MH129,1979,,,,1,,1177632000000,palaciolv,1224806400000,{AD78F8FD-049E-538B-BC77-520F9A0E026F},-71.075025853999989,42.352877357000068,47 OPP (STREET_FEA 1091),STREET_FEA 1091,106,derived_100_150_ft,boston-sam,342946,45-47 Commonwealth Ave,Commonwealth Ave,42.35315427,-71.07514579,Berkeley Street & Commonwealth Avenue,298,nearest_address
5010,23IH26,Commonwealth Ave,298 Commonwealth Ave,IS,,2309740205,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1857; METERED_FL=U; PLACEMENT=MIGRATED,23IH26,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{E30B50C0-C294-525D-BB84-B1EA57B3D830},-71.085240338999938,42.349725543000034,296 (STREET_FEA 1091),STREET_FEA 1091,61,derived_50_100_ft,boston-sam,40050,298 Commonwealth Ave,Commonwealth Ave,42.34957867,-71.08513060,Commonwealth Avenue & Gloucester Street,211,nearest_address
5027,22IH34,Commonwealth Ave,407-411 Commonwealth Ave,IS,,2209740025,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4678; METERED_FL=U; PLACEMENT=MIGRATED,22IH34,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{86987B0C-CDA4-5EC2-97D6-FFF38D7F6FE7},-71.091075605999947,42.349273182000047,411 (STREET_FEA 1091),STREET_FEA 1091,51,derived_50_100_ft,boston-sam,343133,407-411 Commonwealth Ave,Commonwealth Ave,42.34939135,-71.09097074,Charlesgate East & Commonwealth Avenue,142,nearest_address
5099,22IH124,Newbury St,279 Newbury St,IS,,2209740020,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1857; METERED_FL=U; PLACEMENT=MIGRATED,22IH124,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{A6F9BA08-EC14-55BD-8199-64715BD8DCB1},-71.083985983999980,42.349260468000068,279 (STREET_FEA 3050),STREET_FEA 3050,47,derived_0_50_ft,boston-sam,101491,279 Newbury St,Newbury St,42.34938867,-71.08401460,Gloucester Street & Newbury Street,52,nearest_address
5241,23IH20,Commonwealth Ave,337 Commonwealth Ave,IS,,2309740216,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2742; METERED_FL=U; PLACEMENT=MIGRATED,23IH20,,,MH,MH129,1979,,,,1,,1177632000000,palaciolv,1224806400000,{89B3B12A-0D89-5BA1-A5AA-932F7CF5642F},-71.087595505999957,42.349613934000047,337 (STREET_FEA 1091),STREET_FEA 1091,63,derived_50_100_ft,boston-sam,40256,337 Commonwealth Ave,Commonwealth Ave,42.34977867,-71.08767060,Commonwealth Avenue & Massachusetts Avenue,323,nearest_address
5476,22JH168,Berkeley St,157 Berkeley St,IS,1192492800000,2210740014,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3986; METERED_FL=U; PLACEMENT=MIGRATED,22JH168,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1229990400000,{9C553645-2BE6-5BC1-A40B-B94DBD2891D2},-71.071988374999933,42.349307722000049,157 (STREET_FEA 510),STREET_FEA 510,46,derived_0_50_ft,boston-sam,342978,157 Berkeley St,Berkeley St,42.34927452,-71.07182321,Berkeley Street & Stanhope Street,79,nearest_address
5477,22IH130,Boylston St,845-863 Boylston St,IS,1037750400000,2209740060,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1857; METERED_FL=U; PLACEMENT=MIGRATED,22IH130,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{9483129F-2184-58DD-8CF6-73EA8CB2B5B6},-71.082998330999942,42.348647012000072,851 (STREET_FEA 618),STREET_FEA 618,61,derived_50_100_ft,boston-sam,162456,845-863 Boylston St,Boylston St,42.34878694,-71.08312085,Boylston Street & Gloucester Street,225,nearest_address
5479,22IH20,Charlesgate East,Near Charlesgate East & Commonwealth Avenue,IS,1313971200000,2209740062,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4678; METERED_FL=U; PLACEMENT=MIGRATED,22IH20,,,KE,KEK81-A,2010,,,,1,,1177632000000,chalmersh,1416787200000,{A34EEC2E-10D2-5ACC-80FF-BF2F6A9D863A},-71.091496722999977,42.348696158000052,416 (STREET_FEA 1091),STREET_FEA 1091,211,intersection_preferred_150_plus_ft,boston-sam,40657,400-416 Commonwealth Ave,Commonwealth Ave,42.34861867,-71.09072060,Charlesgate East & Commonwealth Avenue,58,nearest_intersection
5628,22JH122,Clarendon St,140 Clarendon St,IS,,2210740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4041; METERED_FL=U; PLACEMENT=MIGRATED,22JH122,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{DB5436B8-9666-5BC7-8761-5815D945ABFE},-71.074318999999946,42.348688165000056,140 (STREET_FEA 1008),STREET_FEA 1008,41,derived_0_50_ft,boston-sam,157041,140 Clarendon St,Clarendon St,42.34862045,-71.07443874,Clarendon Street & Stuart Street,100,nearest_address
5753,23JH20,Commonwealth Ave,150-152 Commonwealth Ave,IS,,2310740225,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1265; METERED_FL=U; PLACEMENT=MIGRATED,23JH20,,,MH,MH929,2002,,,,1,,1177632000000,blundonr,1255478400000,{1E95AE31-63DC-57BA-A252-5E790065D218},-71.078006377999941,42.351627649000079,152 (STREET_FEA 1091),STREET_FEA 1091,72,derived_50_100_ft,boston-sam,156420,150-152 Commonwealth Ave,Commonwealth Ave,42.35152209,-71.07777919,Commonwealth Avenue & Dartmouth Street,46,nearest_address
5756,22IH68,Massachusetts Ave,250 Massachusetts Ave,IS,,2209740263,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,22IH68,,,MU,U,,,,,1,,1177632000000,blundonr,1282694400000,{44B04F87-0D08-5F72-A587-F8C5D0637E0F},-71.084857379999960,42.344740444000081,STREET_FEA 2746,STREET_FEA 2746,105,derived_100_150_ft,boston-sam,92022,250 Massachusetts Ave,Massachusetts Ave,42.34446271,-71.08496164,Clearway Street & Dalton Street,294,nearest_address
5810,22JH6,Follen St,18 Follen St,IS,,2210740315,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=6258; METERED_FL=U; PLACEMENT=MIGRATED,22JH6,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1244505600000,{4DBB7359-14D0-5178-96FA-66EB6E0A9307},-71.079539055999987,42.344953269000030,18 (STREET_FEA 1682),STREET_FEA 1682,36,derived_0_50_ft,boston-sam,59103,18 Follen St,Follen St,42.34502867,-71.07945060,Follen Street & Studio Place,124,nearest_address
5823,24JH127,Beacon Street,Near Beacon Street & Clarendon Street,IS,,2410740160,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=MIGRATED,24JH127,,,U,U,,,,,1,,1177632000000,blundonr,1282694400000,{FF221ACC-7A07-556A-B0C5-1303284924E6},-71.077136506999977,42.356102199000077,STREET_FEA 2454,STREET_FEA 2454,562,intersection_preferred_150_plus_ft,boston-sam,9771,168 Beacon St,Beacon St,42.35466867,-71.07636060,Beacon Street & Clarendon Street,686,nearest_intersection
5836,22IH100,Dalton St,40 Dalton St,IS,,2209740165,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=496; METERED_FL=U; PLACEMENT=MIGRATED,22IH100,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1255478400000,{044ED135-0EC1-5A35-BD7F-0D8468255421},-71.084880150999936,42.346242181000036,40 (STREET_FEA 1245),STREET_FEA 1245,129,derived_100_150_ft,boston-sam,45831,40 Dalton St,Dalton St,42.34645867,-71.08526060,Belvidere Street & Dalton Street,40,nearest_address
