objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
386,5FH4,River St,1481 River St,IS,,506740166,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3697; METERED_FL=U; PLACEMENT=MIGRATED,5FH4,,,KE,KEK81-A,2007,,,,1,,1177632000000,palaciolv,1236211200000,{14D4480A-F2EC-5CDE-990D-194C2A8D433D},-71.130875195999977,42.251377995000041,1470 (STREET_FEA 3603),STREET_FEA 3603,85,derived_50_100_ft,boston-sam,116453,1481 River St,River St,42.25143865,-71.13118061,River Street & Roxana Street,117,nearest_address
474,2FH52,Forestvale Rd,1-3 Forestvale Rd,IS,1057622400000,206740051,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3022; METERED_FL=U; PLACEMENT=MIGRATED,2FH52,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1271808000000,{437613C4-9FD8-5868-A0C7-2EDF6DD5FC80},-71.128660786999944,42.235668787000066,14 OPP (STREET_FEA 1698),STREET_FEA 1698,47,derived_0_50_ft,boston-sam,446397,1-3 Forestvale Rd,Forestvale Rd,42.23579879,-71.12865991,Forestvale Road & Lawton Street,204,nearest_address
475,5EH6,Leighton Rd,49 Leighton Rd,IS,,505740087,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=1435; METERED_FL=U; PLACEMENT=MIGRATED,5EH6,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{4776310A-E974-5703-BB5C-00CB55FB6C66},-71.144313490999934,42.251640653000038,49 (STREET_FEA 2501),STREET_FEA 2501,40,derived_0_50_ft,boston-sam,84980,49 Leighton Rd,Leighton Rd,42.25169865,-71.14444061,Eastmont Road & Leighton Road,127,nearest_address
481,3FH42,Van Brunt St,53 Van Brunt St,IS,,306740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1783; METERED_FL=U; PLACEMENT=MIGRATED,3FH42,,,KE,KEK81-A,1994,,,,1,,1177632000000,connorsm,1240790400000,{0A10F10D-4E2A-56DD-AF7A-2804E41D3259},-71.123300795999967,42.241333614000041,53 (STREET_FEA 4276),STREET_FEA 4276,42,derived_0_50_ft,boston-sam,139773,53 Van Brunt St,Van Brunt St,42.24129865,-71.12345061,Cranmore Road & Van Brunt Street,79,nearest_address
515,4EH36,Sunnyside St,46-48 Sunnyside St,IS,,405740005,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1387; METERED_FL=U; PLACEMENT=MIGRATED,4EH36,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1255478400000,{AE53A3AB-5254-5F9E-A99A-31C0F0ED447F},-71.133515609999961,42.250760786000058,50 (STREET_FEA 4071),STREET_FEA 4071,55,derived_50_100_ft,boston-sam,132640,46-48 Sunnyside St,Sunnyside St,42.25074865,-71.13331061,Drury Road & Sunnyside Street,31,nearest_address
551,6FH70,Hyde Park Ave,1248-1252 Hyde Park Ave,IS,896832000000,606740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1894; METERED_FL=U; PLACEMENT=MIGRATED,6FH70,,,KE,KEK81-A,1998,,,,1,,1177632000000,connorsm,1237852800000,{41CDB069-0D90-5E81-A7D9-933979C12D1C},-71.123874595999951,42.256378124000037,1236-1248 (STREET_FEA 2249),STREET_FEA 2249,46,derived_0_50_ft,boston-sam,354198,1248-1252 Hyde Park Ave,Hyde Park Ave,42.25626609,-71.12379635,Hyde Park Avenue & Providence Street,59,nearest_address
582,5EH96,Brainard St,37-39 Brainard St,IS,1187136000000,505740004,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1032; METERED_FL=U; PLACEMENT=MIGRATED,5EH96,,,KE,KEK81-A,2007,,,,1,,1177632000000,blundonr,1255478400000,{821E389F-BE85-5EFC-BAB9-08B11341E1DB},-71.132415427999945,42.255877030000079,39 (STREET_FEA 647),STREET_FEA 647,31,derived_0_50_ft,boston-sam,19313,37-39 Brainard St,Brainard St,42.25584765,-71.13230661,Brainard Street & Cleveland Street,62,nearest_address
609,4GH52,Fairmount Ave,259 Fairmount Ave,IS,,407740040,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=4057; METERED_FL=U; PLACEMENT=MIGRATED,4GH52,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{885C4D73-1B05-56C9-80FE-078E2885CEFE},-71.114470513999947,42.248793669000065,259 (STREET_FEA 1597),STREET_FEA 1597,57,derived_50_100_ft,boston-sam,55718,259 Fairmount Ave,Fairmount Ave,42.24863865,-71.11449060,Fairmount Avenue & Summit Street,123,nearest_address
649,8GH4,Huntington Ave,252 Huntington Ave,IS,,807740041,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1064; METERED_FL=U; PLACEMENT=MIGRATED,8GH4,,,MU,MUCENT,2010,,,,1,,1177632000000,blundonr,1255478400000,{4F6847F1-89AA-5463-985D-9FF5E240D170},-71.118106482999963,42.269120496000028,252 (STREET_FEA 2240),STREET_FEA 2240,50,derived_0_50_ft,boston-sam,76514,252 Huntington Ave,Huntington Ave,42.26922865,-71.11799060,Bradlee Court & Bradlee Street,290,nearest_address
678,8FH26,Grassmere Rd,30 Grassmere Rd,IS,1182729600000,806740080,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=428; METERED_FL=U; PLACEMENT=MIGRATED,8FH26,,,MU,MUCENT,2005,,,,1,,1177632000000,chalmersh,1238976000000,{E0D1A7DB-C91F-58B7-8532-4D2C916578C3},-71.129247734999979,42.268976911000038,30 (STREET_FEA 1901),STREET_FEA 1901,52,derived_50_100_ft,boston-sam,66019,30 Grassmere Rd,Grassmere Rd,42.26911865,-71.12924061,Bateman Street & Grassmere Road,107,nearest_address
702,7HH66,Holmfield Ave,3 Holmfield Ave,IS,,708740096,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2188; METERED_FL=U; PLACEMENT=MIGRATED,7HH66,,,MU,MUCENT,2003,,,,1,,1177632000000,denapolipd,1231804800000,{BD3AA39E-03AB-57D2-81AF-62AAED16F593},-71.101099376999969,42.263952115000052,691 OPP (STREET_FEA 3603),STREET_FEA 3603,28,derived_0_50_ft,boston-sam,166294,3 Holmfield Ave,Holmfield Ave,42.26388330,-71.10105144,Holmfield Avenue & River Street,44,nearest_address
706,3EH40,Reynold Rd,7 Reynold Rd,IS,,305740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1259; METERED_FL=U; PLACEMENT=MIGRATED,3EH40,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1435017600000,{8B769738-CF70-5170-8C1E-8210CD7565C2},-71.137138639999989,42.241225509000060,7 (STREET_FEA 3565),STREET_FEA 3565,40,derived_0_50_ft,boston-sam,115582,7 Reynold Rd,Reynold Rd,42.24129865,-71.13725061,Danny Road & Reynold Road,31,nearest_address
708,5GH66,Metropolitan Ave,917 Metropolitan Ave,IS,,507740021,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3087; METERED_FL=U; PLACEMENT=MIGRATED,5GH66,,,MU,MUCENT,1993,,,,1,,1177632000000,dorleansr,1251763200000,{B681AEA0-3D62-5307-9ACA-AAEADD619F01},-71.112117473999945,42.254923176000034,917 (STREET_FEA 2833),STREET_FEA 2833,56,derived_50_100_ft,boston-sam,95057,917 Metropolitan Ave,Metropolitan Ave,42.25482213,-71.11227225,Metropolitan Avenue & Norris Road,167,nearest_address
716,5GH6,Fairmount Ave,189 Fairmount Ave,IS,770428800000,507740076,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2142; METERED_FL=U; PLACEMENT=MIGRATED,5GH6,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1236643200000,{8B3E35C8-4870-5F41-B8E2-44446E3AE0AE},-71.117555617999983,42.251784987000065,189 (STREET_FEA 1597),STREET_FEA 1597,60,derived_50_100_ft,boston-sam,55678,189 Fairmount Ave,Fairmount Ave,42.25163865,-71.11766060,Beacon Street & Fairmount Avenue,293,nearest_address
