objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
151,20NH50,E Third St,836 E Third St,IS,1027641600000,2014740061,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3190; METERED_FL=U; PLACEMENT=MIGRATED,20NH50,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1271808000000,{D3225EA2-CB0F-5D7C-8E03-F6B043642966},-71.026170255999943,42.336704949000080,836 (STREET_FEA 27),STREET_FEA 27,46,derived_0_50_ft,boston-sam,135177,836 E Third St,E Third St,42.33682867,-71.02620058,East Third Street & P Street,279,nearest_address
159,22KH136,Dorchester Ave,63 Dorchester Ave,IS,,2211740194,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1359; METERED_FL=U; PLACEMENT=MIGRATED,22KH136,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{0354BAFC-54B3-56C7-BB6C-692A315B2AF7},-71.057569517999980,42.344488347000038,STREET_FEA 1708,STREET_FEA 1708,107,derived_100_150_ft,boston-sam,48666,63 Dorchester Ave,Dorchester Ave,42.34477867,-71.05750059,Foundry Street & Gillette Park,53,nearest_address
182,19KH122,Southampton St,202 Southampton St,IS,,1911740173,,,MANUAL,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=2917; METERED_FL=U; PLACEMENT=palaciolv,19KH122,,,US,USMET250,2000,,,,1,,1216771200000,blundonr,1249430400000,{13AE8F6B-A178-5473-B1A1-A918728E642E},-71.065659626999945,42.331482254000036,234 (STREET_FEA 3940),STREET_FEA 3940,138,derived_100_150_ft,boston-sam,371821,202 Southampton St,Southampton St,42.33180075,-71.06594016,Moore Street & Southampton Street,104,nearest_address
207,19MH72,Hardy St,2 Hardy St,IS,,1913740033,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2016; METERED_FL=U; PLACEMENT=MIGRATED,19MH72,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1271808000000,{14C7ADEA-EBF7-5D0F-8312-C6E479995650},-71.032298625999942,42.331469434000041,726 OPP (STREET_FEA 13),STREET_FEA 13,41,derived_0_50_ft,boston-sam,69473,2 Hardy St,Hardy St,42.33139867,-71.03218058,East Eighth Street & Hardy Street,37,nearest_address
220,19KH36,Southampton St,501 Southampton St,IS,,1911740108,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1486; METERED_FL=U; PLACEMENT=MIGRATED,19KH36,,,KE,KEK81-A,1998,,,,1,,1177632000000,connorsm,1221091200000,{1293DE68-6CAA-5A82-9C59-7596FDB6EB62},-71.057783338999968,42.329572424000048,501 (STREET_FEA 3941),STREET_FEA 3941,88,derived_50_100_ft,boston-sam,169872,501 Southampton St,Southampton St,42.32938774,-71.05757343,Ellery Street & Southampton Street,145,nearest_address
274,18LH10,Old Colony Ave,441-443 Old Colony Ave,IS,,1812740007,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5391; METERED_FL=U; PLACEMENT=MIGRATED,18LH10,,,US,USMET250,1988,,,,1,,1177632000000,connorsm,1221004800000,{94286477-C18F-5D94-AB7B-DC6AA8C9C135},-71.052553510999985,42.324844233000078,441 (STREET_FEA 3144),STREET_FEA 3144,76,derived_50_100_ft,boston-sam,341407,441-443 Old Colony Ave,Old Colony Ave,42.32489487,-71.05282749,Monsignor Dennis F. O'Callaghan Way & Old Colony Avenue,181,nearest_address
283,20LH172,W Broadway,439-443 W Broadway,IS,974419200000,2012740107,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1587; METERED_FL=U; PLACEMENT=MIGRATED,20LH172,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{052D3FA2-F659-5EFF-9F45-F46C9A3D9098},-71.046976887999961,42.336227389000044,439-441 (STREET_FEA 71),STREET_FEA 71,64,derived_50_100_ft,boston-sam,419685,439-443 W Broadway,W Broadway,42.33610369,-71.04714825,F Street & West Broadway,300,nearest_address
294,20JH176,Atkinson Street,Near Atkinson Street & Bradston Street,IS,,2010740300,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=340; METERED_FL=U; PLACEMENT=MIGRATED,20JH176,,,WA,WAWB67P,1988,,,,1,,1177632000000,blundonr,1255478400000,{8056DB8A-41B5-5856-9D62-09640938AD70},-71.069711787999950,42.333946824000066,STREET_FEA 639,STREET_FEA 639,191,intersection_preferred_150_plus_ft,boston-sam,19119,20 Bradston St,Bradston St,42.33423867,-71.06912059,Atkinson Street & Bradston Street,474,nearest_intersection
298,21KH179,Silver St,51 Silver St,IS,958003200000,2111740272,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=112; METERED_FL=U; PLACEMENT=MIGRATED,21KH179,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1255478400000,{21A9AE5C-7186-554E-A317-FBA465F50289},-71.055390546999945,42.341133901000035,53 OPP (STREET_FEA 3909),STREET_FEA 3909,35,derived_0_50_ft,boston-sam,355848,51 Silver St,Silver St,42.34108002,-71.05549994,A Street & Silver Street,191,nearest_address
307,19LH54,Gates St,78 Gates St,IS,,1912740066,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1790; METERED_FL=U; PLACEMENT=MIGRATED,19LH54,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{F44DD9B3-575C-51D9-A0B7-15A29DB9B089},-71.048140022999974,42.331175021000035,319 (STREET_FEA 13),STREET_FEA 13,74,derived_50_100_ft,boston-sam,63136,78 Gates St,Gates St,42.33137389,-71.04808639,East Eighth Street & Gates Street,26,nearest_address
