objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
3309,15HH82,Park Ln,4 Park Ln,IS,,1508740020,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4362; METERED_FL=U; PLACEMENT=MIGRATED,15HH82,,,MH,MH929,1988,,,,1,,1177632000000,connorsm,1237766400000,{A03B6073-338E-5DCF-ADB5-389B65103556},-71.098535094999988,42.310635991000026,4 (STREET_FEA 3207),STREET_FEA 3207,58,derived_50_100_ft,boston-sam,153862,4 Park Ln,Park Ln,42.31047866,-71.09857060,Park Lane & Walnut Avenue,195,nearest_address
3325,16GH86,Green St,74-76 Green St,IS,801964800000,1607740170,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=954; METERED_FL=U; PLACEMENT=MIGRATED,16GH86,,,MU,MUCENT,1987,,,,1,,1177632000000,blundonr,1249430400000,{AE690970-D73D-5E15-B9D6-CC5B8A2E3A34},-71.110026365999943,42.311812099000065,74 (STREET_FEA 1908),STREET_FEA 1908,50,derived_0_50_ft,boston-sam,66416,74-76 Green St,Green St,42.31185866,-71.10985060,Cheshire Street & Green Street,95,nearest_address
3330,13FH26,Flora Way,Near Flora Way & South Street,IS,,1306740014,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=759; METERED_FL=U; PLACEMENT=MIGRATED,13FH26,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{610169C1-95A8-529F-81E9-95701B4BE00B},-71.123062305999952,42.297890572000028,STREET_FEA 3408,STREET_FEA 3408,850,intersection_preferred_150_plus_ft,boston-sam,341527,25 Flora Way,Flora Way,42.29556244,-71.12331327,Flora Way & South Street,867,nearest_intersection
3340,18GH115,Heath Street,Near Heath Street & South Huntington Avenue,IS,,1807740134,,,MANUAL,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=mulline,18GH115,,,WA,WAWB67P,1992,,,,1,,1247702400000,blundonr,1249430400000,{B552C248-EBF4-51BD-B376-AC44F803D8B2},-71.110093110999969,42.327569088000075,150 (STREET_FEA 55),STREET_FEA 55,249,intersection_preferred_150_plus_ft,boston-sam,354129,140 S Huntington Ave,S Huntington Ave,42.32823461,-71.11031444,Heath Street & South Huntington Avenue,437,nearest_intersection
3343,16HH102,Boylston Pl,10-14 Boylston Pl,IS,,1608740015,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=622; METERED_FL=U; PLACEMENT=MIGRATED,16HH102,,,MU,MUCENT,1995,,,,1,,1177632000000,mulline,1450051200000,{F2C08795-B08B-536D-933C-DB6925D2B507},-71.102152549999971,42.316467971000066,8 (STREET_FEA 617),STREET_FEA 617,51,derived_50_100_ft,boston-sam,351795,10-14 Boylston Pl,Boylston Pl,42.31658704,-71.10225034,Boylston Place & Boylston Street,241,nearest_address
3344,18GH58,Day St,61-63 Day St,IS,1349654400000,1807740045,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2870; METERED_FL=U; PLACEMENT=MIGRATED,18GH58,,,KE,KEK81-A,1997,,,,1,,1177632000000,mulline,1440460800000,{856A18D1-B636-5B4A-8F5E-14CC8C61FE51},-71.108091685999966,42.324970077000046,4-6 OPP (STREET_FEA 3071),STREET_FEA 3071,36,derived_0_50_ft,boston-sam,46721,61-63 Day St,Day St,42.32497966,-71.10795760,Day Street & Round Hill Street,78,nearest_address
3354,16HH44,Washington St,3190 Washington St,IS,,1608740150,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2900; METERED_FL=U; PLACEMENT=MIGRATED,16HH44,,,MU,MUCENT,2003,,,,1,,1177632000000,palaciolv,1231372800000,{577E7680-8718-593D-87F1-6052C2AAE122},-71.101159558999939,42.313025954000068,3183 (STREET_FEA 4398),STREET_FEA 4398,106,derived_100_150_ft,boston-sam,144653,3190 Washington St,Washington St,42.31278707,-71.10093494,Iffley Road & Washington Street,34,nearest_address
3360,18GH44,Day Street,Near Day Street & Grotto Glen Road,IS,,1807740018,,,MANUAL,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=MIGRATED,18GH44,,,WA,WAWB67P,1992,,,,1,,1177632000000,denapolipd,1253491200000,{55111D5E-3A70-5782-BD16-950FE890C5ED},-71.109208882999951,42.326848315000063,150 BACK (STREET_FEA 55),STREET_FEA 55,258,intersection_preferred_150_plus_ft,boston-sam,72333,240 Heath St,Heath St,42.32688867,-71.10825061,Day Street & Grotto Glen Road,678,nearest_intersection
3395,17HH11,Chestnut Ave,65A-65 Chestnut Ave,IS,,1708740096,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2969; METERED_FL=U; PLACEMENT=MIGRATED,17HH11,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1231459200000,{FED3AAD9-CC32-5037-88A1-A0689A5A7B44},-71.103819850999969,42.320135586000049,65 (STREET_FEA 960),STREET_FEA 960,38,derived_0_50_ft,boston-sam,155308,65A-65 Chestnut Ave,Chestnut Ave,42.32023866,-71.10384060,Chestnut Avenue & Mozart Street,74,nearest_address
3425,16GH94,Robinwood Ave,37 Robinwood Ave,IS,,1607740013,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=882; METERED_FL=U; PLACEMENT=MIGRATED,16GH94,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{ADF6F5CC-F4EA-506A-B690-852BDE1478BF},-71.112778963999972,42.316185379000046,10 (STREET_FEA 3632),STREET_FEA 3632,78,derived_50_100_ft,boston-sam,117444,37 Robinwood Ave,Robinwood Ave,42.31634866,-71.11296861,Beaufort Road & Centre Street,283,nearest_address
3431,15FH52,Cedarwood Rd,6 Cedarwood Rd,IS,,1506740026,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2937; METERED_FL=U; PLACEMENT=MIGRATED,15FH52,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1233273600000,{6829CE03-CC15-52CA-8171-7FE35F033883},-71.124333793999938,42.310601188000078,10 (STREET_FEA 865),STREET_FEA 865,45,derived_0_50_ft,boston-sam,27203,6 Cedarwood Rd,Cedarwood Rd,42.31056866,-71.12417061,Bowditch Road & Moss Hill Road,152,nearest_address
3450,17HH46,Lamartine St,57-59 Lamartine St,IS,,1708740024,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2172; METERED_FL=U; PLACEMENT=MIGRATED,17HH46,,,US,USSEN,1980,,,,1,,1177632000000,blundonr,1255478400000,{B30EAF44-9C52-5DB7-AA91-DD4DF1656122},-71.102119315999971,42.320838725000044,STREET_FEA 2438,STREET_FEA 2438,97,derived_50_100_ft,boston-sam,419774,57-59 Lamartine St,Lamartine St,42.32110130,-71.10204973,Hoffman Street & Lamartine Street,201,nearest_address
3465,13GH92,Orchardhill Rd,37 Orchardhill Rd,IS,,1307740015,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=660; METERED_FL=U; PLACEMENT=MIGRATED,13GH92,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{798C971A-4BE3-575F-A768-061DD0812172},-71.111700033999966,42.299997786000063,37 (STREET_FEA 3162),STREET_FEA 3162,33,derived_0_50_ft,boston-sam,105530,37 Orchardhill Rd,Orchardhill Rd,42.29995866,-71.11181060,Bremen Terrace & Orchardhill Road,320,nearest_address
3467,13GH38,Hyde Park Ave,64 Hyde Park Ave,IS,,1307740048,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4431; METERED_FL=U; PLACEMENT=MIGRATED,13GH38,,,US,USSEN,1983,,,,1,,1177632000000,chalmersh,1240444800000,{E2BDD6F8-88CF-557E-826E-2370ACA7F0B1},-71.114487105999956,42.298313713000027,64 (STREET_FEA 2250),STREET_FEA 2250,63,derived_50_100_ft,boston-sam,77477,64 Hyde Park Ave,Hyde Park Ave,42.29824866,-71.11427061,Hyde Park Avenue & Ukraine Way,159,nearest_address
3469,15HH84,Walnut Ave,489 Walnut Ave,IS,662688000000,1508740014,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3207; METERED_FL=U; PLACEMENT=MIGRATED,15HH84,,,US,USMET250,1990,,,,1,,1177632000000,blundonr,1255478400000,{8EBF09A2-EF83-532D-92F0-B2D849ED2185},-71.097916753999982,42.310744789000069,489 (STREET_FEA 4362),STREET_FEA 4362,64,derived_50_100_ft,boston-sam,141962,489 Walnut Ave,Walnut Ave,42.31071866,-71.09815060,Park Lane & Walnut Avenue,111,nearest_address
3481,18GH20,Bynner St,115 Bynner St,IS,1086048000000,1807740066,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2298; METERED_FL=U; PLACEMENT=MIGRATED,18GH20,,,MU,MUCENT,2004,,,,1,,1177632000000,denapolipd,1279238400000,{197245D0-8EFC-5A6D-975A-B76E645E3288},-71.113916564999954,42.324195052000050,115 (STREET_FEA 765),STREET_FEA 765,50,derived_0_50_ft,boston-sam,24477,115 Bynner St,Bynner St,42.32430866,-71.11381061,Bynner Street & Jamaicaway,212,nearest_address
3484,16GH122,Oakdale St,19 Oakdale St,IS,,1607740178,,,GPS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=889; METERED_FL=U; PLACEMENT=MIGRATED,16GH122,,,KE,KEK81-A,1900,,,,1,,1177632000000,palaciolv,1231372800000,{854ECC01-DE9E-5327-8596-881E8B8F22AC},-71.107135132999986,42.311506248000057,STREET_FEA 3126,STREET_FEA 3126,148,derived_100_150_ft,boston-sam,104709,19 Oakdale St,Oakdale St,42.31186866,-71.10738060,Oakdale Street & Oakdale Terrace,69,nearest_address
3491,14FH84,Whitcomb Ave,11 Whitcomb Ave,IS,,1406740092,,,U,,,,,PRIV,SERVICE_AR=SEH; CROSS_STRE=0; METERED_FL=U; PLACEMENT=blundonr,14FH84,,,U,U,,,,,1,,1239926400000,blundonr,1244419200000,{66F22805-50B9-5C89-AA25-6E0DF8664480},-71.126446673999965,42.302555718000065,1125 (STREET_FEA 882),STREET_FEA 882,116,derived_100_150_ft,boston-sam,171777,11 Whitcomb Ave,Whitcomb Ave,42.30227566,-71.12665561,Centre Street & Whitcomb Avenue,281,nearest_address
3501,14FH36,Calvin Rd,2 Calvin Rd,IS,,1406740027,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=785; METERED_FL=U; PLACEMENT=MIGRATED,14FH36,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{4714CAC3-B3A8-57F7-AE74-B081F95E42AF},-71.130846565999946,42.304473469000072,108 OPP (STREET_FEA 4466),STREET_FEA 4466,47,derived_0_50_ft,boston-sam,25026,2 Calvin Rd,Calvin Rd,42.30456866,-71.13073061,Calvin Road & Westchester Road,108,nearest_address
3502,14GH34,Saint Rose St,103 Saint Rose St,IS,1354233600000,1407740035,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=278; METERED_FL=U; PLACEMENT=MIGRATED,14GH34,,,KE,KEK81-A,2010,,,,1,,1177632000000,favoritom,1405555200000,{78A7153B-D4FF-55B5-9CEC-B80AD6C15123},-71.118497641999966,42.304866316000073,103 (STREET_FEA 3767),STREET_FEA 3767,56,derived_50_100_ft,boston-sam,121497,103 Saint Rose St,Saint Rose St,42.30501866,-71.11847061,Arborway & Saint Rose Street,298,nearest_address
3517,17HH94,Columbus Ave,1841-1843 Columbus Ave,IS,,1708740072,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1342; METERED_FL=U; PLACEMENT=MIGRATED,17HH94,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1244505600000,{4D256EB3-5EE0-54B3-B847-B656796E6821},-71.098554759999956,42.319553737000035,1841-1843 (STREET_FEA 1076),STREET_FEA 1076,28,derived_0_50_ft,boston-sam,35498,1841-1843 Columbus Ave,Columbus Ave,42.31948866,-71.09861060,Columbus Avenue & Dimock Street,30,nearest_address
3544,13GH50,Hyde Park Ave,164 Hyde Park Ave,IS,879897600000,1307740110,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4350; METERED_FL=U; PLACEMENT=MIGRATED,13GH50,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1244505600000,{3B29B951-4190-5CA4-9AFB-46E5FEB98B20},-71.116469115999962,42.295386574000077,164 (STREET_FEA 2250),STREET_FEA 2250,38,derived_0_50_ft,boston-sam,77192,164 Hyde Park Ave,Hyde Park Ave,42.29532866,-71.11635061,Walk Hill Street & Wenham Street,162,nearest_address
3552,13GH68,Hyde Park Ave,38-42 Hyde Park Ave,IS,,1307740042,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2250; METERED_FL=U; PLACEMENT=MIGRATED,13GH68,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1244505600000,{677E0090-C359-5EBE-9DB2-E66DA9B1BE98},-71.113944450999952,42.298938107000026,6-8 OPP (STREET_FEA 4431),STREET_FEA 4431,26,derived_0_50_ft,boston-sam,352202,38-42 Hyde Park Ave,Hyde Park Ave,42.29887597,-71.11399319,Hyde Park Avenue & Weld Hill Street,76,nearest_address
3574,16GH185,Lamartine St,251 Lamartine St,IS,1067990400000,1607740194,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2598; METERED_FL=U; PLACEMENT=MIGRATED,16GH185,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{5E43D899-4BFE-558E-8552-A1B30C908F3F},-71.106213052999976,42.314704126000038,251 (STREET_FEA 2437),STREET_FEA 2437,49,derived_0_50_ft,boston-sam,83540,251 Lamartine St,Lamartine St,42.31473866,-71.10639060,Lamartine Street & Minton Street,66,nearest_address
3585,17GH100,Clive St,23 Clive St,IS,,1707740144,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=621; METERED_FL=U; PLACEMENT=MIGRATED,17GH100,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1231459200000,{0E2AAEB6-E462-59D1-9A02-871DAC419BAA},-71.108192651999957,42.317186508000077,23 (STREET_FEA 1044),STREET_FEA 1044,53,derived_50_100_ft,boston-sam,34063,23 Clive St,Clive St,42.31718866,-71.10839060,Beecher Street & Boylston Street,250,nearest_address
3589,17GH114,Chestnut Ave,146 Chestnut Ave,IS,,1707740124,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3250; METERED_FL=U; PLACEMENT=MIGRATED,17GH114,,,KE,KEK81,2009,,,,1,,1177632000000,blundonr,1255478400000,{FBD4E578-5745-5A6F-B8B8-14FDFB71400D},-71.106205965999948,42.317958513000065,145 (STREET_FEA 960),STREET_FEA 960,65,derived_50_100_ft,boston-sam,31056,146 Chestnut Ave,Chestnut Ave,42.31782866,-71.10604060,Chestnut Avenue & Roslyn Place,132,nearest_address
3590,17HH4,Paul Gore St,132-134 Paul Gore St,IS,,1708740105,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1255; METERED_FL=U; PLACEMENT=MIGRATED,17HH4,,,KE,KEK81,2012,,,,1,,1177632000000,blundonr,1255478400000,{2B002732-F87A-5406-AAEC-1D17465E0017},-71.104879110999946,42.318245557000068,132-134 (STREET_FEA 3250),STREET_FEA 3250,37,derived_0_50_ft,boston-sam,108532,132-134 Paul Gore St,Paul Gore St,42.31827966,-71.10500760,Danforth Street & Paul Gore Street,57,nearest_address
3609,13FH24,Flora Way,Near Flora Way & South Street,IS,,1306740019,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=759; METERED_FL=U; PLACEMENT=MIGRATED,13FH24,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{1470D246-0C21-59E2-926A-4F432990483F},-71.125146562999987,42.297372145000054,STREET_FEA 3408,STREET_FEA 3408,823,intersection_preferred_150_plus_ft,boston-sam,341527,25 Flora Way,Flora Way,42.29556244,-71.12331327,Flora Way & South Street,1025,nearest_intersection
3635,14GH32,Saint Rose St,75 Saint Rose St,IS,,1407740043,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=278; METERED_FL=U; PLACEMENT=MIGRATED,14GH32,,,MU,MUCENT,1993,,,,1,,1177632000000,connorsm,1237334400000,{A66BC862-052F-5158-9227-3D02B8B10084},-71.117548433999957,42.304677148000053,75 (STREET_FEA 3767),STREET_FEA 3767,41,derived_0_50_ft,boston-sam,121540,75 Saint Rose St,Saint Rose St,42.30476866,-71.11746061,Hampstead Lane & Hampstead Road,282,nearest_address
3661,18HH58,Bickford St,30-40 Bickford St,IS,,1808740096,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2094; METERED_FL=U; PLACEMENT=MIGRATED,18HH58,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1231718400000,{0D3F697C-EEF0-5E85-A6E2-1875A022A35B},-71.100959826999940,42.324701551000032,STREET_FEA 3225,STREET_FEA 3225,89,derived_50_100_ft,boston-sam,343147,30-40 Bickford St,Bickford St,42.32480264,-71.10126070,Bickford Street & Parker Street,85,nearest_address
3663,18HH50,Heath St,87 Heath St,IS,,1808740048,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=522; METERED_FL=U; PLACEMENT=MIGRATED,18HH50,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1231718400000,{F30A3B2E-A00D-5559-8CB6-9ECA4D217FDE},-71.101251751999939,42.326344248000055,STREET_FEA 2094,STREET_FEA 2094,82,derived_50_100_ft,boston-sam,72409,87 Heath St,Heath St,42.32656563,-71.10119903,Heath Street & Heath Street Rotary,198,nearest_address
3668,17GH130,Paul Gore St,102 Paul Gore St,IS,,1707740096,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=469; METERED_FL=U; PLACEMENT=MIGRATED,17GH130,,,MU,MUCENT,1993,,,,1,,1177632000000,palaciolv,1231459200000,{8710434C-B948-5CF9-A37F-80425696949B},-71.106599032999952,42.318881555000075,102 (STREET_FEA 3250),STREET_FEA 3250,40,derived_0_50_ft,boston-sam,108512,102 Paul Gore St,Paul Gore St,42.31893866,-71.10647060,Beecher Street & Paul Gore Street,19,nearest_address
3685,15EH20,Hopkins Rd,2 Hopkins Rd,IS,,1505740007,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2203; METERED_FL=U; PLACEMENT=MIGRATED,15EH20,,,KE,KEK81,1999,,,,1,,1177632000000,chalmersh,1233273600000,{E8773FF5-1BF6-57E3-BF9C-CBDBD82DC908},-71.133093381999970,42.309586932000059,444 OPP (STREET_FEA 3349),STREET_FEA 3349,104,derived_100_150_ft,boston-sam,75276,2 Hopkins Rd,Hopkins Rd,42.30930866,-71.13300061,Hopkins Road & Pond Street,63,nearest_address
3688,17HH23,Armstrong St,20 Armstrong St,IS,707356800000,1708740157,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=323; METERED_FL=U; PLACEMENT=MIGRATED,17HH23,,,MU,MUCENT,1992,,,,1,,1177632000000,palaciolv,1231459200000,{BAC16343-0FC0-5B84-A6A8-2A7A202A3372},-71.103630181999961,42.321230611000033,20 (STREET_FEA 309),STREET_FEA 309,12,derived_0_50_ft,boston-sam,5021,20 Armstrong St,Armstrong St,42.32119866,-71.10362060,Armstrong Street & Ashley Street,93,nearest_address
3697,18HH62,Heath St,61 Heath St,IS,,1808740049,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3039; METERED_FL=U; PLACEMENT=MIGRATED,18HH62,,,DA,ADB-84-B,2001,,,,1,,1177632000000,palaciolv,1231718400000,{9CDA038B-AF71-5683-948A-5E358449458A},-71.100281678999977,42.326289043000031,STREET_FEA 3225,STREET_FEA 3225,90,derived_50_100_ft,boston-sam,419451,61 Heath St,Heath St,42.32612344,-71.10003559,Heath Street & Heath Street Rotary,29,nearest_address
3698,15GH18,Custer St,16 Custer St,IS,,1507740142,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3936; METERED_FL=U; PLACEMENT=MIGRATED,15GH18,,,US,USMET250,1988,,,,1,,1177632000000,blundonr,1255478400000,{F3BD096F-CA2C-58A4-BB12-03D7E92E18E9},-71.116413177999959,42.307474677000073,15 (STREET_FEA 1225),STREET_FEA 1225,62,derived_50_100_ft,boston-sam,45220,16 Custer St,Custer St,42.30730866,-71.11646061,Atwood Square & Custer Street,53,nearest_address
3718,18HH48,Heath St,107 Heath St,IS,,1808740052,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=521; METERED_FL=U; PLACEMENT=MIGRATED,18HH48,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1231718400000,{C1C1EE5C-C6F2-5C77-8BED-1826892B1AE6},-71.102224291999960,42.326292363000050,106 (STREET_FEA 2094),STREET_FEA 2094,83,derived_50_100_ft,boston-sam,166161,107 Heath St,Heath St,42.32646867,-71.10242060,Bickford Street & Horan Way,357,nearest_address
3749,17GH96,Adelaide Ter,4 Adelaide Ter,IS,,1707740123,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=136; METERED_FL=U; PLACEMENT=MIGRATED,17GH96,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{A8997EE5-8E24-5B37-9A72-B491FC558244},-71.110097524999958,42.318028015000039,4 (STREET_FEA 137),STREET_FEA 137,22,derived_0_50_ft,boston-sam,1180,4 Adelaide Ter,Adelaide Ter,42.31796866,-71.11011061,Adelaide Street & Adelaide Terrace,131,nearest_address
3756,16HH58,Bismarck St,11-13 Bismarck St,IS,1114992000000,1608740065,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3361; METERED_FL=U; PLACEMENT=MIGRATED,16HH58,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1230076800000,{79933B9E-6865-5A02-ABAB-45B409A946FF},-71.102846258999989,42.314934643000072,11-13 OPP (STREET_FEA 544),STREET_FEA 544,69,derived_50_100_ft,boston-sam,15772,11-13 Bismarck St,Bismarck St,42.31511866,-71.10279060,Bismarck Street & Porter Street,16,nearest_address
3761,14FH58,Louder's Ln,57 Louder's Ln,IS,,1406740011,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2543; METERED_FL=U; PLACEMENT=MIGRATED,14FH58,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{73660841-8EE7-5A4B-9553-6C2E0507B179},-71.128452909999965,42.305352876000029,57 (STREET_FEA 2610),STREET_FEA 2610,57,derived_50_100_ft,boston-sam,87538,57 Louder's Ln,Louder's Ln,42.30550866,-71.12844061,Calvin Road & Louder's Lane,448,nearest_address
3764,18HH46,Heath St,154-162 Heath St,IS,,1808740058,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2472; METERED_FL=U; PLACEMENT=MIGRATED,18HH46,,,US,USSEN,1985,,,,1,,1177632000000,blundonr,1255478400000,{F932DDEA-6E21-573A-9085-7CF9EFAD3864},-71.103524811999989,42.326125158000025,123-127 OP (STREET_FEA 2094),STREET_FEA 2094,100,derived_50_100_ft,boston-sam,343164,154-162 Heath St,Heath St,42.32587507,-71.10367972,Horan Way & Walden Street,423,nearest_address
3768,14GH142,Asticou Road,Near Asticou Road & Washington Street,IS,,1407740161,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=330; METERED_FL=U; PLACEMENT=BlundoNR,14GH142,,,MU,MUCENT,1994,,,,1,,1346112000000,BlundoNR,1346112000000,{276C2D78-EC78-5ED0-918F-9EA41EE903DD},-71.114514308999958,42.300380613000073,STREET_FEA 4397,STREET_FEA 4397,160,intersection_preferred_150_plus_ft,boston-sam,161673,8 Asticou Rd,Asticou Rd,42.30016966,-71.11503609,Asticou Road & Washington Street,60,nearest_intersection
3787,14EH24,Whitcomb Ave,123 Whitcomb Ave,IS,,1405740003,,,GIS,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=2656; METERED_FL=U; PLACEMENT=MIGRATED,14EH24,,,KE,KEK11,1974,,,,1,,1177632000000,blundonr,1255478400000,{82786A8B-12CD-58A2-BE5F-1D8B76FDB1FF},-71.131834277999985,42.303834642000027,123 (STREET_FEA 4501),STREET_FEA 4501,58,derived_50_100_ft,boston-sam,149187,123 Whitcomb Ave,Whitcomb Ave,42.30395866,-71.13170061,Arborview Road & Malcolm Road,360,nearest_address
3799,14FH6,Allandale St,30-32 Allandale St,IS,,1406740083,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=882; METERED_FL=U; PLACEMENT=MIGRATED,14FH6,,,US,USSEN,1981,,,,1,,1177632000000,connorsm,1237334400000,{089E52B1-1B6B-50DC-9DFE-9FDAB4B8A3F0},-71.129647125999952,42.300868507000075,30 OPP (STREET_FEA 187),STREET_FEA 187,99,derived_50_100_ft,boston-sam,448677,30-32 Allandale St,Allandale St,42.30059792,-71.12959485,Allandale Street & Brownson Terrace,276,nearest_address
3812,14GH102,Mcbride Street,Near Mcbride Street & Rossmore Road,IS,,1407740003,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4395; METERED_FL=U; PLACEMENT=MIGRATED,14GH102,,,US,USSEN,1982,,,,1,,1177632000000,connorsm,1237334400000,{497B1E0F-2424-52B6-90B9-67B5FEBD96B3},-71.109128453999972,42.305684068000062,STREET_FEA 2776,STREET_FEA 2776,174,intersection_preferred_150_plus_ft,boston-sam,93388,144 Mcbride St,Mcbride St,42.30600866,-71.10960060,Mcbride Street & Rossmore Road,196,nearest_intersection
3818,14GH40,Jamaica St,101 Jamaica St,IS,1086048000000,1407740023,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2296; METERED_FL=U; PLACEMENT=MIGRATED,14GH40,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1235779200000,{F608D2F8-5E64-5145-A9C0-88C7FA5D99DC},-71.116270204999978,42.305086690000053,35 (STREET_FEA 3767),STREET_FEA 3767,48,derived_0_50_ft,boston-sam,455689,101 Jamaica St,Jamaica St,42.30516905,-71.11613026,Jamaica Street & Saint Rose Street,33,nearest_address
3835,11GH72,Waterman Rd,25 Waterman Rd,IS,662688000000,1107740056,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3019; METERED_FL=U; PLACEMENT=MIGRATED,11GH72,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1255478400000,{B5E72F8F-D83C-569C-A73E-B2A806C9179B},-71.112881146999939,42.287103404000050,25 (STREET_FEA 4408),STREET_FEA 4408,38,derived_0_50_ft,boston-sam,146339,25 Waterman Rd,Waterman Rd,42.28709866,-71.11274060,Neponset Avenue & Waterman Road,291,nearest_address
