objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
310,11GH12,Hyde Park Ave,362 Hyde Park Ave,IS,879897600000,1107740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4650; METERED_FL=U; PLACEMENT=MIGRATED,11GH12,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{057DE8F5-8500-5280-8C6F-1B8C627DE828},-71.118236661999958,42.288544358000081,362 (STREET_FEA 2250),STREET_FEA 2250,43,derived_0_50_ft,boston-sam,77311,362 Hyde Park Ave,Hyde Park Ave,42.28856866,-71.11808061,Hyde Park Avenue & Wyvern Street,110,nearest_address
314,17GH116,Beecher St,15 Beecher St,IS,,1707740108,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=621; METERED_FL=U; PLACEMENT=MIGRATED,17GH116,,,KE,KEK81-A,1995,,,,1,,1177632000000,palaciolv,1231459200000,{273145D2-15B6-5489-B7FB-83F1514CE170},-71.107158444999982,42.318348610000044,15 (STREET_FEA 469),STREET_FEA 469,44,derived_0_50_ft,boston-sam,13402,15 Beecher St,Beecher St,42.31842866,-71.10728060,Beecher Street & Paul Gore Street,227,nearest_address
315,15GH116,Roanoke Ave,16 Roanoke Ave,IS,536457600000,1507740035,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3622; METERED_FL=U; PLACEMENT=MIGRATED,15GH116,,,WA,WAWB67P,1990,,,,1,,1177632000000,blundonr,1255478400000,{5A78C7E2-14BB-592E-BF8E-7713DB061947},-71.112307830999953,42.310448241000074,17 OPP (STREET_FEA 223),STREET_FEA 223,52,derived_50_100_ft,boston-sam,117200,16 Roanoke Ave,Roanoke Ave,42.31042309,-71.11211894,Alveston Street & Harris Avenue,128,nearest_address
316,17HH68,School St,171 School St,IS,1054425600000,1708740123,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=240; METERED_FL=U; PLACEMENT=MIGRATED,17HH68,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1230076800000,{AC2E421B-D2D1-537C-930B-295BB1681251},-71.101356454999973,42.317104576000077,171 (STREET_FEA 3820),STREET_FEA 3820,45,derived_0_50_ft,boston-sam,123870,171 School St,School St,42.31714866,-71.10120060,Copley Street & School Street,221,nearest_address
335,15HH56,Forest Hills St,55 Forest Hills St,IS,1086048000000,1508740023,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4095; METERED_FL=U; PLACEMENT=MIGRATED,15HH56,,,MU,MUCENT,2004,,,,1,,1177632000000,blundonr,1230076800000,{2BC27776-E681-5387-81BB-E1485F007CA2},-71.102404860999968,42.310541232000048,51-55 (STREET_FEA 1696),STREET_FEA 1696,28,derived_0_50_ft,boston-sam,59467,55 Forest Hills St,Forest Hills St,42.31056866,-71.10250060,Forest Hills Street & Sylvia Street,32,nearest_address
349,16HH196,Ackley Pl,20 Ackley Pl,IS,,1608740217,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4398; METERED_FL=U; PLACEMENT=MIGRATED,16HH196,,,US,USMET250,1988,,,,1,,1177632000000,palaciolv,1231372800000,{8901A6EC-1ABC-5393-A8A6-F2FAC5FCC03C},-71.103831400999979,42.311278236000078,19 (STREET_FEA 121),STREET_FEA 121,24,derived_0_50_ft,boston-sam,272,20 Ackley Pl,Ackley Pl,42.31124966,-71.10391360,Ackley Place & Washington Street,237,nearest_address
361,12GH62,Northbourne Rd,30 Northbourne Rd,IS,,1207740055,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4331; METERED_FL=U; PLACEMENT=MIGRATED,12GH62,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{60CB2AEF-778E-5A55-8E8C-785A667FABC3},-71.116547377999950,42.291361993000066,30 (STREET_FEA 3096),STREET_FEA 3096,51,derived_50_100_ft,boston-sam,103778,30 Northbourne Rd,Northbourne Rd,42.29149866,-71.11650060,Herbertson Road & Northbourne Road,135,nearest_address
391,16FH102,Furnival Rd,8 Furnival Rd,IS,893721600000,1606740077,,,MANUAL,,,,,BWSC,SERVICE_AR=SEH; CROSS_STRE=3349; METERED_FL=U; PLACEMENT=MIGRATED,16FH102,,,KE,KEK81-A,1994,,,,1,,1177632000000,chalmersh,1233705600000,{E569C9A8-B161-50C3-982A-4B569BB0F77F},-71.129330519999939,42.311278846000050,8 (STREET_FEA 1766),STREET_FEA 1766,46,derived_0_50_ft,boston-sam,61552,8 Furnival Rd,Furnival Rd,42.31118866,-71.12945061,Furnival Road & Pond Street,161,nearest_address
408,17GH52,Perkins St,67 Perkins St,IS,157766400000,1707740019,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4661; METERED_FL=U; PLACEMENT=MIGRATED,17GH52,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{1687155E-31BD-5E54-8F6D-0EC3B8BBD95C},-71.113086147999979,42.321488721000037,67 (STREET_FEA 3283),STREET_FEA 3283,44,derived_0_50_ft,boston-sam,109535,67 Perkins St,Perkins St,42.32160866,-71.11306061,Perkins Street & Zamora Street,77,nearest_address
414,12GH56,Bournedale Rd,5 Bournedale Rd,IS,770428800000,1207740074,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=4331; METERED_FL=U; PLACEMENT=MIGRATED,12GH56,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{49F21CFC-5B79-545C-B543-40E14D1A396A},-71.116986958999973,42.290714712000067,5 OPP (STREET_FEA 599),STREET_FEA 599,60,derived_50_100_ft,boston-sam,17344,5 Bournedale Rd,Bournedale Rd,42.29056866,-71.11688061,Bournedale Road & Wachusett Street,47,nearest_address
