objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
751,19GH30,Huntington Ave,852-854 Huntington Ave,IS,,1907740007,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3226; METERED_FL=U; PLACEMENT=MIGRATED,19GH30,,,KE,KEK81-A,1997,,,,1,,1177632000000,blundonr,1255478400000,{83EECDE4-38AB-5A85-8497-EE25BC8298A1},-71.110336742999948,42.332881387000043,854 (STREET_FEA 2241),STREET_FEA 2241,34,derived_0_50_ft,boston-sam,76451,852-854 Huntington Ave,Huntington Ave,42.33278867,-71.11033061,Huntington Avenue & Parker Hill Avenue,231,nearest_address
796,20HH199,Horadan Way,24-36 Horadan Way,IS,,2008740281,,,GPS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5514; METERED_FL=U; PLACEMENT=connorsm,20HH199,,,KE,KEK81-A,2005,,,,1,,1228176000000,blundonr,1264377600000,{9054E739-340D-5539-BC8B-115502B33807},-71.097977868999976,42.334167990000026,STREET_FEA 5201,STREET_FEA 5201,93,derived_50_100_ft,boston-sam,422182,24-36 Horadan Way,Horadan Way,42.33396034,-71.09777744,Horadan Way & Turquoise Way,176,nearest_address
799,20HH207,Huntington Ave,574 Huntington Ave,IS,1289001600000,2008740289,,,AS BUILT,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4279; METERED_FL=U; PLACEMENT=blundonr,20HH207,,,KE,KEK81-A,2010,,,,1,,1361836800000,blundonr,1361836800000,{476C15A8-FE69-5F47-8520-D3F36479A37C},-71.096916084999975,42.337036340000054,578 (STREET_FEA 2239),STREET_FEA 2239,63,derived_50_100_ft,boston-sam,341153,574 Huntington Ave,Huntington Ave,42.33700268,-71.09668457,Huntington Avenue & Vancouver Street,54,nearest_address
800,20HH127,Huntington Ave,600R Huntington Ave,IS,,2008740095,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4371; METERED_FL=U; PLACEMENT=MIGRATED,20HH127,,,KE,KEK81-A,2000,,,,1,,1177632000000,mulline,1231804800000,{E8E3BDB6-D082-55E2-B375-051C61B256C7},-71.097606461999987,42.336135306000074,57 OPP (STREET_FEA 4279),STREET_FEA 4279,37,derived_0_50_ft,boston-sam,76391,600R Huntington Ave,Huntington Ave,42.33613678,-71.09746910,Vancouver Street & Ward Street,185,nearest_address
814,20HH102,Mcgreevey Way,27-39 Mcgreevey Way,IS,,2008740183,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5513; METERED_FL=U; PLACEMENT=MIGRATED,20HH102,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{7D3EC1F4-CCA2-5AEF-B0E0-D621F152EB61},-71.097398555999973,42.334848921000059,STREET_FEA 5338,STREET_FEA 5338,65,derived_50_100_ft,boston-sam,352939,27-39 Mcgreevey Way,Mcgreevey Way,42.33489811,-71.09716710,Mcgreevey Way & Ponce Way,55,nearest_address
858,19HH120,Gore St,10 Gore St,IS,,1908740070,,,GIS,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=5181; METERED_FL=U; PLACEMENT=MIGRATED,19HH120,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{4164DA2F-D46D-5A06-BC3F-ACC0F393A09C},-71.097056179999981,42.330918009000072,10 OPP (STREET_FEA 1877),STREET_FEA 1877,48,derived_0_50_ft,boston-sam,65539,10 Gore St,Gore St,42.33083867,-71.09720060,French Terrace & Gore Street,9,nearest_address
865,18HH66,Wensley St,22-24 Wensley St,IS,,1808740021,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3039; METERED_FL=U; PLACEMENT=MIGRATED,18HH66,,,KE,KEK81,2011,,,,1,,1177632000000,palaciolv,1231718400000,{4E50B2AF-90AE-5FDF-BB6B-49CC2DE2B0A6},-71.101554346999933,42.327141012000027,22 (STREET_FEA 4449),STREET_FEA 4449,35,derived_0_50_ft,boston-sam,147787,22-24 Wensley St,Wensley St,42.32704867,-71.10152060,Bickford Street & Heath Street,267,nearest_address
943,19HH64,Terrace St,80 Terrace St,IS,,1908740133,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=188; METERED_FL=U; PLACEMENT=MIGRATED,19HH64,,,DA,ADB-84-B,1990,,,,1,,1177632000000,mulline,1231459200000,{83BEFC8B-22A0-5893-B87E-9A1E658A54BB},-71.097579608999979,42.329425168000057,80 (STREET_FEA 4137),STREET_FEA 4137,57,derived_50_100_ft,boston-sam,134520,80 Terrace St,Terrace St,42.32939602,-71.09737235,Alleghany Street & Terrace Street,88,nearest_address
965,19HH68,Alleghany St,52 Alleghany St,IS,,1908740080,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=3225; METERED_FL=U; PLACEMENT=MIGRATED,19HH68,,,DA,ADB-84-B,1990,,,,1,,1177632000000,mulline,1231459200000,{AE68A3C0-6751-506A-B05F-277507246DF4},-71.099504825999986,42.330575190000047,52 OPP (STREET_FEA 188),STREET_FEA 188,70,derived_50_100_ft,boston-sam,2259,52 Alleghany St,Alleghany St,42.33042867,-71.09967060,Alleghany Street & Parker Street,329,nearest_address
1029,20HH132,Parker St,550 Parker St,IS,,2008740134,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=259; METERED_FL=U; PLACEMENT=MIGRATED,20HH132,,,MU,MUCENT,2005,,,,1,,1177632000000,blundonr,1255478400000,{4B75893D-4420-52F7-ABC1-BE0E78EFC0D8},-71.094493156999988,42.335480045000054,550 (STREET_FEA 3223),STREET_FEA 3223,81,derived_50_100_ft,boston-sam,168522,550 Parker St,Parker St,42.33550493,-71.09419332,Annunciation Road & Parker Street,141,nearest_address
