objectid,facilityid,streetname,address,lifecyclestatus,source_lifecyclestatus_assumption,owner,comments,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,globalid,lon,lat,source,source_exported_at,source_record_number,source_x,source_y,source_projection,facilityid_basis,water_nd,record_id,node_type,person,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
392,STH-HYD-FD8B75F313,Maple Street,28 Maple Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0392-FD8B75F313,-71.10304290,42.47845545,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,392,763252.375000,2999631.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1887,4625,HYD,YVETTE,,,53,derived_50_100_ft,massgis-stoneham,2613818,28 Maple Street,Maple Street,42.47834578,-71.10317360,,,nearest_address
393,STH-HYD-486BCF9054,Adam Road,1 Adam Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0393-486BCF9054,-71.11214750,42.47847068,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,393,760796.250000,2999625.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1889,3988,HYD,YVETTE,,,159,intersection_preferred_150_plus_ft,massgis-stoneham,4288338,1 Adam Road,Adam Road,42.47806752,-71.11191988,,,nearest_address
394,STH-HYD-9CFDA288E2,Manison Street,17 Manison Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0394-9CFDA288E2,-71.11155507,42.47832325,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,394,760956.312500,2999572.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1902,3978,HYD,YVETTE,,,96,derived_50_100_ft,massgis-stoneham,2611045,17 Manison Street,Manison Street,42.47852101,-71.11131943,,,nearest_address
395,STH-HYD-A064A35D95,Dale Court,15 Dale Court,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0395-A064A35D95,-71.09555208,42.47824144,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,395,765273.500000,2999562.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1903,4872,HYD,YVETTE,,,107,derived_100_150_ft,massgis-stoneham,2611883,15 Dale Court,Dale Court,42.47824805,-71.09515493,,,nearest_address
396,STH-HYD-FBEEB9A371,Franklin Street,60 Franklin Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0396-FBEEB9A371,-71.09770302,42.47824211,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,396,764693.250000,2999560.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1905,4827,HYD,YVETTE,,,79,derived_50_100_ft,massgis-stoneham,2620872,60 Franklin Street,Franklin Street,42.47844674,-71.09780177,,,nearest_address
397,STH-HYD-17AC6868DD,Rivers Lane,15 Rivers Lane,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0397-17AC6868DD,-71.08041501,42.47814684,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,397,769357.125000,2999547.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1910,5237,HYD,FEITIAN,,,73,derived_50_100_ft,massgis-stoneham,2615341,15 Rivers Lane,Rivers Lane,42.47834273,-71.08047374,,,nearest_address
398,STH-HYD-AFEBFA0595,Pleasant Street,67 Pleasant Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0398-AFEBFA0595,-71.09297153,42.47818021,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,398,765969.750000,2999543.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1914,4936,HYD,YVETTE,,,37,derived_0_50_ft,massgis-stoneham,2611523,67 Pleasant Street,Pleasant Street,42.47819014,-71.09310748,,,nearest_address
399,STH-HYD-50980014D2,Warren Street,3 Warren Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0399-50980014D2,-71.10091909,42.47815656,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,399,763825.812500,2999524.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1921,4663,HYD,YVETTE,,,59,derived_50_100_ft,massgis-stoneham,2613099,3 Warren Street,Warren Street,42.47805476,-71.10108944,,,nearest_address
400,STH-HYD-AAE5C654BA,Adam Road,1 Adam Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0400-AAE5C654BA,-71.11241410,42.47810456,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,400,760724.937500,2999491.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1926,3999,HYD,YVETTE,,,133,derived_100_150_ft,massgis-stoneham,4288338,1 Adam Road,Adam Road,42.47806752,-71.11191988,,,nearest_address
401,STH-HYD-3EC60A2551,Park Street,20 Park Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0401-3EC60A2551,-71.10569577,42.47803169,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,401,762537.437500,2999473.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1931,4414,HYD,YVETTE,,,55,derived_50_100_ft,massgis-stoneham,2612070,20 Park Street,Park Street,42.47812485,-71.10553444,,,nearest_address
402,STH-HYD-182C40255E,Summer Street,104 Summer Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0402-182C40255E,-71.09412646,42.47792841,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,402,765658.625000,2999450.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1937,4914,HYD,YVETTE,,,34,derived_0_50_ft,massgis-stoneham,2609128,104 Summer Street,Summer Street,42.47785070,-71.09419349,,,nearest_address
403,STH-HYD-C09999A927,Main Street,431 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0403-C09999A927,-71.10046027,42.47784078,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,403,763950.125000,2999410.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1940,4656,HYD,YVETTE,,,62,derived_50_100_ft,massgis-stoneham,2612319,431 Main Street,Main Street,42.47789657,-71.10067787,,,nearest_address
404,STH-HYD-FA85710F2C,Tamarock Terrace,40 Tamarock Terrace,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0404-FA85710F2C,-71.08277284,42.47776163,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,404,768721.750000,2999404.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1943,5204,HYD,FEITIAN,,,35,derived_0_50_ft,massgis-stoneham,2609932,40 Tamarock Terrace,Tamarock Terrace,42.47769580,-71.08286852,,,nearest_address
405,STH-HYD-450E917B02,Walsh Avenue,51 Walsh Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0405-450E917B02,-71.08056161,42.47770147,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,405,769318.375000,2999385.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1946,6292,HYD,,,,45,derived_0_50_ft,massgis-stoneham,2611375,51 Walsh Avenue,Walsh Avenue,42.47774970,-71.08040810,,,nearest_address
406,STH-HYD-2760B4B545,Beacon Street,40 Beacon Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0406-2760B4B545,-71.08359838,42.47768299,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,406,768499.187500,2999374.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1949,5259,HYD,FEITIAN,,,51,derived_50_100_ft,massgis-stoneham,2610517,40 Beacon Street,Beacon Street,42.47769494,-71.08340887,,,nearest_address
407,STH-HYD-6BC0D4BDFA,Glen Road,8 Glen Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0407-6BC0D4BDFA,-71.10869193,42.47776270,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,407,761729.625000,2999371.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1953,3961,HYD,YVETTE,,,88,derived_50_100_ft,massgis-stoneham,2613405,8 Glen Road,Glen Road,42.47765858,-71.10839497,,,nearest_address
408,STH-HYD-2D2B7B232F,Stevens Street,49 Stevens Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0408-2D2B7B232F,-71.09044524,42.47761217,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,408,766652.250000,2999339.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1958,5546,HYD,FEITIAN,,,128,derived_100_150_ft,massgis-stoneham,2612222,49 Stevens Street,Stevens Street,42.47781005,-71.09083945,,,nearest_address
409,STH-HYD-91EFDED025,Franklin Street,81 Franklin Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0409-91EFDED025,-71.09647744,42.47758681,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,409,765025.000000,2999322.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,1960,4879,HYD,YVETTE,,,32,derived_0_50_ft,massgis-stoneham,2611640,81 Franklin Street,Franklin Street,42.47753634,-71.09657524,,,nearest_address
