objectid,facilityid,streetname,address,lifecyclestatus,source_lifecyclestatus_assumption,owner,comments,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,globalid,lon,lat,source,source_exported_at,source_record_number,source_x,source_y,source_projection,facilityid_basis,water_nd,record_id,node_type,person,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
1,STH-HYD-87BCB23032,Main Street,2 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0001-87BCB23032,-71.10163226,42.50209011,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,1,763592.687500,3008246.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,4,589,HYD,YVETTE,,,332,intersection_preferred_150_plus_ft,massgis-stoneham,2618073,2 Main Street,Main Street,42.50175998,-71.10048019,,,nearest_address
2,STH-HYD-0CD4F0494E,North Street,2 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0002-0CD4F0494E,-71.09684424,42.50181690,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,2,764884.312500,3008152.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,8,659,HYD,YVETTE,,,235,intersection_preferred_150_plus_ft,massgis-stoneham,2611157,2 North Street,North Street,42.50125011,-71.09726030,,,nearest_address
3,STH-HYD-AD96D16C27,North Street,27 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0003-AD96D16C27,-71.09926551,42.50163807,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,3,764231.687500,3008084.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,15,677,HYD,YVETTE,,,108,derived_100_150_ft,massgis-stoneham,2618598,27 North Street,North Street,42.50192881,-71.09918633,,,nearest_address
4,STH-HYD-94DFA521D4,Park Avenue,96 Park Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0004-94DFA521D4,-71.09263679,42.50155104,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,4,766019.375000,3008061.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,19,6501,HYD,,,,73,derived_50_100_ft,massgis-stoneham,2612460,96 Park Avenue,Park Avenue,42.50146317,-71.09288161,,,nearest_address
5,STH-HYD-7E292187DF,North Street,27 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0005-7E292187DF,-71.09940258,42.50151369,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,5,764194.937500,3008038.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,23,673,HYD,YVETTE,,,162,intersection_preferred_150_plus_ft,massgis-stoneham,2618598,27 North Street,North Street,42.50192881,-71.09918633,,,nearest_address
6,STH-HYD-2C7EB8507A,High Street,131 High Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0006-2C7EB8507A,-71.09404698,42.50146203,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,6,765639.250000,3008026.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,27,701,HYD,YVETTE,,,44,derived_0_50_ft,massgis-stoneham,2610003,131 High Street,High Street,42.50158132,-71.09408124,,,nearest_address
7,STH-HYD-C53E04488C,Evergreen Road,3 Evergreen Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0007-C53E04488C,-71.10642622,42.50100761,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,7,762301.750000,3007845.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,44,315,HYD,YVETTE,,,42,derived_0_50_ft,massgis-stoneham,2610345,3 Evergreen Road,Evergreen Road,42.50110560,-71.10650732,,,nearest_address
8,STH-HYD-6A7B0C4548,Stonehill Drive,3 Stonehill Drive,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0008-6A7B0C4548,-71.10282253,42.50085394,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,8,763273.812500,3007794.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,50,574,HYD,YVETTE,,,162,intersection_preferred_150_plus_ft,massgis-stoneham,2619341,3 Stonehill Drive,Stonehill Drive,42.50083822,-71.10342623,,,nearest_address
9,STH-HYD-59E39E5842,Main Street,10 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0009-59E39E5842,-71.10133976,42.50080560,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,9,763673.750000,3007778.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,53,601,HYD,YVETTE,,,209,intersection_preferred_150_plus_ft,massgis-stoneham,2614377,10 Main Street,Main Street,42.50088726,-71.10056989,,,nearest_address
10,STH-HYD-BA767349E0,Drummond Road,17 Drummond Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0010-BA767349E0,-71.11066210,42.50076406,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,10,761159.875000,3007751.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,55,208,HYD,YVETTE,,,56,derived_50_100_ft,massgis-stoneham,2610135,17 Drummond Road,Drummond Road,42.50089984,-71.11076267,,,nearest_address
11,STH-HYD-4B83AB976E,Moulton Avenue,3 Moulton Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0011-4B83AB976E,-71.10499123,42.50069469,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,11,762689.250000,3007733.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,59,565,HYD,YVETTE,,,93,derived_50_100_ft,massgis-stoneham,2610417,3 Moulton Avenue,Moulton Avenue,42.50094521,-71.10493232,,,nearest_address
12,STH-HYD-5A9B420385,Bellevue Road,30 Bellevue Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0012-5A9B420385,-71.09125168,42.50062964,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,12,766394.500000,3007727.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,61,733,HYD,YVETTE,,,46,derived_0_50_ft,massgis-stoneham,2615150,30 Bellevue Road,Bellevue Road,42.50052907,-71.09135477,,,nearest_address
13,STH-HYD-A8DBC7A5F0,Evergreen Road,25 Evergreen Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0013-A8DBC7A5F0,-71.10846100,42.50065508,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,13,761753.625000,3007714.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,63,281,HYD,YVETTE,,,51,derived_50_100_ft,massgis-stoneham,2612872,25 Evergreen Road,Evergreen Road,42.50079538,-71.10843854,,,nearest_address
14,STH-HYD-7FBA78FDFA,Leisure Lane,200 Leisure Lane,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0014-7FBA78FDFA,-71.09897526,42.50033572,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,14,764312.187500,3007610.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,73,656,HYD,YVETTE,,,197,intersection_preferred_150_plus_ft,massgis-stoneham,2618801,200 Leisure Lane,Leisure Lane,42.49980998,-71.09879653,,,nearest_address
15,STH-HYD-80EF046C3A,Stonehill Drive,5 Stonehill Drive,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0015-80EF046C3A,-71.10293383,42.50010795,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,15,763245.062500,3007522.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,87,571,HYD,YVETTE,,,205,intersection_preferred_150_plus_ft,massgis-stoneham,2619161,5 Stonehill Drive,Stonehill Drive,42.49954718,-71.10286718,,,nearest_address
16,STH-HYD-3D7C22A753,Lawndale Road,18 Lawndale Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0016-3D7C22A753,-71.09305390,42.50005155,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,16,765909.500000,3007514.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,89,703,HYD,YVETTE,,,46,derived_0_50_ft,massgis-stoneham,2615387,18 Lawndale Road,Lawndale Road,42.50011054,-71.09290313,,,nearest_address
17,STH-HYD-5D8632234F,Main Street,16 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0017-5D8632234F,-71.10113234,42.50007087,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,17,763730.937500,3007510.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,90,616,HYD,YVETTE,,,213,intersection_preferred_150_plus_ft,massgis-stoneham,2611985,16 Main Street,Main Street,42.50045587,-71.10053578,,,nearest_address
18,STH-HYD-22CB34D847,High Street,109 High Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0018-22CB34D847,-71.09482746,42.50003516,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,18,765431.250000,3007505.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,93,695,HYD,YVETTE,,,155,intersection_preferred_150_plus_ft,massgis-stoneham,4338305,109 High Street,High Street,42.50006352,-71.09425308,,,nearest_address
19,STH-HYD-A86218884E,Evergreen Road,15 Evergreen Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0019-A86218884E,-71.10650905,42.50006396,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,19,762281.000000,3007501.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,96,322,HYD,YVETTE,,,70,derived_50_100_ft,massgis-stoneham,2611014,15 Evergreen Road,Evergreen Road,42.50009532,-71.10676529,,,nearest_address
20,STH-HYD-E96AB1783A,Main Street,40 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0020-E96AB1783A,-71.10046769,42.50002809,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,20,763910.250000,3007496.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,98,620,HYD,YVETTE,,,98,derived_50_100_ft,massgis-stoneham,2619856,40 Main Street,Main Street,42.49976970,-71.10036951,,,nearest_address
21,STH-HYD-77C01D290D,Constitution Road,8 Constitution Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0021-77C01D290D,-71.11556740,42.50000466,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,21,759838.312500,3007468.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,105,6515,HYD,,,,44,derived_0_50_ft,massgis-stoneham,2613346,8 Constitution Road,Constitution Road,42.50006366,-71.11542631,,,nearest_address
22,STH-HYD-261058C9C6,Park Avenue,56 Park Avenue,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0022-261058C9C6,-71.09161975,42.49990927,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,22,766296.500000,3007464.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,106,731,HYD,YVETTE,,,74,derived_50_100_ft,massgis-stoneham,2613215,56 Park Avenue,Park Avenue,42.49976518,-71.09142720,,,nearest_address
23,STH-HYD-E312FDA77A,Drummond Road,1 Drummond Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0023-E312FDA77A,-71.10856999,42.49989742,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,23,761725.500000,3007438.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,115,277,HYD,YVETTE,,,27,derived_0_50_ft,massgis-stoneham,2609045,1 Drummond Road,Drummond Road,42.49997064,-71.10855692,,,nearest_address
24,STH-HYD-6930D45467,Erickson Street,25 Erickson Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0024-6930D45467,-71.11087274,42.49982907,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,24,761104.625000,3007410.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,118,119,HYD,YVETTE,,,21,derived_0_50_ft,massgis-stoneham,2614575,25 Erickson Street,Erickson Street,42.49988411,-71.11085464,,,nearest_address
25,STH-HYD-B1322F7418,Elaine Road,17 Elaine Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0025-B1322F7418,-71.11363458,42.49946175,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,25,760360.437500,3007273.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,133,33,HYD,YVETTE,,,66,derived_50_100_ft,massgis-stoneham,2614497,17 Elaine Road,Elaine Road,42.49937551,-71.11342024,,,nearest_address
26,STH-HYD-EE646936D6,Bellevue Road,44 Bellevue Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0026-EE646936D6,-71.09059197,42.49935957,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,26,766574.625000,3007265.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,135,737,HYD,YVETTE,,,49,derived_0_50_ft,massgis-stoneham,2609617,44 Bellevue Road,Bellevue Road,42.49946128,-71.09071170,,,nearest_address
27,STH-HYD-159C885207,Cedar Street,85 Cedar Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0027-159C885207,-71.12072848,42.49927814,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,27,758447.687500,3007197.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,139,58,HYD,YVETTE,,,347,intersection_preferred_150_plus_ft,massgis-stoneham,2620731,85 Cedar Street,Cedar Street,42.49847037,-71.12004191,,,nearest_address
28,STH-HYD-96529484DF,Concord Road,14 Concord Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0028-96529484DF,-71.11553226,42.49903866,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,28,759849.375000,3007116.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,143,29,HYD,YVETTE,,,51,derived_50_100_ft,massgis-stoneham,2612679,14 Concord Road,Concord Road,42.49900297,-71.11534945,,,nearest_address
29,STH-HYD-0D188E1B1D,Hanford Road,18 Hanford Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0029-0D188E1B1D,-71.11197248,42.49895676,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,29,760809.500000,3007091.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,147,6024,HYD,,,,33,derived_0_50_ft,massgis-stoneham,2612815,18 Hanford Road,Hanford Road,42.49890750,-71.11207380,,,nearest_address
30,STH-HYD-CA5557D62F,Converse Street,76 Converse Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0030-CA5557D62F,-71.08928196,42.49884110,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,30,766928.812500,3007077.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,149,2283,HYD,YVETTE,,,101,derived_100_150_ft,massgis-stoneham,2613334,76 Converse Street,Converse Street,42.49865997,-71.08899810,,,nearest_address
31,STH-HYD-C7CC560AC7,Virginia Lane,4 Virginia Lane,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0031-C7CC560AC7,-71.10613630,42.49888826,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,31,762383.500000,3007073.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,150,6520,HYD,,,,42,derived_0_50_ft,massgis-stoneham,2615714,4 Virginia Lane,Virginia Lane,42.49878185,-71.10619742,,,nearest_address
32,STH-HYD-DAC4018B2D,North Street,103 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0032-DAC4018B2D,-71.10431044,42.49886143,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,32,762875.937500,3007066.000000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,153,1602,HYD,YVETTE,,,79,derived_50_100_ft,massgis-stoneham,2610945,103 North Street,North Street,42.49900202,-71.10453373,,,nearest_address
33,STH-HYD-01E64B8FB0,Larson Lane,17 Larson Lane,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0033-01E64B8FB0,-71.10724872,42.49885433,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,33,762083.562500,3007059.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,156,310,HYD,YVETTE,,,80,derived_50_100_ft,massgis-stoneham,2611916,17 Larson Lane,Larson Lane,42.49863653,-71.10719949,,,nearest_address
34,STH-HYD-5ED82FFC85,North Street,91 North Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0034-5ED82FFC85,-71.10270432,42.49875644,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,34,763309.250000,3007029.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,164,1637,HYD,YVETTE,,,49,derived_0_50_ft,massgis-stoneham,2609762,91 North Street,North Street,42.49885977,-71.10281856,,,nearest_address
35,STH-HYD-441719D2AD,Cedar Street,85 Cedar Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0035-441719D2AD,-71.12168084,42.49857264,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,35,758192.000000,3006939.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,174,59,HYD,YVETTE,,,442,intersection_preferred_150_plus_ft,massgis-stoneham,2620731,85 Cedar Street,Cedar Street,42.49847037,-71.12004191,,,nearest_address
36,STH-HYD-385FFFF55E,Concord Road,20 Concord Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0036-385FFFF55E,-71.11618329,42.49842618,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,36,759674.812500,3006892.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,181,750,HYD,YVETTE,,,35,derived_0_50_ft,massgis-stoneham,2614612,20 Concord Road,Concord Road,42.49845391,-71.11605676,,,nearest_address
37,STH-HYD-23BE775200,High Street,99 High Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0037-23BE775200,-71.09394102,42.49833351,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,37,765673.250000,3006886.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,182,2004,HYD,YVETTE,,,171,intersection_preferred_150_plus_ft,massgis-stoneham,2613311,99 High Street,High Street,42.49860265,-71.09341816,,,nearest_address
38,STH-HYD-48CC7D5BD0,George Street,8 George Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0038-48CC7D5BD0,-71.10181163,42.49823611,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,38,763550.875000,3006841.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,188,6526,HYD,,,,45,derived_0_50_ft,massgis-stoneham,2612508,8 George Street,George Street,42.49812972,-71.10172738,,,nearest_address
39,STH-HYD-E7B55FEA0B,Margaret Road,11 Margaret Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0039-E7B55FEA0B,-71.11322066,42.49821254,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,39,760474.125000,3006818.500000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,190,1255,HYD,YVETTE,,,49,derived_0_50_ft,massgis-stoneham,2611843,11 Margaret Road,Margaret Road,42.49834049,-71.11327574,,,nearest_address
40,STH-HYD-FB9D2AC11C,Macarthur Road,105 Macarthur Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0040-FB9D2AC11C,-71.09104214,42.49798712,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,40,766455.625000,3006764.250000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,197,2294,HYD,YVETTE,,,55,derived_50_100_ft,massgis-stoneham,2613569,105 Macarthur Road,Macarthur Road,42.49811458,-71.09092910,,,nearest_address
41,STH-HYD-27EC28DCE8,Lawndale Road,36 Lawndale Road,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0041-27EC28DCE8,-71.09214788,42.49794576,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,41,766157.500000,3006747.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,199,2011,HYD,YVETTE,,,70,derived_50_100_ft,massgis-stoneham,2615600,36 Lawndale Road,Lawndale Road,42.49782848,-71.09194329,,,nearest_address
42,STH-HYD-88E594CFA8,Main Street,68 Main Street,In Service,assumed_in_service_no_source_status,Stoneham,Status assumed in service because Stoneham source provided point locations only and no operational status field.,,,,,,,,stoneham-shp-record-0042-88E594CFA8,-71.10062963,42.49791235,/Users/seth/Downloads/Fire Hydrants.zip,2026-05-21T08:14:22-04:00,42,763870.187500,3006724.750000,EPSG:6492 NAD83(2011) StatePlane Massachusetts Mainland FtUS,coordinate_hash_from_source_x_y_no_official_hyd_id,204,1629,HYD,YVETTE,,,95,derived_50_100_ft,massgis-stoneham,2620347,68 Main Street,Main Street,42.49777215,-71.10033137,,,nearest_address
