facilityid,streetname,address,lifecyclestatus,address_distance_ft,lon,lat,source,source_pulled_at,source_address,source_streetname,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
HYD-00332.2,Broadway,931 Broadway,In Service,36,-71.0211087078811,42.400681507641615,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,931 Broadway,Broadway,derived_0_50_ft,massgis-chelsea,3703988,931 Broadway,Broadway,42.40059388,-71.02104481,Broadway & Stockton Street,55,nearest_address
HYD-00257.1,Broadway,957 Broadway,In Service,43,-71.0202175639928,42.40146294185812,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,957 Broadway,Broadway,derived_0_50_ft,massgis-chelsea,3704191,957 Broadway,Broadway,42.40136687,-71.02012655,Broadway & Cabot Street,225,nearest_address
HYD-00233.1,Broadway,979 Broadway,In Service,99,-71.01935941836501,42.40221155924568,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,979 Broadway,Broadway,derived_50_100_ft,massgis-chelsea,3690173,979 Broadway,Broadway,42.40194626,-71.01943705,Broadway & Clinton Street,97,nearest_address
HYD-00123.1,Beacham Street,Near Beacham Street & Market Street,In Service,617,-71.05291351709874,42.395148037828776,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,200 Beacham Street,Beacham Street,intersection_preferred_150_plus_ft,massgis-chelsea,3686231,307 Beacham Street,Beacham Street,42.39478100,-71.05067269,Beacham Street & Market Street,869,nearest_intersection
HYD-00123.2,Beacham Street,Near Beacham Street & Market Street,In Service,508,-71.05232553927142,42.39545825743241,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,275 Beacham Street,Beacham Street,intersection_preferred_150_plus_ft,massgis-chelsea,3686231,307 Beacham Street,Beacham Street,42.39478100,-71.05067269,Beacham Street & Market Street,736,nearest_intersection
HYD-00015.1,Beacham Street,Near Beacham Street & Market Street,In Service,313,-71.05159562690692,42.395582581486835,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,275 Beacham Street,Beacham Street,intersection_preferred_150_plus_ft,massgis-chelsea,4452437,300 Beacham Street,Beacham Street,42.39579573,-71.05046723,Beacham Street & Market Street,569,nearest_intersection
HYD-00016.1,Beacham Street,Near Beacham Street & Market Street,In Service,201,-71.0508804182256,42.39533584340682,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,300 Beacham Street,Beacham Street,intersection_preferred_150_plus_ft,massgis-chelsea,4452437,300 Beacham Street,Beacham Street,42.39579573,-71.05046723,Beacham Street & Market Street,357,nearest_intersection
HYD-00013.1,Beacham Street,Near Beacham Street & Market Street,In Service,208,-71.0498761662634,42.39499078045159,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,357 Beacham Street,Beacham Street,intersection_preferred_150_plus_ft,massgis-chelsea,3686040,357 Beacham Street,Beacham Street,42.39454825,-71.04938458,Beacham Street & Market Street,61,nearest_intersection
HYD-00009.1,Beacham Street,357 Beacham Street,In Service,95,-71.04903598294445,42.39459087446091,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,357 Beacham Street,Beacham Street,derived_50_100_ft,massgis-chelsea,3686040,357 Beacham Street,Beacham Street,42.39454825,-71.04938458,Beacham Street & Market Street,159,nearest_address
HYD-00018.1,Beacham Street,390 Beacham Street,In Service,139,-71.0473547933184,42.394007490511775,https://services9.arcgis.com/diuwWhOq89A0FdTw/arcgis/rest/services/Public_Facing_Water_Distribution_System_View/FeatureServer/501007,2026-05-09T18:16:22+00:00,390 Beacham Street,Beacham Street,derived_100_150_ft,massgis-chelsea,3684670,390 Beacham Street,Beacham Street,42.39436968,-71.04719123,Beacham Street & Williams Street,397,nearest_address
