objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
11803,25LH33,STREET_FEA 341,34 (STREET_FEA 341),IS,,2512740085,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2529; METERED_FL=U; PLACEMENT=MIGRATED,25LH33,,,KE,KEK81,2010,,,,1,,1177632000000,dorleansr,1231891200000,{F5E31E1E-DCF7-589C-91C0-4BAF1B8B8760},-71.050897879999980,42.363126162000071
11876,26KH80,STREET_FEA 3773,182 (STREET_FEA 3773),IS,,2611740113,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2227; METERED_FL=U; PLACEMENT=MIGRATED,26KH80,,,US,USMET250,1980,,,,1,,1177632000000,dorleansr,1231891200000,{E900ABEE-BFAD-511D-B3FD-61159A0AC035},-71.054652093999948,42.366561300000058
12288,25KH785,STREET_FEA 2004,215 (STREET_FEA 2004),IS,,2511740244,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1196; METERED_FL=U; PLACEMENT=MIGRATED,25KH785,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1430438400000,{6AAB03BA-DE78-5618-94AC-26ED71922CF4},-71.055341592999980,42.362817909000057
12354,25LH762,STREET_FEA 4254,STREET_FEA 4254,IS,,2512740164,,,U,,,,,PRIV,SERVICE_AR=SH; CROSS_STRE=1082; METERED_FL=U; PLACEMENT=blundonr,25LH762,,,U,U,,,,,1,,1239926400000,blundonr,1244419200000,{E20168EB-8635-5A5D-8D1A-D1224798453C},-71.049304415999984,42.365245874000038
12383,26LH2,STREET_FEA 3090,378 OPP (STREET_FEA 3090),IS,,2612740095,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3371; METERED_FL=U; PLACEMENT=MIGRATED,26LH2,,,US,USMET250,1988,,,,1,,1177632000000,dorleansr,1231891200000,{3A9F7D3E-A4F4-5F15-AB35-5327A6A5D629},-71.051341359999981,42.365876155000080
12548,26KH52,STREET_FEA 3872,42 (STREET_FEA 3872),IS,978307200000,2611740114,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3922; METERED_FL=U; PLACEMENT=MIGRATED,26KH52,,,KE,KEK81-A,1994,,,,1,,1177632000000,dorleansr,1231891200000,{537EC1E1-C882-5214-9E2C-E9B5B5A6DE09},-71.056430991999946,42.366555116000029
12802,26KH44,STREET_FEA 3391,146 OPP (STREET_FEA 3391),IS,1226620800000,2611740109,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2428; METERED_FL=U; PLACEMENT=MIGRATED,26KH44,,,KE,KEK81-A,2008,,,,1,,1177632000000,chalmersh,1284422400000,{6B2BE3E3-57BD-5FE8-A913-68B707B8EA31},-71.057435791999978,42.366617976000043
12867,25LH110,STREET_FEA 1670,46 (STREET_FEA 1670),IS,,2512740040,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3090; METERED_FL=U; PLACEMENT=MIGRATED,25LH110,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1430438400000,{B342EB21-7F77-57EA-821C-AFED5E34DBB0},-71.051947056999950,42.364315342000054
12883,25LH749,STREET_FEA 3090,187-189 (STREET_FEA 3090),IS,,2512740075,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3089; METERED_FL=U; PLACEMENT=MIGRATED,25LH749,,,U,U,,,,,1,,1177632000000,blundonr,1247788800000,{34204C74-9FB9-57EB-957B-EC83C3F952EF},-71.053576158999988,42.363321131000077
12918,26KH88,STREET_FEA 3922,44 (STREET_FEA 3922),IS,770428800000,2611740067,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2227; METERED_FL=U; PLACEMENT=MIGRATED,26KH88,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1255478400000,{E76054B8-D0B8-5FBB-8ACF-D081AE0D787F},-71.056527621999976,42.367191243000036
13019,25KH791,STREET_FEA 1763,53 OPP (STREET_FEA 1763),IS,,2511740494,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4841; METERED_FL=U; PLACEMENT=MIGRATED,25KH791,,,MU,MUCENT,2002,,,,1,,1177632000000,dorleansr,1231891200000,{642C0C2B-FA51-5F46-9AC5-B68C830036F9},-71.053877233999970,42.361701310000058
13108,25LH756,STREET_FEA 1082,117 (STREET_FEA 1082),IS,1086048000000,2512740158,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1196; METERED_FL=U; PLACEMENT=MIGRATED,25LH756,,,DA,ADB-62-B,1993,,,,1,,1177632000000,chalmersh,1271116800000,{365FDB10-5AA7-5B61-85ED-8D0202C05353},-71.053077729999984,42.361356891000071
13112,26LH66,STREET_FEA 1082,352 OPP (STREET_FEA 1082),IS,,2612740093,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=1083; METERED_FL=U; PLACEMENT=MIGRATED,26LH66,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{412C5BDF-3A55-5AAE-83F9-B22572BDC980},-71.051245799999947,42.365904483000065
13164,26KH93,STREET_FEA 1082,585 OPP (STREET_FEA 1082),IS,,2611740048,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=2227; METERED_FL=U; PLACEMENT=MIGRATED,26KH93,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{C89A2D80-BBE2-554E-BB30-6E4AD2444331},-71.057366747999936,42.367660600000079
