objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
3427,21GH34,STREET_FEA 3615,180 (STREET_FEA 3615),IS,,2107740002,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3405; METERED_FL=U; PLACEMENT=MIGRATED,21GH34,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1271808000000,{92E54D77-2CCD-5A68-96F3-A2C6B35B4399},-71.106254849999971,42.342257544000063
3470,20GH34,STREET_FEA 1719,110 OPP (STREET_FEA 1719),IS,,2007740053,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,20GH34,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{F85DD8A5-CEE4-58DB-B7A1-BD783ADD51E7},-71.109369282999978,42.337143868000055
3540,21HH12,STREET_FEA 1640,400 (STREET_FEA 1640),IS,,2108740120,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,21HH12,,,MU,MUCENT,1981,,,,1,,1177632000000,blundonr,1255478400000,{D72005A9-4A0C-5CBD-9E82-20B0D14E01A9},-71.102147053999943,42.341507716000081
3625,20HH12,STREET_FEA 1719,12 OPP (STREET_FEA 1719),IS,,2008740200,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3739; METERED_FL=U; PLACEMENT=MIGRATED,20HH12,,,KE,KEK81-A,1995,,,,1,,1177632000000,mulline,1231891200000,{DFDBA513-9348-5995-82F7-CA399DD200D9},-71.105457783999952,42.334621631000061
3681,20HH53,STREET_FEA 3196,STREET_FEA 3196,IS,,2008740089,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,20HH53,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1255478400000,{31F76F48-8754-5A17-A205-5E716C8F3164},-71.100682401999961,42.336608017000060
3701,20GH74,STREET_FEA 1642,80 (STREET_FEA 1642),IS,1430438400000,2007740144,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=698; METERED_FL=U; PLACEMENT=obrienm,20GH74,,,KE,KEK81-A,,,,,1,,1450137600000,obrienm,1450137600000,{0993EDD1-51E4-50FE-B7D6-C61F77FD07E6},-71.109343238999941,42.336089196000046
3855,20HH40,STREET_FEA 2595,180 (STREET_FEA 2595),IS,,2008740101,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3196; METERED_FL=U; PLACEMENT=MIGRATED,20HH40,,,DA,ADB-84-B,1990,,,,1,,1177632000000,mulline,1231804800000,{123ECE5A-E419-5DEF-9EC6-2F00296924A9},-71.101541481999959,42.336315794000029
4111,21HH24,STREET_FEA 3308,46 (STREET_FEA 3308),IS,,2108740098,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,21HH24,,,US,USMET250,1987,,,,1,,1177632000000,blundonr,1244505600000,{608F0657-DB92-509E-A848-78B7A7E09ECA},-71.105350435999981,42.342241003000026
4272,20HH180,STREET_FEA 2595,25 (STREET_FEA 2595),IS,,2008740277,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5850; METERED_FL=U; PLACEMENT=MIGRATED,20HH180,,,MU,MUCENT,1986,,,,1,,1177632000000,mulline,1231891200000,{56C156E9-52DD-51CD-8AB3-3677F357DBF7},-71.104638853999973,42.336864564000052
4409,21HH111,STREET_FEA 0,STREET_FEA 0,IS,,2108740188,,,U,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=0; METERED_FL=U; PLACEMENT=mulline,21HH111,,,MU,U,,,,,1,,1226534400000,pullenn,1247443200000,{94CD1013-641A-513E-917D-BD7F83CDCE22},-71.104973079999979,42.338840681000079
4507,20GH40,STREET_FEA 697,441-459 (STREET_FEA 697),IS,,2007740038,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1284; METERED_FL=U; PLACEMENT=MIGRATED,20GH40,,,MU,MUCENT,1992,,,,1,,1177632000000,mulline,1231718400000,{5A338858-551E-5D27-84F4-FED1AAEAEEAA},-71.108771979999972,42.337701921000075
4569,21HH110,STREET_FEA 697,279 (STREET_FEA 697),IS,1014508800000,2108740187,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3899; METERED_FL=U; PLACEMENT=MIGRATED,21HH110,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{DD69A5B1-3303-54AA-AAB4-05F61CDD7EA4},-71.102683053999954,42.339847846000055
4755,20HH197,STREET_FEA 2595,221 OPP (STREET_FEA 2595),IS,,2008740279,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=3196; METERED_FL=U; PLACEMENT=mulline,20HH197,,,MU,MUCENT,2004,,,,1,,1214352000000,connorsm,1284681600000,{E51BE257-2978-55B9-BDBC-04249262602C},-71.102194017999977,42.336175148000052
4809,20GH71,STREET_FEA 532,25 (STREET_FEA 532),IS,,2007740141,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1719; METERED_FL=U; PLACEMENT=BlundoNR,20GH71,,,MU,MUCENT,1980,,,,1,,1329350400000,BlundoNR,1329350400000,{78123F57-DC8B-58CE-B950-B95B9A46CA47},-71.107974277999972,42.336441259000026
4922,21HH18,STREET_FEA 697,305 (STREET_FEA 697),IS,,2108740130,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3899; METERED_FL=U; PLACEMENT=MIGRATED,21HH18,,,WA,WAWB67P,1980,,,,1,,1177632000000,blundonr,1255478400000,{D45A82CD-5318-5C09-B33A-2A2430428795},-71.104914555999983,42.341289979000067
