objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat
8500,20GH57,STREET_FEA 4316,STREET_FEA 4316,IS,1186358400000,2007740127,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1791; METERED_FL=U; PLACEMENT=mulline,20GH57,,,MU,MUCENT,2002,,,,1,,1207180800000,blundonr,1230076800000,{C9ACB6F4-EDBC-5649-9AC4-D88EB1E9F268},-71.107632248999948,42.335775960000035
8591,20HH62,STREET_FEA 1571,STREET_FEA 1571,IS,,2008740004,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1640; METERED_FL=U; PLACEMENT=MIGRATED,20HH62,,,KE,KEK11,1973,,,,1,,1177632000000,mulline,1231804800000,{939E10A8-7961-5F74-BF3A-8517FCB5538B},-71.098464095999987,42.338503488000072
8592,20HH18,STREET_FEA 2239,STREET_FEA 2239,IS,,2008740197,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4519; METERED_FL=U; PLACEMENT=MIGRATED,20HH18,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{E159BEE4-6319-5923-ABF5-B15D9F63A11B},-71.103874346999987,42.334676215000059
8721,20HH15,STREET_FEA 4736,25 (STREET_FEA 4736),IS,,2008740128,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=MIGRATED,20HH15,,,KE,KEK81-A,2009,,,,1,,1177632000000,pullenn,1273104000000,{37459D14-6BFA-5BDA-AE4B-1FEFD91B89AF},-71.104624304999959,42.335597401000030
8780,20HH56,STREET_FEA 3196,14 OPP (STREET_FEA 3196),IS,,2008740038,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4143; METERED_FL=U; PLACEMENT=MIGRATED,20HH56,,,MU,MUCENT,1989,,,,1,,1177632000000,mulline,1231804800000,{9B857A97-E2B1-547B-8C08-5A242D9C032A},-71.099794402999976,42.337920256000075
8865,20GH70,STREET_FEA 1719,91 (STREET_FEA 1719),IS,,2007740140,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=BlundoNR,20GH70,,,KE,KEK81-A,2008,,,,1,,1329350400000,BlundoNR,1329350400000,{F6EED93A-ED26-56DC-800E-D89DC0AF0718},-71.108383095999955,42.336481397000057
9130,20HH44,STREET_FEA 2595,245 OPP (STREET_FEA 2595),IS,960595200000,2008740073,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5850; METERED_FL=U; PLACEMENT=MIGRATED,20HH44,,,MH,MH929,1988,,,,1,,1177632000000,mulline,1231804800000,{0866E093-B30E-5AE5-915D-DA0D3D56D547},-71.103665971999988,42.337143240000046
9578,21GH32,STREET_FEA 3308,78 (STREET_FEA 3308),IS,,2107740006,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,21GH32,,,KE,KEK81-A,2003,,,,1,,1177632000000,mulline,1231891200000,{B14085F4-950A-5DB1-8919-FD71D847ABB4},-71.105935928999941,42.341689980000069
9708,21HH30,STREET_FEA 3615,150 (STREET_FEA 3615),IS,,2108740041,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=MIGRATED,21HH30,,,KE,KEK81-A,1995,,,,1,,1177632000000,pullenn,1259625600000,{1616E1BD-C549-5257-B594-F9AE7DC9EFD7},-71.105379016999962,42.343135523000058
9806,20HH39,STREET_FEA 2239,635 (STREET_FEA 2239),IS,,2008740114,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,20HH39,,,DA,ADB-84-B,1990,,,,1,,1177632000000,mulline,1231891200000,{CAF5D9A9-A654-5C94-8BA9-D9B4FC641201},-71.100571730999945,42.335942292000027
10102,21GH4,STREET_FEA 3308,171 OPP (STREET_FEA 3308),IS,315532800000,2107740058,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2341; METERED_FL=U; PLACEMENT=MIGRATED,21GH4,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{2E7020B1-40C8-565A-A044-936705EA7508},-71.108935924999969,42.338832361000073
10128,20HH38,STREET_FEA 2239,660 OPP (STREET_FEA 2239),IS,,2008740133,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4642; METERED_FL=U; PLACEMENT=MIGRATED,20HH38,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{03595BFC-34FD-5DB5-9390-81584064002E},-71.101425004999953,42.335537544000033
10366,21GH12,STREET_FEA 356,STREET_FEA 356,IS,,2107740050,,,GIS,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=3615; METERED_FL=U; PLACEMENT=MIGRATED,21GH12,,,US,USMET250,1996,,,,1,,1177632000000,blundonr,1255564800000,{1434BA2D-1359-55E8-9179-F488718EBE35},-71.110042660999966,42.339019424000071
10369,21HH107,STREET_FEA 697,400 (STREET_FEA 697),IS,,2108740184,,,MANUAL,,,,,PRIV,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=MIGRATED,21HH107,,,MU,MUCENT,2002,,,,1,,1177632000000,blundonr,1271808000000,{8A737D82-296F-558B-8253-001960F75544},-71.104021235999937,42.341337025000030
11623,20HH58,STREET_FEA 3196,163 OPP (STREET_FEA 3196),IS,,2008740011,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1640; METERED_FL=U; PLACEMENT=MIGRATED,20HH58,,,MU,MUCENT,1989,,,,1,,1177632000000,mulline,1231804800000,{3BC90F0E-E66A-52CA-BB27-35BE3C9AD816},-71.099463970999977,42.338413752000065
11719,20GH36,STREET_FEA 3308,197 (STREET_FEA 3308),IS,1187568000000,2007740123,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1719; METERED_FL=U; PLACEMENT=MIGRATED,20GH36,,,KE,KEK81-A,2007,,,,1,,1177632000000,chalmersh,1238630400000,{6034878D-36FB-5292-B9F4-CB28A9E2A1AD},-71.110473336999974,42.337635268000042
11750,20HH84,STREET_FEA 1571,48 OPP (STREET_FEA 1571),IS,,2008740056,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4143; METERED_FL=U; PLACEMENT=MIGRATED,20HH84,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{E67DA4B3-33AA-55FF-B6B3-BA767F198041},-71.098204095999961,42.337484404000065
11751,21HH6,STREET_FEA 1640,300 (STREET_FEA 1640),IS,,2108740160,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=5850; METERED_FL=U; PLACEMENT=MIGRATED,21HH6,,,MU,MUCENT,1981,,,,1,,1177632000000,blundonr,1255478400000,{1DB385E0-C65A-5826-8E1A-59DDF4573459},-71.099968933999946,42.339610531000062
11785,21HH22,STREET_FEA 697,255 (STREET_FEA 697),IS,,2108740081,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=MIGRATED,21HH22,,,MU,MUCENT,1991,,,,1,,1177632000000,blundonr,1255478400000,{0D6D2C15-834E-50F2-BD85-F3839D7BAA39},-71.103710869999986,42.342448570000045
12391,21GH14,STREET_FEA 3615,306 (STREET_FEA 3615),IS,,2107740039,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=356; METERED_FL=U; PLACEMENT=MIGRATED,21GH14,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{8EA92E2F-8131-5245-BBE6-77BAE0E3771A},-71.110167269999977,42.339618537000035
12426,20HH16,STREET_FEA 2239,STREET_FEA 2239,IS,,2008740206,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1719; METERED_FL=U; PLACEMENT=MIGRATED,20HH16,,,MU,MUCENT,2000,,,,1,,1177632000000,mulline,1231891200000,{E445356B-E3ED-5E75-AB31-4B0F6E34F066},-71.104558969999971,42.334432506000041
12756,21HH14,STREET_FEA 1640,430 (STREET_FEA 1640),IS,,2108740091,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=697; METERED_FL=U; PLACEMENT=MIGRATED,21HH14,,,MU,MUCENT,1981,,,,1,,1177632000000,blundonr,1244505600000,{C44735D4-68FC-5A8C-AAE6-E72873603203},-71.102778551999961,42.342165945000033
13129,21GH35,STREET_FEA 2595,354-364 (STREET_FEA 2595),IS,1410307200000,2107740059,,,U,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3308; METERED_FL=U; PLACEMENT=digiornom,21GH35,,,KE,U,2011,,,,1,,1437523200000,digiornom,1437523200000,{816DF19A-A828-5CFE-AB94-A94B47BBB2DA},-71.108054937999952,42.339286438000045
13507,20HH200,STREET_FEA 4736,53 (STREET_FEA 4736),IS,1348272000000,2008740282,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=MIGRATED,20HH200,,,KE,MUCENT,2011,,,,1,,1177632000000,chings,1456704000000,{94125652-8509-5B08-A82B-D851638C7416},-71.105574277999949,42.335988589000067
13600,20GH44,STREET_FEA 4736,71 (STREET_FEA 4736),IS,1348272000000,2007740065,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=532; METERED_FL=U; PLACEMENT=MIGRATED,20GH44,,,KE,KEK81-A,2011,,,,1,,1177632000000,chings,1456704000000,{1DB23B6D-A601-5A30-9265-AA0B38B159A7},-71.106390785999963,42.336482313000033
13663,20HH47,STREET_FEA 5433,319 (STREET_FEA 5433),IS,,2008740036,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2595; METERED_FL=U; PLACEMENT=MIGRATED,20HH47,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{B46AC018-2CC6-58F2-94C1-57744FAC0D7D},-71.105097292999972,42.337904744000070
