objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
4969,22JH204,Arlington St,149 Arlington St,IS,1416441600000,2210740132,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2754; METERED_FL=U; PLACEMENT=MIGRATED,22JH204,,,MU,KEK81-A,2012,,,,1,,1177632000000,mulline,1451865600000,{BD7EF792-DFD7-532E-8D7D-CAD1BB122988},-71.069355856999948,42.348209490000045,STREET_FEA 301,STREET_FEA 301,75,derived_50_100_ft,boston-sam,445189,149 Arlington St,Arlington St,42.34838865,-71.06949121,Arlington Street & Marginal Road,65,nearest_address
5646,23JH111,Columbus Ave,130 Columbus Ave,IS,900633600000,2310740399,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH111,,,DA,ADB-84-B,1990,,,,1,,1177632000000,palaciolv,1224806400000,{1A6E8D5C-52F2-574E-8DE7-204B353FA271},-71.070436260999941,42.349594694000075,111 (STREET_FEA 1075),STREET_FEA 1075,59,derived_50_100_ft,boston-sam,35476,130 Columbus Ave,Columbus Ave,42.34951682,-71.07024331,Arlington Street & Piedmont Street,191,nearest_address
7245,23JH154,Church St,67-69 Church St,IS,1226620800000,2310740331,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=988; METERED_FL=U; PLACEMENT=MIGRATED,23JH154,,,KE,KEK81-A,2009,,,,1,,1177632000000,chalmersh,1282608000000,{32347EB1-C3A0-54C6-A997-91E62DE57E0D},-71.068539360999978,42.350320920000058,241 OPP (STREET_FEA 4042),STREET_FEA 4042,67,derived_50_100_ft,boston-sam,163410,67-69 Church St,Church St,42.35016302,-71.06840878,Church Street & Shawmut Street,38,nearest_address
8395,23JH110,Arlington Street,Near Arlington Street & Stuart Street,IS,521942400000,2310740360,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH110,,,US,USSEN,1983,,,,1,,1177632000000,blundonr,1244505600000,{D1FEA3EB-8B7D-5F94-9D39-DB2F8D2657C5},-71.070061518999978,42.349918576000050,STREET_FEA 1075,STREET_FEA 1075,154,intersection_preferred_150_plus_ft,boston-sam,35476,130 Columbus Ave,Columbus Ave,42.34951682,-71.07024331,Arlington Street & Stuart Street,91,nearest_intersection
8404,22JH242,Arlington St,107-127 Arlington St,IS,,2210740017,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4566; METERED_FL=U; PLACEMENT=MIGRATED,22JH242,,,KE,KEK81,2011,,,,1,,1177632000000,blundonr,1244505600000,{79FC2278-700F-56C7-8A39-C7080C585904},-71.069703361999984,42.349235847000045,122 OPP (STREET_FEA 301),STREET_FEA 301,64,derived_50_100_ft,boston-sam,445209,107-127 Arlington St,Arlington St,42.34940212,-71.06978617,Arlington Street & Winchester Street,47,nearest_address
8476,23KH3,Broadway,100 Broadway,IS,,2311740686,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=2807; METERED_FL=U; PLACEMENT=MIGRATED,23KH3,,,KE,KEK81-A,1994,,,,1,,1177632000000,palaciolv,1224806400000,{2A8FB599-E340-567B-AA7C-421ED307CACC},-71.066666454999961,42.349638780000078,STREET_FEA 5318,STREET_FEA 5318,70,derived_50_100_ft,boston-sam,20862,100 Broadway,Broadway,42.34979367,-71.06681959,Broadway Street & Melrose Street,76,nearest_address
9349,23JH170,Shawmut St,16 Shawmut St,IS,,2310740332,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3300; METERED_FL=U; PLACEMENT=MIGRATED,23JH170,,,KE,KEK81-A,1994,,,,1,,1177632000000,blundonr,1244505600000,{F7880E64-AC4B-52FA-85E3-B33EE762BB74},-71.068053425999949,42.350339811000026,16 OPP (STREET_FEA 3869),STREET_FEA 3869,49,derived_0_50_ft,boston-sam,126489,16 Shawmut St,Shawmut St,42.35020867,-71.06809059,Cocoanut Grove Lane & Shawmut Street,12,nearest_address
9954,22JH186,Isabella St,40 Isabella St,IS,,2210740106,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=510; METERED_FL=U; PLACEMENT=MIGRATED,22JH186,,,KE,KEK81-A,1982,,,,1,,1177632000000,blundonr,1255478400000,{BED414B3-AB3A-5C39-81DB-4DC2D1CE8991},-71.071125041999949,42.348308107000037,25 (STREET_FEA 1148),STREET_FEA 1148,45,derived_0_50_ft,boston-sam,79023,40 Isabella St,Isabella St,42.34840867,-71.07103059,Berkeley Street & Cortes Street,130,nearest_address
11094,23JH140,Winchester St,31 Winchester St,IS,,2310740402,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=988; METERED_FL=U; PLACEMENT=MIGRATED,23JH140,,,WA,WAWB67P,1987,,,,1,,1177632000000,blundonr,1244505600000,{F91014D9-0E4E-5DC2-9BA2-5D44580223E2},-71.068791084999987,42.349566019000065,40 OPP (STREET_FEA 4566),STREET_FEA 4566,27,derived_0_50_ft,boston-sam,150586,31 Winchester St,Winchester St,42.34963867,-71.06880059,Edgerly Place & Winchester Street,77,nearest_address
11957,22JH188,Columbus Ave,200 Columbus Ave,IS,1432857600000,2210740080,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1075; METERED_FL=U; PLACEMENT=MIGRATED,22JH188,,,KE,KEK81-A,2012,,,,1,,1177632000000,mulline,1452211200000,{D553D291-1014-57E9-BD38-AA8718B413F1},-71.071138101999964,42.348689484000033,40 (STREET_FEA 2283),STREET_FEA 2283,91,derived_50_100_ft,boston-sam,341719,200 Columbus Ave,Columbus Ave,42.34891703,-71.07099657,Columbus Avenue & Isabella Street,129,nearest_address
11958,22JH208,Isabella St,16 Isabella St,IS,,2210740078,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,22JH208,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1452211200000,{86BA9799-3DA4-53D0-AA28-31A42B22DC13},-71.070096615999944,42.348688198000048,16 (STREET_FEA 2283),STREET_FEA 2283,22,derived_0_50_ft,boston-sam,79005,16 Isabella St,Isabella St,42.34862867,-71.07010059,Arlington Street & Isabella Street,181,nearest_address
12084,22JH162,Columbus Ave,210 Columbus Ave,IS,899769600000,2210740098,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=510; METERED_FL=U; PLACEMENT=MIGRATED,22JH162,,,MU,MUCENT,2003,,,,1,,1177632000000,blundonr,1271808000000,{4DB311B4-278D-5A26-AE11-98F162D0CB00},-71.071883749999984,42.348432926000044,209 OPP (STREET_FEA 1075),STREET_FEA 1075,73,derived_50_100_ft,boston-sam,342990,210 Columbus Ave,Columbus Ave,42.34823722,-71.07194749,Berkeley Street & Columbus Avenue,86,nearest_address
12868,23JH144,Arlington St,100 Arlington St,IS,,2310740342,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,23JH144,,,KE,KEK81-A,1998,,,,1,,1177632000000,blundonr,1244505600000,{19CF3CF0-3B85-590B-96C2-332C5D9627D8},-71.069351431999962,42.350230692000025,46 (STREET_FEA 4042),STREET_FEA 4042,84,derived_50_100_ft,boston-sam,4809,100 Arlington St,Arlington St,42.35002867,-71.06950059,Columbus Avenue & Stuart Street,28,nearest_address
13135,22JH232,Church St,26-28 Church St,IS,1412208000000,2210740045,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,22JH232,,,KE,KEK81-A,2011,,,,1,,1177632000000,mulline,1453680000000,{E2AF4754-66BF-5AC6-9628-A0D205346054},-71.068290894999961,42.348994042000072,31 (STREET_FEA 2807),STREET_FEA 2807,20,derived_0_50_ft,boston-sam,163403,26-28 Church St,Church St,42.34894845,-71.06825044,Church Street & Melrose Street,41,nearest_address
13203,22JH240,Melrose St,10 Melrose St,IS,1412208000000,2210740004,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=988; METERED_FL=U; PLACEMENT=MIGRATED,22JH240,,,KE,KEK81-A,2011,,,,1,,1177632000000,mulline,1453680000000,{D2098E5E-37AC-5EDD-817E-23AED1896C4B},-71.067480268999986,42.349425556000028,10 (STREET_FEA 2807),STREET_FEA 2807,23,derived_0_50_ft,boston-sam,93924,10 Melrose St,Melrose St,42.34946867,-71.06754059,South Cedar Place & Winchester Street,153,nearest_address
13227,22JH190,Columbus Ave,200 Columbus Ave,IS,584236800000,2210740032,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2283; METERED_FL=U; PLACEMENT=MIGRATED,22JH190,,,US,USSEN,1986,,,,1,,1177632000000,blundonr,1255478400000,{F27BC5F4-2979-5CCB-80F1-E82660D1E93A},-71.070989033999979,42.349155434000068,200 (STREET_FEA 1075),STREET_FEA 1075,87,derived_50_100_ft,boston-sam,341719,200 Columbus Ave,Columbus Ave,42.34891703,-71.07099657,Columbus Avenue & Isabella Street,200,nearest_address
13244,22JH206,Melrose St,60 Melrose St,IS,,2210740087,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,22JH206,,,KE,KEK81-A,1994,,,,1,,1177632000000,mulline,1453420800000,{73B13B89-2E37-5902-AD48-1982216FFE3F},-71.069142195999973,42.348639928000068,62 OPP (STREET_FEA 2807),STREET_FEA 2807,52,derived_50_100_ft,boston-sam,93999,60 Melrose St,Melrose St,42.34877867,-71.06918059,Arlington Street & Melrose Street,57,nearest_address
13515,22JH184,Cortes St,11 Cortes St,IS,,2210740117,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=301; METERED_FL=U; PLACEMENT=MIGRATED,22JH184,,,KE,KEK81-A,1998,,,,1,,1177632000000,louisjamey,1467158400000,{C95231F8-2335-5AC4-91E6-7149F80A3069},-71.070130192999954,42.348242649000042,11A OPP (STREET_FEA 1148),STREET_FEA 1148,59,derived_50_100_ft,boston-sam,43191,11 Cortes St,Cortes St,42.34840467,-71.07010959,Arlington Street & Cortes Street,234,nearest_address
13667,23JH713,Broadway Street,Near Broadway Street & Piedmont Street,IS,,2310740413,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=4042; METERED_FL=U; PLACEMENT=MIGRATED,23JH713,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{94F39DB3-47BA-5459-9A5C-C3D70DDC6D7F},-71.066896612999983,42.350757348000059,56 OPP (STREET_FEA 5318),STREET_FEA 5318,198,intersection_preferred_150_plus_ft,boston-sam,131640,196-210 Stuart St,Stuart St,42.35053867,-71.06757059,Broadway Street & Piedmont Street,282,nearest_intersection
13671,23JH721,Broadway,77-81 Broadway,IS,,2310740421,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3869; METERED_FL=U; PLACEMENT=blundonr,23JH721,,,US,USHP,1968,,,,1,,1249257600000,blundonr,1255478400000,{A3AEB9F1-16E7-5FE1-8E21-473D1EFB348D},-71.067287085999965,42.350092078000046,76 (STREET_FEA 681),STREET_FEA 681,75,derived_50_100_ft,boston-sam,162595,77-81 Broadway,Broadway,42.34995926,-71.06750115,Broadway Street & Piedmont Street,30,nearest_address
13674,23JH714,Charles St S,73-75 Charles St S,IS,,2310740414,,,MANUAL,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=3869; METERED_FL=U; PLACEMENT=MIGRATED,23JH714,,,U,U,,,,,1,,1177632000000,blundonr,1247788800000,{DA5C5AC8-8039-5BE1-96C0-FEEC7953FC73},-71.066792405999934,42.350188834000051,76 (STREET_FEA 681),STREET_FEA 681,22,derived_0_50_ft,boston-sam,459946,73-75 Charles St S,Charles St S,42.35015212,-71.06685534,Broadway Street & Winchester Street,154,nearest_address
13696,23JH712,Stuart St,196-210 Stuart St,IS,,2310740412,,,GIS,,,,,BWSC,SERVICE_AR=HPFS; CROSS_STRE=681; METERED_FL=U; PLACEMENT=MIGRATED,23JH712,,,DA,ADB-62-B,1990,,,,1,,1177632000000,blundonr,1244505600000,{1B4C4360-294F-5663-A702-462200280755},-71.067511165999974,42.350725964000048,200 (STREET_FEA 4042),STREET_FEA 4042,70,derived_50_100_ft,boston-sam,131640,196-210 Stuart St,Stuart St,42.35053867,-71.06757059,Cocoanut Grove Lane & Shawmut Street,209,nearest_address
