objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
226,24EH96,Highgate St,10 Highgate St,IS,,2405740142,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2140; METERED_FL=U; PLACEMENT=MIGRATED,24EH96,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1255478400000,{4E0F7A8B-F653-55A2-9916-F7FA5E6411C3},-71.131872815999941,42.355817661000060,360 (STREET_FEA 787),STREET_FEA 787,47,derived_0_50_ft,boston-sam,439319,10 Highgate St,Highgate St,42.35568759,-71.13186883,Cambridge Street & Highgate Street,74,nearest_address
231,23EH104,Cambridge St,465-475 Cambridge St,IS,1160092800000,2305740044,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2002; METERED_FL=U; PLACEMENT=MIGRATED,23EH104,,,MU,MUCENT,1993,,,,1,,1177632000000,blundonr,1238371200000,{3F4DE54D-CF1F-502C-86DB-0C5AE54D6BC5},-71.136631891999969,42.353821818000029,465-475 OP (STREET_FEA 787),STREET_FEA 787,113,derived_100_150_ft,boston-sam,25141,465-475 Cambridge St,Cambridge St,42.35406379,-71.13689589,Cambridge Street & Hano Street,116,nearest_address
245,26FH6,Harvard Way,Near Harvard Way & Kresge Way,IS,,2606740016,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=4469; METERED_FL=U; PLACEMENT=MIGRATED,26FH6,,,BF,U,,,,,1,,1177632000000,blundonr,1244505600000,{A5BC29DE-9E34-5F6C-9516-FA66F502B5AB},-71.120263099999988,42.367664338000054,STREET_FEA 3927,STREET_FEA 3927,160,intersection_preferred_150_plus_ft,boston-sam,341974,47 Harvard Way,Harvard Way,42.36723692,-71.12012821,Harvard Way & Kresge Way,384,nearest_intersection
256,23FH144,Commonwealth Avenue,Near Commonwealth Avenue & Harry Agganis Way,IS,,2306740176,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1768; METERED_FL=U; PLACEMENT=MIGRATED,23FH144,,,US,USMET250,1990,,,,1,,1177632000000,connorsm,1237852800000,{32E73056-FF8A-5124-8124-3C8429446003},-71.118677734999949,42.351326138000047,955 OPP (STREET_FEA 1090),STREET_FEA 1090,208,intersection_preferred_150_plus_ft,boston-sam,41309,949 Commonwealth Ave,Commonwealth Ave,42.35189667,-71.11870961,Commonwealth Avenue & Harry Agganis Way,29,nearest_intersection
264,23EH70,Everett St,25 Everett St,IS,946598400000,2305740018,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1034; METERED_FL=U; PLACEMENT=MIGRATED,23EH70,,,KE,KEK81-A,1995,,,,1,,1177632000000,blundonr,1255478400000,{A63330AF-1B57-5EB6-9E81-094490EECE1A},-71.138701340999944,42.354652478000048,25 (STREET_FEA 1577),STREET_FEA 1577,31,derived_0_50_ft,boston-sam,54993,25 Everett St,Everett St,42.35467867,-71.13859062,Clevemont Avenue & Everett Street,26,nearest_address
309,23FH82,Commonwealth Ave,1118 Commonwealth Ave,IS,936316800000,2306740186,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1759; METERED_FL=U; PLACEMENT=MIGRATED,23FH82,,,DA,ADB-84-B,1990,,,,1,,1177632000000,blundonr,1255478400000,{60868B13-21D7-505A-AE33-994BD1DE7778},-71.125429567999959,42.351211461000048,1118 (STREET_FEA 1090),STREET_FEA 1090,70,derived_50_100_ft,boston-sam,37005,1118 Commonwealth Ave,Commonwealth Ave,42.35110867,-71.12521061,Commonwealth Avenue & Fuller Street,159,nearest_address
312,22FH8,Harvard Ave,227-229 Harvard Ave,IS,1227657600000,2206740003,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=648; METERED_FL=U; PLACEMENT=MIGRATED,22FH8,,,KE,KEK81-A,2008,,,,1,,1177632000000,blundonr,1255478400000,{46BEAACB-3E9C-5535-B385-AECD27F99055},-71.130234422999933,42.349163214000043,227-229 (STREET_FEA 2044),STREET_FEA 2044,53,derived_50_100_ft,boston-sam,70381,227-229 Harvard Ave,Harvard Ave,42.34915867,-71.13043061,Brainerd Road & Harvard Avenue,58,nearest_address
344,23EH122,Commonwealth Ave,1249 Commonwealth Ave,IS,965952000000,2305740176,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3963; METERED_FL=U; PLACEMENT=MIGRATED,23EH122,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{269C315C-9FC8-5E96-8221-2F3075A461B4},-71.132198303999985,42.350037496000027,1251 (STREET_FEA 1090),STREET_FEA 1090,67,derived_50_100_ft,boston-sam,37133,1249 Commonwealth Ave,Commonwealth Ave,42.35021867,-71.13215061,Commonwealth Avenue & Royce Road,159,nearest_address
357,23GH12,Commonwealth Avenue,Near Commonwealth Avenue & Saint Paul Street,IS,,2307740039,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=727; METERED_FL=U; PLACEMENT=MIGRATED,23GH12,,,US,USMET250,1990,,,,1,,1177632000000,connorsm,1237852800000,{22E48A54-BE64-5B38-94A0-4C09DC4D3607},-71.115556634999962,42.350956940000060,890 (STREET_FEA 1093),STREET_FEA 1093,201,intersection_preferred_150_plus_ft,boston-sam,41280,881 Commonwealth Ave,Commonwealth Ave,42.35145867,-71.11524061,Commonwealth Avenue & Saint Paul Street,72,nearest_intersection
358,24FH26,Easton St,51 Easton St,IS,,2406740026,,,MANUAL,,,,,BWSC,SERVICE_AR=NL; CROSS_STRE=2985; METERED_FL=U; PLACEMENT=MIGRATED,24FH26,,,MU,MUCENT,1989,,,,1,,1177632000000,blundonr,1255478400000,{DB4DA5AB-9D68-5BA2-9820-494F021E5901},-71.131022781999945,42.359779262000075,51 (STREET_FEA 1437),STREET_FEA 1437,45,derived_0_50_ft,boston-sam,51000,51 Easton St,Easton St,42.35985867,-71.13115061,Easton Street & Myrick Street,102,nearest_address
374,24EH165,Blaine St,32 Blaine St,IS,,2405740156,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=649; METERED_FL=U; PLACEMENT=MIGRATED,24EH165,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{F4CF0AB4-9C8B-59E7-B244-30982294CAA5},-71.137992034999968,42.355561204000026,32 OPP (STREET_FEA 553),STREET_FEA 553,51,derived_50_100_ft,boston-sam,15839,32 Blaine St,Blaine St,42.35559867,-71.13781062,Blaine Street & Everett Street,157,nearest_address
416,23EH12,Ridgemont St,27-29 Ridgemont St,IS,,2305740142,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=1474; METERED_FL=U; PLACEMENT=MIGRATED,23EH12,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1255478400000,{FEA171A7-E8F9-52DC-B2B3-1C06836146DC},-71.141546218999963,42.351321315000064,27-29 (STREET_FEA 3587),STREET_FEA 3587,55,derived_50_100_ft,boston-sam,115925,27-29 Ridgemont St,Ridgemont St,42.35146367,-71.14147962,Cambridge Street & Saunders Street,274,nearest_address
