objectid,facilityid,streetname,address,lifecyclestatus,installdate,legacyid,fireid,firehydid,datasource,plan_1,plan_1_date,plan_2,plan_2_date,owner,comments,id_2017,assoc_valve,type,make,model,year,nozzle_l_size,nozzle_r_size,nozzle_c_size,enabled,created_user,created_date,last_edited_user,last_edited_date,globalid,lon,lat,source_address,source_streetname,address_distance_ft,address_confidence,address_source,address_source_id,nearest_address_label,nearest_address_streetname,nearest_address_lat,nearest_address_lon,nearest_intersection_label,nearest_intersection_distance_ft,address_label_type
362,22JH192,Castle Ct,18-22 Castle Ct,IS,1059004800000,2210740295,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=3868; METERED_FL=U; PLACEMENT=MIGRATED,22JH192,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{7503C65F-5045-5DF8-963E-154AA91944DC},-71.067260540999939,42.345162854000080,22 (STREET_FEA 838),STREET_FEA 838,73,derived_50_100_ft,boston-sam,341674,18-22 Castle Ct,Castle Ct,42.34530999,-71.06744309,Castle Court & Emerald Court,66,nearest_address
388,22JH80,Clarendon St,51 Clarendon St,IS,,2210740209,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1009; METERED_FL=U; PLACEMENT=MIGRATED,22JH80,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1255478400000,{5A2AF39D-2136-57AE-8CEC-6E3A62CACB03},-71.072853809999970,42.346529453000073,94 OPP (STREET_FEA 897),STREET_FEA 897,29,derived_0_50_ft,boston-sam,163458,51 Clarendon St,Clarendon St,42.34655529,-71.07295525,Chandler Street & Clarendon Street,86,nearest_address
404,20JH258,Bio Square Drive,Near Bio Square Drive & East Concord Street,IS,,2010740380,,,U,,,,,PRIV,SERVICE_AR=U; CROSS_STRE=0; METERED_FL=U; PLACEMENT=blundonr,20JH258,,,U,U,,,,,1,,1249257600000,blundonr,1249257600000,{177AE66E-9D90-5882-9FAC-4EA4F32F4049},-71.070952816999977,42.333927063000033,STREET_FEA 0,STREET_FEA 0,206,intersection_preferred_150_plus_ft,boston-sam,1571,750 Albany St,Albany St,42.33406893,-71.07169286,Bio Square Drive & East Concord Street,166,nearest_intersection
407,22JH54,Lawrence St,40 Lawrence St,IS,,2210740261,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1009; METERED_FL=U; PLACEMENT=MIGRATED,22JH54,,,SM,SMH200,1974,,,,1,,1177632000000,palaciolv,1224720000000,{B01747AB-9160-58BC-A067-CB54B92A81F5},-71.074006978999932,42.345790602000079,40 (STREET_FEA 2479),STREET_FEA 2479,15,derived_0_50_ft,boston-sam,84662,40 Lawrence St,Lawrence St,42.34574867,-71.07400060,Chandler Street & Columbus Avenue,284,nearest_address
410,22JH42,Columbus Ave,345-351 Columbus Ave,IS,,2210740280,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4653; METERED_FL=U; PLACEMENT=MIGRATED,22JH42,,,DA,ADB-84-B,1989,,,,1,,1177632000000,palaciolv,1224720000000,{A2C506FE-67FB-5A76-9287-184A50573602},-71.075965815999950,42.345545206000054,363-359 (STREET_FEA 1077),STREET_FEA 1077,39,derived_0_50_ft,boston-sam,163600,345-351 Columbus Ave,Columbus Ave,42.34563266,-71.07587968,Columbus Avenue & Yarmouth Street,69,nearest_address
440,22JH44,Yarmouth St,16 Yarmouth St,IS,,2210740255,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4228; METERED_FL=U; PLACEMENT=MIGRATED,22JH44,,,WA,WAWB67P,1983,,,,1,,1177632000000,palaciolv,1224720000000,{CAB7D486-DF62-56CA-ABB2-F0142FE11163},-71.076524950999953,42.345914485000037,16 OPP (STREET_FEA 4653),STREET_FEA 4653,76,derived_50_100_ft,boston-sam,153240,16 Yarmouth St,Yarmouth St,42.34578867,-71.07675060,Yarmouth Place & Yarmouth Street,46,nearest_address
442,22JH178,Tremont St,460-498 Tremont St,IS,1056931200000,2210740268,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=1; METERED_FL=U; PLACEMENT=MIGRATED,22JH178,,,MU,MUCENT,1992,,,,1,,1177632000000,blundonr,1224460800000,{7F73A3B3-B985-5618-A84E-D9CDD9AE193B},-71.069472987999973,42.345690072000025,490 (STREET_FEA 4217),STREET_FEA 4217,143,derived_100_150_ft,boston-sam,156997,460-498 Tremont St,Tremont St,42.34597040,-71.06909996,Berkeley Street & East Berkeley Street,178,nearest_address
448,20JH108,E Springfield St,40 E Springfield St,IS,1250035200000,2010740155,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=2032; METERED_FL=U; PLACEMENT=MIGRATED,20JH108,,,KE,KEK81-A,1976,,,,1,,1177632000000,BlundoNR,1291680000000,{2A11F784-E118-5B76-B47F-7F72000A5820},-71.075050727999951,42.336017997000056,40 (STREET_FEA 26),STREET_FEA 26,29,derived_0_50_ft,boston-sam,129853,40 E Springfield St,E Springfield St,42.33607867,-71.07498059,East Springfield Street & Harrison Avenue,250,nearest_address
484,20JH208,E Brookline St,100 E Brookline St,IS,,2010740086,,,MANUAL,,,,,BWSC,SERVICE_AR=SH; CROSS_STRE=160; METERED_FL=U; PLACEMENT=MIGRATED,20JH208,,,DA,ADB-84-B,1990,,,,1,,1177632000000,chalmersh,1225152000000,{6B17537F-9165-53C5-BC9E-493AA4508CBC},-71.069515751999973,42.337198607000062,100 (STREET_FEA 4),STREET_FEA 4,36,derived_0_50_ft,boston-sam,22116,100 E Brookline St,E Brookline St,42.33726867,-71.06942059,East Brookline Street & Thorn Street,107,nearest_address
489,21JH158,Tremont St,610-610A Tremont St,IS,,2110740071,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=79; METERED_FL=U; PLACEMENT=MIGRATED,21JH158,,,DA,ADB-62-B,1980,,,,1,,1177632000000,mulline,1224720000000,{702B4703-3172-5DB5-AD8D-763780634ECE},-71.073796446999950,42.342653606000056,610 (STREET_FEA 4217),STREET_FEA 4217,25,derived_0_50_ft,boston-sam,137780,610-610A Tremont St,Tremont St,42.34258607,-71.07378810,Dartmouth Street & Tremont Street,64,nearest_address
504,22JH198,Tremont St,460-498 Tremont St,IS,1056931200000,2210740230,,,GIS,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=269; METERED_FL=U; PLACEMENT=MIGRATED,22JH198,,,MU,MUCENT,2000,,,,1,,1177632000000,blundonr,1224460800000,{13EE7A58-2FEC-5B81-93AA-8054EDA0799A},-71.069183448999979,42.346225838000066,450 (STREET_FEA 4217),STREET_FEA 4217,96,derived_50_100_ft,boston-sam,156997,460-498 Tremont St,Tremont St,42.34597040,-71.06909996,Appleton Street & Tremont Street,119,nearest_address
518,21IH116,Tremont St,768-772 Tremont St,IS,,2109740298,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=106; METERED_FL=U; PLACEMENT=MIGRATED,21IH116,,,DA,ADB-84-B,1990,,,,1,,1177632000000,chalmersh,1225238400000,{8B085613-9490-507D-90C9-7C7DA49C1C77},-71.079819744999952,42.339447435000068,768 (STREET_FEA 2746),STREET_FEA 2746,32,derived_0_50_ft,boston-sam,137981,768-772 Tremont St,Tremont St,42.33942638,-71.07970533,Tremont Street & West Springfield Street,113,nearest_address
624,21JH6,W Springfield St,167 W Springfield St,IS,1155513600000,2110740263,,,MANUAL,,,,,BWSC,SERVICE_AR=SL; CROSS_STRE=4217; METERED_FL=U; PLACEMENT=MIGRATED,21JH6,,,MU,MUCENT,1998,,,,1,,1177632000000,connorsm,1238457600000,{6FDB79C5-AF1A-5761-A07D-2D21713C25E5},-71.079097354999988,42.339351032000025,167 (STREET_FEA 106),STREET_FEA 106,38,derived_0_50_ft,boston-sam,129929,167 W Springfield St,W Springfield St,42.33942867,-71.07900060,Ward Way & West Springfield Street,179,nearest_address
